Annee;Non-du-film;Genre-du-film;Societe-de-production;Realisateur
2023;حنبعل;روائي طويل;sidad produtio;معز كمون
2023;UNE semaine ss Dieu;روائي طويل;Cinétéléfilms;مراد بالشيخ
2023;Hayet;مساعدة على  الكتابة;TuniStudio;آمنة النجار
2023;الثمن;مساعدة على  الكتابة;Cercina prod;خديجة المكشر
2023;Alerte à l'ouragan;روائي طويل;Long et court;إبراهيم اللطيف
2023;الكرذونة;روائي قصير;Wild Wonder Films;محمد أمين بلدي
2023;قنطرة;روائي طويل;Fakroun prod;وليد مطار
2023;Phoenix;روائي قصير;Paprika Films;بلسم الروح وخي
2023;A cœur ouvert;روائي قصير;ID Studio;عبد الله يحيى
2023;Génération;مساعدة على  الكتابة;Yol Film House;مفيدة فضيلة
2023;عيشة حرة;روائي قصير;Carapace prod;سالمة الهبي
2023;Leni Africo;روائي قصير;Dirt sounds pictures;مروان لبيب
2023;La masure;روائي قصير;Inside production;أنيس بن دالي
2023;Loading;روائي قصير;Lumières Films;أنيس الأسود
2023;Dans le vide je flotte;روائي طويل;Nomadis;محمد بن عطية
2023;Aucun numéro;روائي قصير;Leyth prod;هبة الذوادي
2023;الخروبة;روائي قصير;klil production;عماد المثناني
2023;حطام;روائي قصير;تاكفاريناس;وسيم القربي
2023;Hannibal vue par les Carthaginois;مساعدة على  الكتابة ;CTV;محمد دمق
2023;Dans le vide je flotte;روائي طويل;Nomadis;محمد بن عطية
2023;الخروبة;روائي قصير;klil production;عماد المثناني
2023;الديدان لن تعرف الجنة;روائي قصير;Play;آمنة النجار
2023;les filles d'Olfa;وثائقي طويل;Cinétéléfilms;كوثر بن هنية
2023;نوار عشيّة;روائي طويل;سرسينا فيلم;خديجة المكشر
2023;La guêpe et l'orchidée;وثائقي طويل;Madbox;صابر الزموري
2023;Stigmate ;روائي قصير;Global Films;محمد علي منصور
