Date;Consommation du secteur électrique. en ktep;Consommation pour usage finale. en ktep;Consommation totale. en ktep
juin-11;280.12;84.21;364.33
juil-11;340.52;87.6;428.12
août-11;331.47;70.29;401.76
sept-11;294.75;84.51;379.26
oct-11;246.87;90.54;337.41
nov-11;220.23;94.86;315.09
déc-11;243.9;121.95;365.85
janv-12;264.24;144.45;408.69
févr-12;244.8;140.31;385.11
mars-12;241.2;119.52;360.72
avr-12;220.71;102;322.71
mai-12;269.88;94.74;364.62
juin-12;333;85.05;418.05
juil-12;398.43;82.89;481.32
août-12;406.53;69.66;476.19
sept-12;298.71;89.46;388.17
oct-12;270.36;93.42;363.78
nov-12;238.05;104.85;342.9
déc-12;260.91;138.97;399.88
janv-13;266.21;130.7;396.91
févr-13;247.15;129.22;376.37
mars-13;251.47;121.79;373.26
avr-13;249.68;104.63;354.31
mai-13;269.97;103.01;372.98
juin-13;289.52;101.91;391.43
juil-13;382.94;98.38;481.32
août-13;372.33;78.61;450.94
sept-13;317.7;94.51;412.21
oct-13;309.17;94.96;404.13
nov-13;257.04;121.22;378.26
déc-13;274.88;125.71;400.59
janv-14;281.27;140.37;421.64
févr-14;251.43;121.83;373.26
mars-14;282.69;137.61;420.3
avr-14;291.92;108.73;400.65
mai-14;290.42;106.1;396.52
juin-14;331.01;94.55;425.56
juil-14;375.73;78.55;454.28
août-14;393.59;87.33;480.92
sept-14;365.65;91.19;456.84
oct-14;292.08;88.76;380.84
nov-14;224.35;96.66;321.01
déc-14;234.32;130.51;364.83
janv-15;236.09;139.06;375.15
févr-15;232.11;132.96;365.07
mars-15;224.47;134.44;358.91
avr-15;240.56;108;348.56
mai-15;281.07;103.8;384.87
juin-15;292.26;83.46;375.72
juil-15;364.82;74.97;439.79
août-15;395.19;78.03;473.22
sept-15;314.45;87.85;402.3
oct-15;302.38;80.43;382.81
nov-15;258.65;102.33;360.98
déc-15;293.18;124.36;417.54
janv-16;278.72;130.76;409.48
févr-16;263.88;118.69;382.57
mars-16;279.65;123.46;403.11
avr-16;241.73;100.37;342.1
mai-16;274.22;95.88;370.1
juin-16;307.12;84.12;391.24
juil-16;352.41;80.92;433.33
août-16;364.53;81.96;446.49
sept-16;293.68;77.54;371.22
oct-16;289.62;90.98;380.6
nov-16;245.48;105.6;351.08
déc-16;265.47;137.99;403.46
janv-17;284.69;154.41;439.1
févr-17;233.01;124.13;357.14
mars-17;242.96;116.91;359.87
avr-17;240.99;101.25;342.24
mai-17;284.49;97.21;381.7
juin-17;331.64;80.37;412.01
juil-17;399.52;100.18;499.7
août-17;421.09;103.69;524.78
sept-17;313.02;92.28;405.3
oct-17;262.18;104.85;367.03
nov-17;246.76;126.03;372.79
déc-17;293.57;109.99;403.56
janv-18;291.08;151.82;442.9
févr-18;263.34;147.4;410.74
mars-18;258.32;132.83;391.15
avr-18;264.5;113.87;378.37
mai-18;275.12;122.95;398.07
juin-18;297.1;88.89;385.99
juil-18;452.77;99.8;552.57
août-18;367.17;86.43;453.6
sept-18;363.65;97.6;461.25
oct-18;263.84;110.84;374.68
nov-18;245.95;123.17;369.12
déc-18;265.73;139.38;405.11
janv-19;284.73;159.62;444.35
févr-19;253.85;136.49;390.34
mars-19;261.15;126.06;387.21
avr-19;249.36;121.05;370.41
mai-19;261.18;102.59;363.77
juin-19;355.46;79.6;435.06
juil-19;474.83;82.4;557.23
août-19;461.82;81.44;543.26
sept-19;340.34;80.89;421.23
oct-19;280.42;127.04;407.46
nov-19;267.24;110.65;377.89
déc-19;285.44;134.07;419.51
janv-20;301;139;440
févr-20;268;120;389
mars-20;246;110;356
avr-20;217;59;276
mai-20;291;68;359
juin-20;336;85;422
juil-20;432;85;517
août-20;464;80;545
sept-20;543;90;634
oct-20;56;96;152
nov-20;254;100;354
déc-20;270;129;399
janv-21;286;146;432
févr-21;255;124;379
mars-21;276;135;411
avr-21;263;112;374
mai-21;286;83;369
juin-21;347;89;436
juil-21;419;84;503
août-21;454;81;534
sept-21;338;93;432
oct-21;271;113;384
nov-21;275;118;392
déc-21;293.337;165.357;459
janv-22;285.066;179.577;465
févr-22;233.892;145.746;380
mars-22;243.072;171.171;414
avr-22;242.613;127.512;370
mai-22;267.282;108.441;376
juin-22;335.331;105.777;441
juil-22;401.634;83.736;485
août-22;412.434;90.765;503
sept-22;335.178;88.767;424
