gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Siliana,24,دار الثقافة بوعرادة,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,7,580,0,0,0,3500,0,0,0,0,7500,120,100
Siliana,24,دار الثقافة مكثر,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,2,450,0,0,0,0,0,0,0,0,2300,110,100
Siliana,24,دار الثقافة كسرى ,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,5,420,0,7500,0,0,0,0,0,0,7000,80,110
Siliana,24,دار الثقافة الروحية ,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,6,540,0,10500,0,0,0,0,0,0,7500,90,180
Siliana,24,دار الثقافة العروسة,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,6,550,0,3000,0,0,0,0,0,0,6500,80,7
Siliana,24,دار الثقافة الكريب,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,6,632,0,0,0,0,0,0,0,0,7000,90,23
Sousse,31,شركة سيرك باباروني,مؤسسة خاصة,تونس مدن الفنون,الاستثمار الثقافي  (3),1,1,0,9300,0,0,0,0,0,0,2000,0,35
Sousse,31,فضاء الزندالة,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,11,20,0,0,0,4300,0,0,0,0,2000,0,35
Sousse,31,مسرح كورتينا,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,4,40,0,0,0,4200,0,0,0,0,2735,0,53
Sousse,31,فضاء تليلة,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,2,0,0,0,0,0,0,0,0,0,500,0,43
Sousse,31,فضاء inspiration,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,2,4,0,0,0,0,0,0,0,0,750,0,33
Sousse,31,قلعة الحفر,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,1,1,0,0,0,0,0,0,0,0,0,0,53
Sousse,31,رواق البيرو,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,10,21,0,0,0,0,0,0,0,0,7000,0,43
Sousse,31,فضاء أرينا,مؤسسة خاصة,تونس مدن الفنون,الفضاءات الثقافية الخاصة,1,40,0,0,27000,0,0,0,0,0,3720,0,0
Sousse,31,جمعيّة أحباء المكتبة والكتاب بسوسة,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,3,79,31500,22900,0,0,0,0,0,0,3400,0,120
Sousse,31,الرابطة التونسيّة للفنانين التشكيليين,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,1,7,0,728,0,0,0,0,0,0,300,0,200
Sousse,31,جمعيّة أحباء المكتابة والكتاب بالقلعة الصغرى,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,1,5,2000,0,0,0,0,0,0,0,100,0,70
Sousse,31,جمعيّة احباء المكتبة والكتاب بهرقلة,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,2,12,5000,0,10000,0,0,0,0,0,500,0,200
Sousse,31,جمعيّة أحباء المكتبة والكتاب ببوفيشة,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,2,20,0,0,0,0,0,0,0,0,2900,0,200
Sousse,31,جمعيّة الإتحاد الثقافي,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,3,7,3000,0,5000,0,0,0,0,0,400,0,300
Sousse,31,جمعيّة المبدعات العربيات,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,1,36,10000,1200,10000,0,0,0,0,0,1500,0,90
Sousse,31,جمعيّة راجح ابراهيم للبحوث والدراسات,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,1,1,0,641,0,0,0,0,0,0,100,0,600
Sousse,31,جمعيّة أحباء المكتبة والكتاب ببحمام سوسة,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,1,14,0,0,0,0,0,0,0,0,850,0,15
Sousse,31,جمعية Perspectives,المبادرات الجمعياتية,تونس مدن الآداب والكتاب,المبادرات الجمعياتية,1,0,0,0,0,0,0,0,0,0,0,0,60
Sousse,31,جمعيّة مهرجان سيدي خليفة,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,30,0,0,15000,5000,0,0,0,0,5000,0,0
Sousse,31,جمعيّة جنوب للتراث السينمائي,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,10,5000,0,0,0,0,0,0,0,2000,0,0
Sousse,31,النقابة المحليّة للفلاحين بمساكن,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,10,0,2000,0,0,0,0,0,0,2000,0,0
Sousse,31,جمعيّة أحباء المكتبة والكتاب بسوسة,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,61,30000,23000,0,0,0,0,0,0,4000,0,0
Sousse,31,جمعيّة سراج,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,5,0,1000,0,0,0,0,0,0,1000,0,0
Sousse,31,جمعيّة احباء المكتبة والكتاب ببوفيشة,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,0,0,2000,0,0,0,0,0,0,0,0,0,0
Sousse,31,جمعيّة علوم وتراث القلعة الكبرى,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,0,185500,0,4000,0,0,0,0,0,150,0,0
Sousse,31,rotary club ,المبادرات الجمعياتية,تونس مدن الحضارات,المبادرات الجمعياتية,1,4,0,1000,0,0,0,0,0,0,0,0,0
Sousse,31,جمعيّة السنباطي بسوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,5,0,0,0,4500,0,0,0,0,1800,0,60
Sousse,31,جمعيّة We love Sousse,,تونس مدن الفنون,المبادرات الجمعياتية,2,17,0,1500,0,0,0,0,0,0,7100,0,63
Sousse,31,جمعيّة نجمة للثقافة والفنون,,تونس مدن الفنون,المبادرات الجمعياتية,2,19,0,2450,0,0,0,0,0,0,1500,0,53
Sousse,31,جمعيّة رذاذ المتوسط بسوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,18,3000,0,0,0,0,0,0,0,0,0,45
Sousse,31,جمعيّة أحباء الفرنكوفونيات بسوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,7,0,0,40000,0,0,0,0,0,3000,0,33
Sousse,31,جمعيّة الأنس للموسيقى,,تونس مدن الفنون,المبادرات الجمعياتية,1,6,0,7000,1500,0,0,0,0,0,800,0,85
Sousse,31,جمعيّة المهرجان الدولي لفيلم الطفولة والشباب بسوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,107,5000,0,40000,0,13000,0,5000,0,2000,0,33
Sousse,31,جمعيّة خزامة في عينينا,,تونس مدن الفنون,المبادرات الجمعياتية,1,5,0,2000,0,0,0,0,0,0,3000,0,45
Sousse,31,جمعيّة اتحاد الفرنسيين بالخارج(فرع سوسة),,تونس مدن الفنون,المبادرات الجمعياتية,1,10,0,300,0,0,0,0,0,0,1000,0,114
Sousse,31,جمعيّة سراج للثقافة ,,تونس مدن الفنون,المبادرات الجمعياتية,2,16,0,5200,0,2300,0,0,0,0,5000,0,54
Sousse,31,جمعيّة الشباب المسرحي بحمام سوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,12,0,0,0,3650,0,0,0,0,2000,0,126
Sousse,31,جمعيّة دروب للتنمية والثقافة,,تونس مدن الفنون,المبادرات الجمعياتية,1,3,5000,0,3000,10000,0,0,0,0,900,0,390
Sousse,31,جمعيّة ابن رشد للثقافة والفنون,,تونس مدن الفنون,المبادرات الجمعياتية,2,16,4000,0,0,0,0,0,0,0,3600,0,53
Sousse,31,جمعيّة روافد للثقافة,,تونس مدن الفنون,المبادرات الجمعياتية,1,7,3000,0,0,0,0,0,0,0,400,0,54
Sousse,31,جمعيّة انسانيّة بلا حدود,,تونس مدن الفنون,المبادرات الجمعياتية,1,1,0,9300,0,0,0,0,0,0,800,0,63
Sousse,31,جمعيّة فاميليا,,تونس مدن الفنون,المبادرات الجمعياتية,1,1,0,700,0,0,0,0,0,0,200,0,58
Sousse,31,جمعيّة مهرجان كندار للإبداع الثقافي,,تونس مدن الفنون,المبادرات الجمعياتية,1,8,0,15500,0,0,0,0,0,0,9500,0,43
Sousse,31,الغرفة الفتيّة العالميّة بسيدي بوعلي,,تونس مدن الفنون,المبادرات الجمعياتية,1,5,0,9000,0,0,0,0,0,0,0,0,53
Sousse,31,جمعيّة منتدى المعرفة,,تونس مدن الفنون,المبادرات الجمعياتية,2,10,1000,0,8160,0,0,0,0,0,0,0,37
Sousse,31,جمعيّة مهرجان القنطاوي,,تونس مدن الفنون,المبادرات الجمعياتية,1,12,0,15000,45000,9000,0,0,7000,5000,6140,0,73
Sousse,31,مهرجان سوسة الدولي,,تونس مدن الفنون,المبادرات الجمعياتية,1,23,0,0,250000,0,0,0,40000,105000,16000,72,53
Sousse,31,جمعيّة استعراض أوسو,,تونس مدن الفنون,المبادرات الجمعياتية,1,1,0,0,5000,0,0,0,0,0,35000,0,53
Sousse,31,جمعيّة سيدي بومنديل,,تونس مدن الفنون,المبادرات الجمعياتية,1,10,0,5500,0,6000,0,0,0,0,3280,25,63
Sousse,31,الغرفة الفتيّة العالميّة بسوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,3,0,0,0,0,0,0,0,0,1000,0,65
Sousse,31,جمعيّة مهرجان مساكن الصيفي,,تونس مدن الفنون,المبادرات الجمعياتية,1,9,0,0,0,15450,0,0,5000,10000,4000,12,63
Sousse,31,جمعيّة مهرجان بوفيشة,,تونس مدن الفنون,المبادرات الجمعياتية,2,14,16000,14800,0,750000,0,0,4000,1500,9000,10,109
Sousse,31,جمعيّة هرقلة للمستقبل,,تونس مدن الفنون,المبادرات الجمعياتية,1,12,2000,1500,0,3800,0,0,0,0,3000,0,43
Sousse,31,الأيام الثقافيّة بحي الزهور,,تونس مدن الفنون,المبادرات الجمعياتية,1,4,0,5500,0,0,0,0,0,0,3000,0,73
Sousse,31,جمعيّة جنوب للتراث السينمائيّة,,تونس مدن الفنون,المبادرات الجمعياتية,1,40,0,,0,0,0,0,0,0,1000,0,44
Sousse,31,جمعيّة مهرجان النفيضة الصيفي,,تونس مدن الفنون,المبادرات الجمعياتية,1,6,0,13500,0,0,0,0,8500,10000,9000,30,73
Sousse,31,جمعيّة أطفال مبدعون,,تونس مدن الفنون,المبادرات الجمعياتية,1,1,0,3000,0,0,0,0,0,0,1000,0,43
Sousse,31,جمعيّة منزل المحطّة ,,تونس مدن الفنون,المبادرات الجمعياتية,1,7,0,7000,0,0,0,0,0,0,6000,0,53
Sousse,31,جمعيّة المهرجان الدولي للزيتونة بالقلعة الكبرى,,تونس مدن الفنون,المبادرات الجمعياتية,1,18,10000,6000,40000,18400,0,0,20000,0,5000,0,63
Sousse,31,جمعيّة المسرح العربي بحمام سوسة,,تونس مدن الفنون,المبادرات الجمعياتية,1,10,2000,0,0,17000,0,0,8000,800,2400,0,37
