N° INV ,Nom-de-l-artiste,Titre-d-œuvre,Technique,Dimension-en-cm,Evenement,Lieu,Date-de -transfert,Date-d-overture ,Date-de-cloture,Nombre
9811/5,,Les formes cachés de la main,,(70x20)x5,,,,,,
9886,Feteh Ben Ameur,كركوش 3,Céramique,47x7x2,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
10958,,Kartouch,,37x21,,,,,,
8165,Sahbi Chtioui,Nuit d'amour,Sculpture en bronze,82x28,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
9255,,L'homme Rabeb,,21x23x87cm,,,,,,
8118,Ali Trabelsi,لا خير في خلّ يخون خليــلا,Bois peint et fer forget,114x68,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
8457,,Calligraphie,Sculpture en bois,117x53,,,,,,
7920,Samir Ben Gouiaa,دوائر شرقيــــــة,Bois sculpté sur socle en marbre,59x49,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
10404,Abdessalem Charfi,مأطورة,céramique,60x29,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,31/07/2018,2
9913,,Sans titre,technique mixte,75x20x3,معرض نحتي ومنحوت,,43172,,,
9885/8,Zinet Triki,Ruine,Céramique,24x2/5x5,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
10441,Insaf Saada,Cercle polaire,technique mixte sur toile,60x60,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,31/07/2018,4
6133,,La carte du Joker,Huile sur toile,100x150,تزويق الجناح الرئاسي,,43262,,,
6223/3,,1) Toile x                     2) Le gobe temps        3) Porte d'enfer,Huile sur toie,1) 2) 250x50   3) 146x81,تزويق الجناح الرئاسي,,43262,,,
6827,,1)Libellules                  2)Colonne chauffeuse,1)Acrylique sur toile et broderie   2)Installation colonne tamis en bois superposé,1)260x115      2)230x40,معرض نحتي ومنحوت,,43172,,,
2283,Mohamed Ben Damir,Emergence,Céramique,199x34,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
8411/2,Mohamed Yengui,sans titre,Céramique à haute température 1280°,1)48x35-25x39            2)52x38-28x42,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,31/07/2018,2
7841,,نـــــــافـــــــــذة,Céramique,49x32,معرض نحتي ومنحوت,,43172,,,
10446/3,Mahdi Kriâa,Le show,céramique,(44x23x6)x3,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
2601,Mohamed Marouane,Offrande,Sculpture polystère,70x40,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
7208/3,,أبواب صفاقس,,100x45-96x23-100x70,,,,,,
7855,Hafedh Rekik,Seduction,Bas relief en bronze,51x34,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
6384,Hamda Ben Salem,Evanouissement,Sculpture en marbre,111x38 avec socle,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
9458,,نحو الإنفراج,,60x19x35,,,,,,
10408,Mohamed Sahnoun,تركيبة,gravure sur bois,134x69,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,31/07/2018,2
9373,,Sans titre,Sculpture en bois,124x66.5 cm,معرض نحتي ومنحوت,,43172,,,
6396,Mourad Ben Brika,Personnage,Sculpture en marbre de foussana,61x12,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10927,,Le kangourou qui ne vit jamais seul,Sculpture en résine,"61x17x34 socle 19,5x65",معرض نحتي ومنحوت,,43172,,31/07/2018,
9059,Moez Safta,Bernard l'ermite,SCULPTURE EN MARBRE BLANC,30x18x60 cm,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
8596\2,,Identification spéculaire,Sculpture en marbre,60x30x2,,,,,,
7848,Walid Laawey,إكتمــــــــال,métal نحــت,158x40 avec socle,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
8040,Taïeb Belhaj Ahmed,Visages multiples,Technique mixte bois et bronze,200x130,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
7377,Sadika Keskes,Stèle,Pâte de verre sur acier,179x30,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
8679/2,Mohsen Jliti,Couple,Metal,1)178x31      2)173x31,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
11731/3,Mohsni Abdelaziz,Les prescienses ridicule,sculpture en bois et fer,158x 50 x 20 x 2 -150 x 20 x 20 x 1,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
11902,,A pleine dent,"Sculpture (métal, papier maché,acrylique)",279x55 socle 50x30,,,,,,
11533,Bahrini Yosri,Gladiateur 2,Installation en fer,88x41x9,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
9635,Najet Gherissi,Le peuple veut,Sculpture métillique,150x89x45,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
11805,,corps-tiroir,Sculpture en fer,210x65x68,,,,,,
875,Abdelaziz Gorgi,Le rêve,Gouache,70x92,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,31/07/2018,2
8102/2,,Le couple,Sculpture métal peint,1) 48x33            2) 90x25,معرض نحتي ومنحوت,,43172,,,
8053,Rym Karoui,Cléo règne,Sculpture en bois,170x111,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
12125,Mhiri Wadii,le mal en fleur,Installation,60x25x32 socle en bois76x33x27     socle plexie 65x36x36,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
12126,Ghuali Mongi,Raku,ceramique,52x40x36,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
11475,Ben Naya  Hamadi,Le marionnettiste,Composition,130x55,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
11230/3,Ben Atia Sarra,Dans les bras d'un ange,Céramique,"1)37x33x6,5     2)42x24x6     3)41x33x6,5",معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
11728,Bouaziz Mohamed,Profendeur de vie,Sculpture en marbre sur socle en marbre,67X28X28,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
8811,Triki Bchira,Résonnance I,Technique mixte sur toile,180x130,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,31/07/2018,2
11792/9,,La voile du silence,Installation Plexyglass -toile- Feuilles dorés  - charbon - sel,(1) 181x35x35             (2) 187x35x35 +cube 25x25cm                   (3)  97x25x25+   cube 15x15 cm                    ( contient des feuilles dorés)                           (4) 87x25x25 cm (contient du charbon)     + cube 15x15 cm (contient du sel)            (5) 142x30x30 cm         (6) 204x140 cm,معرض نحتي ومنحوت,,43172,,,
11635/2,Abdeltif Lynda,genèse 1,Céramique ,Voir fiche technique,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
534 Bis,على بن سالم,L’arrestation,Aquarelle/papier,60 x 67    50 x 46,معرض حداثة تونسية,مدينة الثقافة,43172,23/03/2018,31/07/2018,1
931,هادي خياشي,La fileuse,Peinture,96 x 98,معرض حداثة تونسية,مدينة الثقافة,43172,23/03/2018,31/07/2018,1
5574,Jules Lellouche,Bedouine,Huile sur carton,58x 47    62 x 55,معرض حداثة تونسية,مدينة الثقافة,43172,23/03/2018,31/07/2018,1
7301,Moses Levy,Alia,Huile sur isorel,x37.5 27.5,معرض حداثة تونسية,مدينة الثقافة,43172,23/03/2018,31/07/2018,1
7725,Moynier,Portrait Kheïreddine Pacha,Huile sur toile,80 x 64,معرض حداثة تونسية,مدينة الثقافة,43172,23/03/2018,31/07/2018,1
7814,Ali Bellagha,Nature morte,Bois gravé peint acrylique,40x30,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,4
6166,,Sequoia bleu,Lighographie,55x75,,,43262,,,
9206,,Nature morte,Acrilique /bois gravé,45x62cm -57x74cm,,,43262,,,
3316,,Le musicien,Bois gravé acrylique,68x83,,,43175,,,
6203/2,Zoubeïr Turki,1) Le bain maure         2) Soirée de Ramadan,Encre sur papier,1) 65x130       2) 45x40,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
2159,,Prmière pluie,Dessin à l'encre de chine sur canson,57x71,,,43175,,,
6204,Ali Ben Salem,Le chapelet,Encre sur bois,60x45,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
535,,Groupe de filles,Gouache,67x88,,,43175,,,
9427,Ali Ridha Saïd,Abou El Kacem Echabbi,Acryllique sur toile,100x100,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,,1
457,Jalel ben Abdallah,Mariée,Peinture,81x111,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,,1
8747,Ezedine Brari,Garbagi,Huile sur toile,94x87-92x82,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,,1
4090,Adel Megdiche,La dame de pique,Huile sur toile,88x108,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,,2
7520,,Onde bleue,Huile sur toile,100x81,,,,,,
6167,Yahia Turki,Scène de mariage dans la cour d'un palais de la médina,Huile sur toile,100x80,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
1366,,Mariage à Djerba,Peinture,132x99,,,43175,,,
10094,Meher Trabelsi,القناع,Terre cuite + corde sur contre plaqué,135x25 /153x40,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,,1
6127,Abdelhamid Hajem,Femme,Sculpture en bois et céramique,38x20,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
11241,,Femme allongé,Sculpture sur marbre,50x30 - x30,,,43175,,,
10413,Mehrez Ellouz,Maternité,SCULPTURE SUR MARBRE,63x40x20,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,,1
10454/2,Imen Chatouene,Malformed,céramique,(29x9x13)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10351,Rachida Amara,Album mariage,encre sur papier canson,77x57,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10922, Lasâad Ben Alaya,Ouled El Ghoula++++,Encre e feutre et aquarelle ,70x54-59x43,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6176,Habib Bouabana,1) Bleu de nuit             2) Le patriarche,Huile sur c.plaqué,1)60x40          2)64x50,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
6153,,آخـــر شطحــــــة,Acrylique,100x81,,,,,,
10339,,Berger,Gouache sur papier,64x50,,,,,,
10901,Fadhel Ghdira ,Voyante,Pastel sur papier,77x77-54x54,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10270,,Volupté,Pastel sur contre plaqué,79x64,,,,,,
10235/3,Oussema Troudi,Œuvre collective -papillon,Acrylique sur toile,(200x150)x3,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8423,Rafik El Kamel,Nature morte,Acrylique sur toile,100x65,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,13
4420,,Crépuscule,Peinture sur toile,100x73,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
9199,,Transfiguration figuratif ,Acrylique /toile,130x97cm,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
6214,,Oliveraie,Huile sur toile,116x89,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
6081,,Transfiguration n° 10,Tech.mixte,49x64,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
4590,,Auto portrait,Peinture sur toile,73x100,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
1454,,Gouache n°21,Gouache,75x60,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
3761,,Bab Souika,Huile sur  toile,116x88,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
4036,,Midi,Huile sur toile,73x100,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,
9918,,Transfiguration figuratif 4,Acrylique sur toile,146x114,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,
7880/3,,Triptyque  14/18/43,Gouache /papiper,27x39x3,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,
6224,,Transfiguration 1-2,Acrylique,1) 260x190     2) 150x250,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,
10690,,Sans titre,Acrylique sur toile,190x140,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,
6264,Sami Ben Ameur,تخيــــــــــــل,Huile sur toile,150x100,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,4
8910,,Strates,Techn.mixte sur toile,165x124,,,,,,
9149,,Energie ,Tech mixte,150x150cm,,,,,,
10401,,Terre originelle ,technique mixte,150 de diamétre,,,,,,
8918,Mongi Mâatoug,Scénario,Acrylique sur toile,150x130,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10379,,Cutannée,Acrylique sur toile,120x200,,,,,,
9822/2,Ali Tnani,En chantier,1)Acrylique sur toile 2)Technique mixte sur toile,(200x150)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10591,,Cartographie du reste =//= 2,Acrylique et pastel sur toile,222x152,,,,,,
10382,Adnene Haj Sassi,Basta,Acrylique sur toile,85x180,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10263,Mohamed Chalbi,Entre deux rives,Huile sur toile,100x150,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10535,Wissem Ben Hassine,Amour 3,technique mixte sur toile,100x80,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
9807,,Porteuse de vie,Technique mixte sur toile,146x114,,,,,,
10683,Hedi Khelil,Sans titre,Technique mixte,150x110,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10266,Sadok Gmach,En attendant Bodot 2,Huile sur contre plaqué,160x135,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10307,Jamel Sghaïer,composition 3,technique mixte,160x130,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10255,Neïla Ben Ayed,Trace de vie,Technique mixte sur toile,200x140,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10907,Mohamed Melki ,Liberté,Acrylique sur contre plaqué,113x82-92x68,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10643,,عرس التراث,Tech.mixte (pastel-sable-huile),180x130,,,,,,
10697,Gouider Triki,Sans titre,Technique mixte - pastel et acryliqe sur papier,91x68 -72x49,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,5
8005/2,,1)Conte de sauterelle 2)Bleu imaginaire,Technique mixte sur papier,(58x39) x2,تزويق الجناح الرئاسي,,43262,21/03/2018,,
6137,,Sans titre,Gravure,32x23-54x39,تزويق الجناح الرئاسي,,43262,21/03/2018,,
9874,,Sans titre,Gravure sur papier,1)26x19 2)52x35,تزويق الجناح الرئاسي,,43262,21/03/2018,,
7238,,La lune noire -           Les loups,Tech.mixte sur papier - Huile sur papier,98x71 - 96x69,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
9948/2,Ali Batrouni,Sans titre,Technique mixte sur toile,100x40,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10039/9,Mohamed Ben Soltane,Nine,Feutre sur nape en plastique,1°) 2°) 7°) et 8°) 41x37// 3°) et 9°)31x37// 4°) et 5°) 41x48,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10354/4,Nabil Sami,Fœtus,Acrylique sur toile,(40x40)x4,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10375/2,Mohamed Regaïeg,ثنائيّة,Acrylique sur toile,1)102x92        2)101x92,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10355,,قصور صحراويّة,Acrylique sur toile,110x60,,,,,,
10614,Bechir belgesem Lakhdhar,أمــل,Technique mixte sur toile,80x103,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10022,Radhouane Ayedi,Figues d'empreinte,Acrylique sur toile,98x81,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10437,,Sur une voie,acrylique sur toile,70x46,,,,,,
10335,Nabiha Guigua,Composition 1,T. mixte sur toile,130x96,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10388/2,Faouzia El Hichri,ترسّب,1)impression sur contreplaqué 2)gravure sur contreplaqué,61x92/(50x40)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10452,Zoubeïr Lasram,Griffe 31,Acrylique sur contre plaqué,130x97,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10333/2,Mohamed Hachicha,Danse,céramique,(55x55)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10282/4,Zied Ben Slama,L'une et l'autre,Technique mixte sur papier,1)37x24/47x30 2)33x23/45x30 3)42x29 4)29x20/42x29,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10536,Noutheyl Belkadhi,Les inséparables,sculpture en fer,38x23x12,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10618,Mokhtar Hnène,Sortie du hammam,Arylique sur toile,40x30,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10472,Lobna Abdelmoula,Efleurissance,technique mixte sur toile,48x48/54x54,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9859,Nello Levy,Chantier naval,Huile sur papier gris/gris,38x61,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10329,Karim Kamoun,Mondes parallèles,photo(impression sur toile),160x158,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10956,Rabiaa Rinchi ,Sans titre,Acrylique sur toile,30x80,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10908,Slim Khiari ,Bruit muet,Tech.mixte acrylique + collage,124x94,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10137,Marianne Catzaras,Le fauteuil,Photo,76x123,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
11131,Abdelmajid Ben Massaoud,Nostalgie,Acrylique/toile,94X75,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10982,,تجـــريـــد,Acrylique sur toile,84x103,,,,,,
9087,,فتاة القيروان 1,Huile sur toile,89x116cm,,,,,,
10412,Wissem Gharsallah,حالة,acrylique sur toile,141x70,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10076/2,Noemen Gmach,Effervescence,Acrylique sur toile,(140x80)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8992,Rim Karoui,Autoportrait,Tech.mixte sur toile,160x140,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
6212,,W.W.W.Olive,Tech.mixte,162x132,,,,,,
10426,,Cône,céramique,42x22x17 de diamétre,,,,,,
10917/4,Fatma Samet,Métamorphose capsienne,Tapisserie sur plaque,74x73-50x50,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10311,,Horizons insulaire,tapisserie,201x252,,,,,,
10310,Mohamed Njah,Ecriture,tapisserie,184x101,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10916,,Une lettre d'amour,Tapisserie,176x82,,,,,,
10480/4,Kamel Abdallah,Métamorphose,gravure,1)32x23/55x37 2)33x24/50x32 3)28x22/50x32 4)33x25/50x32,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10439,Banour Machfar,Paysage,photo,68x48/80x60,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10353,Rania Warda,Démocratie,Technique mixte,37x95/55x107,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10445,Naceur Ben Cheïkh,Tramage 3,photo numérique,75x75,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9856,Henri Sâada,Porteur d'eau à Sidi Bou Saïd,Huile sur toile,80x40,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10328/2,Marouen Trabelsi,Lueurs ombragées,impression sur toile,(92x16)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10660,Zakaria Chaïbi,L'autiste,Photographie,60x40,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10267/2,Abderrazak Khéchine,Cimetiére,Photo,(62x52/39x29)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10594/4,Rym Ben Cheïkh,Taisez-vous,Céramique,24x22-35x28 x 4,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10652,Selim Gamri,Anima  X I,Gravure sur acier,36x24x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10659,Nidhal Chaïbi,100 ans de solitude,Photographie,50x50,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8757,Ali Aïssa,Sans titre,Huile sur toile,158x128x69,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
9844,,Révolution,Technique mixte sur toile,96x98x51,,,,,,
6379,Amor Ben Mahmoud,Ali Riahi,Sculpture en bronze,44x33,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10589,,Abstraction,Acrylique sur toile,113x76,,,,,,
9799/2,Ibrahim Matouss,Ebbaya mougou,Technique mixte sur contre plaqué,1)155x110 2)200x110,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
10292,,النّاطق الرّسمي,Technique mixte sur contreplaqué,83x80,,,,,,
10200,Mouna Jmal Siala,La descente,Photo,102x76,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10941,Ahlem Boussandel ,إختراقات,Tech.Mixte sur toile,100x101,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9931,Habib Jemaï,Personnages 2,Acrylique sur toile,89x89,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10903, Ahmed Souabni,Le billet,Huile sur toile,103x71-91x69,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6162,Mohamed Ben Slama,Liberté pour les fous ,Huile sur toile,126x150,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,4
6154/2,,حلـــم غيـــر مستكــمــــل            -   الحمـــــل المغتـــــاظ,1) Acrylique           2) Huile,120x100 x 2,,,,,,
9295,,Cheese,Huile/toile,150x125 cm,,,,,,
10682,,Sans titre,Acrylique sur toile,100x100,,,,,,
10271,Amor Ghdemsi,Danse,Technique mixte sur toile,99x80,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
