N° de la ligne;N° de station;Nom de station;Longitude;Latitude
15 B (Retour);14;JARDIN THAMEUR;10.17809218246839;36.803733581002334
25A;1;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25A;2;DUBOSVILLE;10.191749520599842;36.78398844608775
25A;3;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25A;4;EL AFRANE;10.196620915085077;36.77966739885177
25A;5;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25A;6;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25A;7;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
25A;8;SIDI FATHALLAH2;10.209237523376942;36.76676671813417
25A;9;SONED;10.210255023557693;36.76529492194135
25A;10;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25A;11;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25A;12;MUNICIPALITÉ BEN AROUS;10.225330777466297;36.748319323971195
25A;13;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25A;14;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25A;15;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25A;16;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25A;17;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25A;18;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25A;19;MOUROUJ 3;10.223093312233686;36.72045515373588
25A;20;STEG NASSEN;10.224288068711758;36.715405140800364
25A;21;CITÉ BELLILE;10.227562375366688;36.709693191027235
25A;22;PTT NAASSEN;10.23213361389935;36.704079937415116
25A;23;LYCÉE NASSEN;10.222112629562616;36.69938214352963
25A;24;CENTRE DE FORMATION AGRICOLE NAASEN;10.214580483734608;36.69581094263369
25A;25;TUNISIE PORCELAINE;10.210101949051023;36.69410996362219
25A;26;CHEBEDDA 25 A;10.207628952339292;36.693245379518096
25A;27;DERBIGUM;10.200370894744992;36.69208398258443
25A;28;MOSQUÉE RAHMA;10.195483155548573;36.689839439204505
25A;29;BRIQUETERIE TUNISIENNE;10.190912671387196;36.6909406481322
25A;30;HUILERIE BEN SAIDAINE;10.185182467103004;36.69281153798233
25A;31;FERME GAMMOUDI;10.177372880280018;36.695259299685794
25A;32;LYCÉE FOUCHANA;10.172990905120969;36.69713808203267
25A;33;ENTRÉE FOUCHANA;10.170059837400913;36.69838139334178
25A;34;CAFÉ SABIHA;10.16860792413354;36.69893482842169
25A;35;CITÉ ERRIADH FOUCHANA;10.16242989571765;36.70223464018122
25A;36;CITÉ EL AMAL;10.164080606773496;36.703576738491336
25A (Retour);1;CITÉ EL AMAL;10.164080606773496;36.703576738491336
25A (Retour);2;CITÉ ERRIADH FOUCHANA;10.16242989571765;36.70223464018122
25A (Retour);3;CAFÉ SABIHA;10.16860792413354;36.69893482842169
25A (Retour);4;ENTRÉE FOUCHANA;10.170059837400913;36.69838139334178
25A (Retour);5;LYCÉE FOUCHANA;10.172990905120969;36.69713808203267
25A (Retour);6;FERME GAMMOUDI;10.177372880280018;36.695259299685794
25A (Retour);7;HUILERIE BEN SAIDAINE;10.185182467103004;36.69281153798233
25A (Retour);8;BRIQUETERIE TUNISIENNE;10.190912671387196;36.6909406481322
25A (Retour);9;MOSQUÉE RAHMA;10.195483155548573;36.689839439204505
25A (Retour);10;DERBIGUM;10.200370894744992;36.69208398258443
25A (Retour);11;CHEBEDDA 25 A;10.207628952339292;36.693245379518096
25A (Retour);12;TUNISIE PORCELAINE;10.210101949051023;36.69410996362219
25A (Retour);13;CENTRE DE FORMATION AGRICOLE NAASEN;10.214580483734608;36.69581094263369
25A (Retour);14;LYCÉE NASSEN;10.222112629562616;36.69938214352963
25A (Retour);15;PTT NAASSEN;10.23213361389935;36.704079937415116
25A (Retour);16;CITÉ BELLILE;10.227562375366688;36.709693191027235
25A (Retour);17;STEG NASSEN;10.224288068711758;36.715405140800364
25A (Retour);18;MOUROUJ 3;10.223093312233686;36.72045515373588
25A (Retour);19;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25A (Retour);20;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25A (Retour);21;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25A (Retour);22;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25A (Retour);23;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25A (Retour);24;ARRÉT JARDIN D'ENFANTS;10.22442390138167;36.7508351631038
25A (Retour);25;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25A (Retour);26;BNA BEN AROUS;10.22040163166821;36.75617973867877
25A (Retour);27;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25A (Retour);28;SONED;10.210255023557693;36.76529492194135
25A (Retour);29;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
