Code_BR,Categorie_Aderant,Code_Regime,Annees,Nombre
64,TS,154,2022,9
67,TS,154,2022,651
69,TS,154,2022,9
70,TS,154,2022,40
71,TS,154,2022,3
72,TS,154,2022,32
73,TS,154,2022,"1,339"
74,TS,154,2022,0
80,TS,154,2022,126
81,TS,154,2022,127
82,TS,154,2022,7
83,TS,154,2022,349
84,TS,154,2022,393
85,TS,154,2022,127
86,TS,154,2022,163
10,TS,155,2022,2
12,TS,155,2022,0
13,TS,155,2022,0
14,TS,155,2022,1
16,TS,155,2022,2
17,TS,155,2022,0
18,TS,155,2022,32
19,TS,155,2022,0
20,TS,155,2022,0
22,TS,155,2022,1
23,TS,155,2022,0
24,TS,155,2022,0
25,TS,155,2022,0
28,TS,155,2022,3
29,TS,155,2022,0
30,TS,155,2022,0
31,TS,155,2022,0
34,TS,155,2022,0
36,TS,155,2022,0
37,TS,155,2022,0
38,TS,155,2022,0
40,TS,155,2022,0
43,TS,155,2022,0
46,TS,155,2022,0
47,TS,155,2022,0
48,TS,155,2022,0
49,TS,155,2022,1
50,TS,155,2022,0
51,TS,155,2022,0
52,TS,155,2022,12
53,TS,155,2022,0
54,TS,155,2022,0
55,TS,155,2022,1
56,TS,155,2022,4
58,TS,155,2022,0
61,TS,155,2022,0
62,TS,155,2022,0
64,TS,155,2022,0
67,TS,155,2022,0
69,TS,155,2022,0
70,TS,155,2022,1
71,TS,155,2022,1
72,TS,155,2022,2
73,TS,155,2022,0
74,TS,155,2022,0
80,TS,155,2022,0
81,TS,155,2022,1
82,TS,155,2022,0
83,TS,155,2022,1
84,TS,155,2022,0
85,TS,155,2022,0
86,TS,155,2022,3
10,TS,157,2022,393
12,TS,157,2022,28
13,TS,157,2022,15
14,TS,157,2022,5
16,TS,157,2022,2
17,TS,157,2022,2
18,TS,157,2022,0
19,TS,157,2022,3
20,TS,157,2022,0
22,TS,157,2022,7
23,TS,157,2022,6
24,TS,157,2022,0
25,TS,157,2022,10
28,TS,157,2022,24
29,TS,157,2022,2
30,TS,157,2022,0
