gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Tunis,تونس,11,قرطاج,ملعب المصارعة الدائري,01/03/1905,"36°51'27.83""N","10°19'46.15""E",,
Tunis,تونس,11,قرطاج,ملعب سباق الخيل,01/03/1905,"36°51'13.87""N","10°19'2.65""E",,
Tunis,تونس,11,قرطاج ,المقبرة البونية طوفات قرطاج,29/07/2002,"36°50'28.52""N","10°19'22.31""E",,
Tunis,تونس,11,مدينة المرسى,قصر العبدلية,10/09/1923,"36°52'49.07""N","10°19'33.94""E",,
Tunis,تونس,11,مدينة باردو,الحنايا الحفصية,19/03/1894,"36°48'41.59""N","10° 8'58.03""E",,
Tunis,تونس,11,مدينة باردو,باب المالية,25/01/1922,"36°48'48.60""N","10° 8'49.08""E",,
Tunis,تونس,11,مدينة باردو,حصن ثكنة باردو,03/05/1920,"36°48'31.81""N","10° 8'48.95""E",,
Tunis,تونس,11,مدينة باردو,حمام الآميرات,25/01/1922,"36°48'50.52""N","10° 8'27.31""E",,
Tunis,تونس,11,مدينة باردو,قصرحسين باشا,16/11/1928,"36°48'39.67""N","10° 7'52.72""E",,
Tunis,تونس,11,مدينة باردو,الآجزاء المبنية من دار الباي قبل 1870,16/11/1928,"36°48'21.54""N","10° 7'42.02""E",,
Tunis,تونس,11,جزيرة شكلي,الحصن الآسباني,25/01/1922,"36°48'59.43""N","10°13'1.39""E",,
Tunis,تونس,11,مدينة تونس,الباب الشمالي لسوق القماش,16/11/1928,"36°47'49.95""N","10°10'14.88""E",,
Tunis,تونس,11,مدينة تونس,الجامع الجديد,13/03/1912,"36°47'41.05""N","10°10'25.64""E",,
Tunis,تونس,11,مدينة تونس,الزاوية الطبربية,25/01/1922,"36°47'59.59""N","10°10'3.12""E",,
Tunis,تونس,11,مدينة تونس,المدرسة الباشية,13/03/1912,"36°47'48.79""N","10°10'16.51""E",,
Tunis,تونس,11,مدينة تونس,المدرسة الشماعية  زنقة الشماعية ,19/10/1992,"36°47'53.01""N","10°10'13.10""E",,
Tunis,تونس,11,مدينة تونس,المدرسة الصادقية  نهج سنان باشا ,19/10/1992,"36°47'54.79""N","10°10'1.12""E",,
Tunis,تونس,11,مدينة تونس,المدرسة العاشورية  نهج حوانت عاشور ,19/10/1992,"36°48'6.99""N","10°10'10.14""E",,
Tunis,تونس,11,مدينة تونس,المدرسة العلوية  نهج الطاهر الحداد ,19/10/1992,"36°47'23.87""N","10°10'17.32""E",,
Tunis,تونس,11,مدينة تونس,المدرسة العنقية  نهج عنق الجمل ,19/10/1992,"36°47'54.60""N","10°10'17.25""E",,
Tunis,تونس,11,مدينة تونس,المدرسة المرادية  سوق القماش ,19/10/1992,"36°47'49.74""N","10°10'15.01""E",,
Tunis,تونس,11,مدينة تونس,المسرح البلدي  لمدينة تونس ,19/10/1992,"36°47'57.71""N","10°10'50.70""E",,
Tunis,تونس,11,مدينة تونس,المقر الحالي للخزينة العامة للبلاد التونسية,15/01/2001,"36°48'7.94""N","10°10'43.71""E",,
Tunis,تونس,11,مدينة تونس,باب البحر,13/03/1912,"36°47'57.03""N","10°10'32.27""E",,
Tunis,تونس,11,مدينة تونس,باب الجديد,13/03/1912,"36°47'32.78""N","10°10'16.24""E",,
Tunis,تونس,11,مدينة تونس,باب الحفصية,16/11/1928,"36°48'4.21""N","10°10'10.60""E",,
Tunis,تونس,11,مدينة تونس,برج سيدي يحي 25 نهج البرج باب العسل ,31/08/1999,"36°48'44.56""N","10°10'3.82""E",,
Tunis,تونس,11,مدينة تونس,تربة الباشا,25/01/1922,"36°47'53.16""N","10°10'14.06""E",,
Tunis,تونس,11,مدينة تونس,تربة الباي,13/03/1912,"36°47'37.11""N","10°10'23.24""E",,
Tunis,تونس,11,مدينة تونس,تربة البلهوان,16/11/1928,"36°47'34.23""N","10°10'24.61""E",,
Tunis,تونس,11,مدينة تونس,تربة الفلاري,25/01/1922,"36°48'16.04""N","10°10'7.56""E",,
Tunis,تونس,11,مدينة تونس,تربة حفيز خوجة,25/01/1922,"36°47'59.03""N","10°10'3.03""E",,
Tunis,تونس,11,مدينة تونس,تربة سيدي بوخريصان 12 نهج بن محمود ,31/08/1999,"36°47'44.61""N","10°10'12.79""E",,
Tunis,تونس,11,مدينة تونس,تربة عزيزة عثمانة,25/01/1922,"36°47'49.87""N","10°10'8.10""E",,
Tunis,تونس,11,مدينة تونس,تربة لاز,13/03/1912,"36°47'36.17""N","10°10'22.77""E",,
Tunis,تونس,11,مدينة تونس,تربة مراد باي,16/11/1928,"36°47'37.26""N","10°10'23.39""E",,
Tunis,تونس,11,مدينة تونس,تربة يوسف داي,03/03/1915,"36°47'49.81""N","10°10'10.12""E",,
Tunis,تونس,11,مدينة تونس,جامع  يوسف داي,03/03/1915,"36°47'49.03""N","10°10'10.29""E",,
Tunis,تونس,11,مدينة تونس,جامع الزيتونة,13/03/1912,"36°47'50.24""N","10°10'16.45""E",,
Tunis,تونس,11,مدينة تونس,جامع القصبة,13/03/1912,"36°47'48.40""N","10°10'3.23""E",,
Tunis,تونس,11,مدينة تونس,جامع القصر,13/03/1912,"36°47'42.85""N","10°10'11.81""E",,
Tunis,تونس,11,مدينة تونس,جامع الهواء,13/03/1912,"36°47'34.15""N","10° 9'54.47""E",,
Tunis,تونس,11,مدينة تونس,جامع باب الجزيرة,13/03/1912,"36°47'31.73""N","10°10'35.30""E",,
Tunis,تونس,11,مدينة تونس,جامع حمودة باشا,13/03/1912,"36°47'53.53""N","10°10'14.70""E",,
Tunis,تونس,11,مدينة تونس,جامع صاحب الطابع,13/03/1912,"36°48'27.72""N","10° 9'59.62""E",,
