CRE;Ecole primaire;Nombre total des élèves;Nombre des élèves bénifiçiares de la cantine;Adresse de l'école;Distance entre le banque d'alimentation et l'école;Contient une salle à manger (oui/non);Long;Lat
باجة;م.إ.  مزوغة;0;66;مزوغة تستور ;80;لا توجد معطيات;9,340556;36,605572
باجة;م.إ.  التلة;0;4;قبلاط ;81;لا توجد معطيات;9,819844;36,581913
باجة;م.إ.  القلاع;0;25;تستور ;85;لا توجد معطيات;9,246061;36,574267
باجة;م.إ.  البد;0;35;البد;98;لا توجد معطيات;9,5813778;36,794211
المهدية;م.إ.  أولاد عمر السيدة;356;250;معتمدية السواسي ;5;لا توجد معطيات;10,418558;35,46766
المهدية;م.إ.  الجعاونية;188;180;معتمدية السواسي ;5;لا توجد معطيات;10,56882;35,320632
المهدية;م.إ.  السودان;182;141;معتمدية السواسي ;5;لا توجد معطيات;10,568844;35,255578
المهدية;م.ا. سيدي زيد;218;70;معتمدية السواسي;5;لا توجد معطيات;10,49801248;35,36125735
المهدية;م.إ.  الجميعات;409;100;معتمدية السواسي;8;لا توجد معطيات;10,517569;35,303324
المهدية;م.إ. القوادرية;160;130;معتمدية السواسي ;6;لا توجد معطيات;10,591401;35,324277
المهدية;م.إ.  القدارات;271;160;معتمدية السواسي;13;لا توجد معطيات;10,538513;35,281887
المهدية;م.إ.  البزاينية;222;125;معتمدية السواسي;8;لا توجد معطيات;10,507905;35,376578
المهدية;م.إ.  أولاد خليفة;157;104;معتمدية السواسي ;8;لا توجد معطيات;10,436252;35,37906
المهدية;م.إ.  الشحيمات الجنوبية;354;250;معتمدية السواسي;9;لا توجد معطيات;10,460931;35,390341
المهدية;م.إ. الحثرمين;145;100;معتمدية السواسي ;9;لا توجد معطيات;10,447758;35,359677
المهدية;م.إ. الفــرجان;132;81;معتمدية السواسي;13;لا توجد معطيات;10,558682;35,288585
المهدية;م.إ.  أولاد مولاهم الشرقية;548;400;معتمدية السواسي ;14;لا توجد معطيات;10,43041845;35,34378572
المهدية;م.إ. أولاد عون;179;135;معتمدية السواسي ;10;لا توجد معطيات;10,636053;35,363346
المهدية;م.إ.  أولاد الحناشي;235;150;معتمدية شربان;10;لا توجد معطيات;10,458511;35,309569
المهدية;م.إ.  الكساسبة;491;200;معتمدية السواسي;11;لا توجد معطيات;10,63323424;35,38436759
المهدية;م.إ.  أولاد مولاهم الغربية;237;150;معتمدية السواسي ;15;لا توجد معطيات;10,40422;35,319173
المهدية;م.إ.  الشواشين;174;101;معتمدية شربان;19;لا توجد معطيات;10,487891;35,248895
