OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
117;498;16806;1;6;14,413;PASSAGE A NIVEAU PK 14+413 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020071;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;14.413;P 890;Nouveau;10.2019699223;36.6572337686; ; ;0; ;0
118;412;21611;20;5;49,463;PN PK 49+463 , L 5;22251110;22251110;251800937;2009-02-01T00:00:00.000;2009-02-01T00:00:00.000;68316.704;197587.949;;;C;11;527;2;0;E;1;49.463;P 891;Nouveau;10.5628631484;36.5147803508; ; ;0; ;0
119;180;16478;1;5;25,012;PASSAGE A NIVEAU PK 25+012 SECTION  C026 LIGNE 5 Double Voie;22251110;22251110;251020021;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;25.012;P 894;Nouveau;10.4158857921;36.6932244063; ; ;0; ;0
120;505;16813;1;6;18,795;PASSAGE A NIVEAU PK 18+795 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020078;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;18.795;P 897;Nouveau;10.168098014;36.6310581251; ; ;0; ;0
121;395;19710;20;5;65,176;PN PK 65+176 , L 5;22251110;22251110;251800623;2008-01-01T00:00:00.000;2008-01-01T00:00:00.000;3776.344;9440.839;;;C;11;527;2;0;E;1;65.176;P 903;Nouveau;10.5249657687;36.4002027369; ; ;0; ;0
122;197;16773;1;5;43,524;PASSAGE A NIVEAU PK 43+524 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020039;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;43.524;P 907;Nouveau;10.5262123872;36.5589701148; ; ;0; ;0
123;616;18001;1;6;56,27;PASSAGE A NIVEAU PK 56+270 SECTION  C048 LIGNE 6 Voie Unique;22251110;22251110;251020378;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;56.27;P 921;Nouveau;9.93707215986;36.3913216404; ; ;0; ;0
124;530;17081;1;6;64,623;PASSAGE A NIVEAU PK 64+623 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020386;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;64.623;P 927;Nouveau;9.85512195852;36.3593791936; ; ;0; ;0
125;215;16871;1;5;70,465;PASSAGE A NIVEAU PK 70+465 SECTION  C029 LIGNE 5 Double Voie;22251110;22251110;251020057;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;70.465;P 934;Nouveau;10.4862619573;36.3664693985; ; ;0; ;0
126;179;16477;20;5;23,556;PASSAGE A NIVEAU PK 23+556 SECTION  C026 LIGNE 5 Double Voie;22251110;22251110;251020020;1999-01-01T00:00:00.000;1999-01-01T00:00:00.000;21223.501;24968.808;;;C;11;297;2;0;E;1;23.556;P 946;Nouveau;10.4028833672;36.701136338; ; ;0; ;0
