FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,RTE_,RTE_ID,RTE_MAN_,RTE_MAN_ID,RTE_NOM,RTE_TYP,long_piste
"0","0","0","0",111.84143,"0","0","0","0",,P,"0"
"0","0","0","0",361.48229,"0","0","0","0",,P,"0"
"0","0","0","0",359.17297,"0","0","0","0",,P,"0"
"0","0","0","0",296.54400,"0","0","0","0",,P,"0"
"0","0","0","0",970.94829,"0","0","0","0",,P,"1"
"0","0","0","0",201.28083,"0","0","0","0",,P,"0"
"0","0","0","0",736.93313,"0","0","0","0",,P,"1"
"0","0","0","0",1504.47674,"0","0","0","0",,P,"2"
"0","0","0","0",540.08232,"0","0","0","0",,P,"1"
"0","0","0","0",141.45289,"0","0","0","0",,P,"0"
"0","0","0","0",19.10195,"0","0","0","0",,P,"0"
"0","0","0","0",113.50593,"0","0","0","0",,P,"0"
"0","0","0","0",415.34661,"0","0","0","0",,P,"0"
"0","0","0","0",67.77968,"0","0","0","0",,P,"0"
"0","0","0","0",133.18095,"0","0","0","0",,P,"0"
"0","0","0","0",1491.79526,"0","0","0","0",,P,"1"
"0","0","0","0",1313.91050,"0","0","0","0",,P,"1"
"0","0","0","0",195.96628,"0","0","0","0",,P,"0"
"0","0","0","0",357.00264,"0","0","0","0",,P,"0"
"0","0","0","0",398.35246,"0","0","0","0",,P,"0"
"0","0","0","0",737.77911,"0","0","0","0",,P,"1"
"0","0","0","0",74.87217,"0","0","0","0",,P,"0"
"0","0","0","0",100.06515,"0","0","0","0",,P,"0"
"0","0","0","0",203.37315,"0","0","0","0",,P,"0"
"0","0","0","0",1266.88116,"0","0","0","0",,P,"1"
"0","0","0","0",723.47676,"0","0","0","0",,P,"1"
"0","0","0","0",725.50763,"0","0","0","0",,P,"1"
"0","0","0","0",88.14390,"0","0","0","0",,P,"0"
"0","0","0","0",1074.18862,"0","0","0","0",,P,"1"
"0","0","0","0",282.88502,"0","0","0","0",,P,"0"
"0","0","0","0",689.76620,"0","0","0","0",,P,"1"
"0","0","0","0",683.04910,"0","0","0","0",,P,"1"
"0","0","0","0",541.34760,"0","0","0","0",,P,"1"
"0","0","0","0",68.60034,"0","0","0","0",,P,"0"
"0","0","0","0",680.76190,"0","0","0","0",,P,"1"
"0","0","0","0",1933.01652,"0","0","0","0",,P,"2"
"0","0","0","0",376.77470,"0","0","0","0",,P,"0"
"0","0","0","0",531.37620,"0","0","0","0",,P,"1"
"0","0","0","0",297.46719,"0","0","0","0",,P,"0"
"0","0","0","0",1573.89936,"0","0","0","0",,P,"2"
"0","0","0","0",12.73686,"0","0","0","0",,P,"0"
"0","0","0","0",109.86831,"0","0","0","0",,P,"0"
"0","0","0","0",13.25433,"0","0","0","0",,P,"0"
"0","0","0","0",147.45046,"0","0","0","0",,P,"0"
"0","0","0","0",159.82288,"0","0","0","0",,P,"0"
"0","0","0","0",45.34028,"0","0","0","0",,P,"0"
"0","0","0","0",1655.40463,"0","0","0","0",,P,"2"
"0","0","0","0",617.38644,"0","0","0","0",,P,"1"
"0","0","0","0",260.58658,"0","0","0","0",,P,"0"
"0","0","0","0",959.11052,"0","0","0","0",,P,"1"
"0","0","0","0",1073.42056,"0","0","0","0",,P,"1"
"0","0","0","0",48.53135,"0","0","0","0",,P,"0"
"0","0","0","0",352.95107,"0","0","0","0",,P,"0"
"0","0","0","0",269.64189,"0","0","0","0",,P,"0"
"0","0","0","0",32.77152,"0","0","0","0",,P,"0"
"0","0","0","0",312.99772,"0","0","0","0",,P,"0"
"0","0","0","0",81.33980,"0","0","0","0",,P,"0"
"0","0","0","0",419.32292,"0","0","0","0",,P,"0"
"0","0","0","0",182.40748,"0","0","0","0",,P,"0"
"0","0","0","0",117.05296,"0","0","0","0",,P,"0"
"0","0","0","0",171.54000,"0","0","0","0",RR50,P,"0"
"0","0","0","0",470.17937,"0","0","0","0",,P,"0"
"0","0","0","0",1162.75008,"0","0","0","0",,P,"1"
"0","0","0","0",264.51382,"0","0","0","0",,P,"0"
"0","0","0","0",365.28204,"0","0","0","0",,P,"0"
"0","0","0","0",769.82060,"0","0","0","0",,P,"1"
"0","0","0","0",233.63910,"0","0","0","0",,P,"0"
"0","0","0","0",187.99086,"0","0","0","0",,P,"0"
"0","0","0","0",256.89852,"0","0","0","0",,P,"0"
"0","0","0","0",31.52146,"0","0","0","0",,P,"0"
"0","0","0","0",297.68654,"0","0","0","0",,P,"0"
"0","0","0","0",384.46841,"0","0","0","0",,P,"0"
"0","0","0","0",552.24946,"0","0","0","0",,P,"1"
