Association,Projet,Sub-Directe-2017,Sub-indirecte-2017,Sub-Directe-2018,Sub-indirecte-2018,Sub-Directe-2019,Sub-indirecte-2019,Sub-Directe-2020,Sub-indirecte-2020
جمعية تراثنا بأريانة ,خرجة اللباس التقليدي ,0,0,0,0,0,1500.000,0,0
,تظاهرة فرحة أطفال ليبيا ,0,0,0,0,0,0,0,3000.000
جمعية العمل الثقافي والإجتماعي بحي سيدي مروان بسيدي ثابت ,أيام سيدي مروان الثقافية ,0,0,0,0,0,800.000,5800.000,0
,ليالي رمضان بحي سيدي مروان ,0,0,0,0,0,22000.000,0,0
,تظاهرة اريانة تتفنن بسيدي ثابت ,0,0,0,0,3500.00,11000.000,6200.000,0
جمعية أجيال الغد الثقافية بالتضامن ,الإحتفال بعيد الإستقلال ,0,0,0,0,0,1900.000,0,0
,ليالي رمضان ببالتضامن ,0,0,0,0,0,11000.000,0,0
,المهرجان الصيفي بالتضامن ,0,0,0,0,0,11500.000,0,0
جمعية كاسترا إيفنتس بقلعة الأندلس ,المهرجان الوطني لمسرح الطفل ,0,0,0,0,4000.000,0,0,0
,المهرجان الصيفي بقلعة الأندلس ,0,0,0,0,0,10500.000,0,0
,مهرجان خميس الحنافي للموسيقى التونسية ,0,0,0,0,0,5000.000,0,8300.000
جمعية جذور الفن بسكرة ,تظاهرة أريانة تتفنن بسكرة ,0,0,0,0,4000.000,43000.000,0,0
جمعية أحباء المكتبة والكتاب الجهوية باريانة ,المسابقة اللوطنية للإبداعات الأدبية للأطفال لسنتي 2018 و2019 ,0,0,0,0,37000.000,0,37000.000,0
,تظاهرة مسافر زاده الكتاب ,0,0,0,0,20000.000,0,0,0
,تظاهرة نسمات أندلسية ,0,0,0,0,0,0,20000.000,0
جمعية المشكاة الثقافية برواد ,الإحتفال بعيد الثورة ,0,0,0,0,0,0,0,4500.000
جمعية ضاد الثقافية ,المهرجان الدولي للشعر مبدعون رغم الحجر ,0,0,0,0,0,0,10000.000,0
الجمعية الثقافية لبلدية رواد ,المهرجان الصيفي برواد ,0,0,0,0,0,13400.000,0,0
