Date;Production de pétrole brut (ktep-pci);condensat;Production GPL Champs;GPL  Gabes;Production de gaz naturel;Redevance gaz algérien;Electricité primaire;Total
2015-11;174.42;0.91;11.04;2.36;182.41;29.16;4.11;404.41
2015-12;184.98;2.15;13.88;6.52;204.54;22.69;1.52;436.29
2016-01;200.6;2.1;15.8;7.1;192.3;70.3;4;492.1
2016-02;178.5;2.2;10.9;6.9;148.4;49.5;5;401.44
2016-03;175.9;2.4;5.4;7.7;121.6;23;4.3;340.39
2016-04;196.5;2.5;16.3;7.6;181;82.9;4.1;490.88
2016-05;194.9;2.8;16.7;7.5;132.4;78.4;5.4;438.08
2016-06;186.9;2.7;15.4;7.1;167.8;75.9;3.5;459.15
2016-07;190.2;2.7;15.6;6.7;169.4;79;3.6;467.27
2016-08;189.3;2.9;15.5;7.4;167.1;77;3.5;462.7
2016-09;176.3;2.7;14.5;7.1;160.5;47;2.8;411
2016-10;174.2;2.7;13.7;7.3;174.4;69.3;2.7;444.39
2016-11;174.9;2.1;14.9;6.8;183;80.2;2.7;464.55
2016-12;183;2;14.1;6.7;171.3;97.5;3.2;477.71
2017-01;192.39;1.76;15.63;6.58;166;92.38;3.62;478.37
2017-02;164.87;1.69;13.94;5.67;144;87.62;2.68;420.46
2017-03;173.85;2.25;12.48;7.21;152;96.64;3.14;447.58
2017-04;173.98;2.34;13.13;7.24;151;66.94;3.42;418.06
2017-05;166.38;2.28;13.33;6.77;151;56.23;3.52;399.5
2017-06;122;1.11;11.85;2.61;150;39.49;2.53;329.6
2017-07;206.18;1.02;12.15;2.21;151;53.3;4.72;430.58
2017-08;96.91;0.59;10.79;0.95;140;38.84;2.69;290.77
2017-09;60.17;2.69;13;7.16;165;44.05;3.07;295.13
2017-10;283.93;2.39;10.35;7.43;150;79.02;2.98;536.1
2017-11;182.68;2.19;13.13;7.49;163;86.71;3.7;458.9
2017-12;183.51;1.52;12.73;6.74;168;90.91;4.02;467.43
2018-01;170.428366;2.02995;11.4123;7.62034;175.428;91.654;4.5924;463.165356
2018-02;143.82827;1.72806;10.46182;6.59176;150.57;82.876;3.39614;399.45205
2018-03;164.953312;2.23815;8.87587;7.5208;162.63;93.169;4.7988;444.185932
2018-04;149.278416;2.3943;11.32183;7.742;135.738;50.335;3.66446;360.474006
2018-05;161.560878;2.48799;9.97895;7.59822;149.103;40.329;2.61956;373.677598
2018-06;154.609458;2.66496;6.35688;7.76412;149.175;45.964;3.7582;370.292618
2018-07;155.278414;2.8107;8.9707;7.71988;147.258;49.584;2.87154;374.493234
2018-08;153.367374;3.18546;9.29256718999999;7.189;154.1196;37.807;1.8404;366.80140119
2018-09;140.720234;2.8107;9.06303281000001;7.42126000000001;133.9884;43.47;2.1199;339.59352681
2018-10;147.225815303873;0.0104100000000016;8.45292165999999;0.0442399999999912;135.261;72.899;3.4572;367.350586963873
2018-11;142.206204696128;0.0208199999999996;8.72002834000001;0.0442400000000069;127.791;68.183;2.8896;349.854893036128
2018-12;156.00212;1.27002;9.22140000000001;5.49682;142.182;71.9680000000001;4.3688;390.50916
2019-01;158.642206;1.69683;8.84862;6.38162;140.75793151155;75.581;4.39718;396.30538751155
2019-02;137.198744;1.37412;7.45669;4.60096;120.71906848845;49.974751756;4.34902;325.67335424445
2019-03;154.612881993281;1.84257;8.66582809;6.2489;144.684;21.25768866588;5.24858;342.560448749161
2019-04;145.916291271461;1.80093;8.19365317;5.98346;126.9531;31.70127574656;4.85728;325.405990188021
2019-05;144.04497760622;2.06118;8.22106776;6.4148;140.7609;36.04528142388;4.17014;341.7183467901
2019-06;143.162793003909;2.07159;7.63024415999999;5.54106000000001;129.645;30.9329633736;2.76232;321.745970537509
2019-07;143.408058722438;2.31102;7.70858682000001;5.54106;133.47;31.37699148516;2.96786000000001;326.783577027598
2019-08;140.876315404244;2.22774;7.87578251943731;5.96134;133.938;28.9895306078451;3.09686;322.965568531527
2019-09;131.943725998445;2.16528;7.14114748056267;4.7005;130.158;32.5911414447972;3.05299999999999;311.752794923805
2019-10;137.938505668566;2.24856;5.69763984199999;5.20925999999999;126.16811594424;27.68158358136;4.0162;308.959865036166
2019-11;131.620662331434;1.73847;0.903400158000025;4.80004;99.9748840557597;28.0584434919599;4.23292;271.328820037153
2019-12;134.987204660781;1.47822;6.60764867;4.977;128.151;50.5943484229578;5.49282;332.288241753739
2020-01;142.8143;1.33248;8.0742077;4.73368;130.28762602629;56.6640693612;3.38926;347.29562308749
2020-02;135.230792;2.04036;7.1409933;4.85534;124.32237397371;30.6159306388;4.73602;308.94180991251
2020-03;149.306635931988;2.25897;7.01552340000001;5.1982;131.625;9.97172;4.91576;310.291809331988
2020-04;149.148884068012;1.84257;8.3408108;5.35304;142.416;21.21521441052;2.89519;331.211709278532
2020-05;149.391856;2.10282;7.7441557;5.82862;132.9349473;22.81182935328;4.12757;324.94179835328
2020-06;145.170406;1.60314;8.76250999999999;4.1475;145.4710527;26.02852286364;3.999;335.18213156364
2020-07;134.104226;2.63373;7.8562949;5.9724;134.937;38.99371337256;3.34024;327.83760427256
2020-08;110.810574;1.68642;7.46673980000001;3.46178;139.374;47.01484652064;3.70316;313.517520320641
2020-09;90.8552679999991;1.11387;7.24541529999999;2.7097;124.767;45.98176294332;1.935;274.608016243319
2020-10;101.768782000001;1.41576;7.7285905;3.14104;126.99;64.32307925472;4.00674;309.373991754721
2020-11;112.672632;1.34289;8.96634;2.97514000000001;137.241;72.45748488276;3.11922;338.77470688276
2020-12;145.042632;1.51986;10.7229186;3.97053999999999;175.455;93.72804224004;3.81668;434.25567284004
2021-01;170.265472;1.37412;11.5454871;3.85994;184.149;85.47914518812;4.945;461.61816428812
2021-02;157.785224;1.51986;10.0213183;4.5899;165.105;85.88661385572;3.57416;428.48207615572
2021-03;173.49753;1.81134;9.9404948;5.6406;173.304;95.11157020752;3.76938;463.07491500752
2021-04;167.59323;1.92585;10.3531143;5.79544;175.356;84.89472824844;3.8829;449.80126254844
2021-05;170.387582;2.07159;10.08795;5.6406;161.622;84.97388565792;3.5002;438.28380765792
2021-06;149.073743999999;2.082;7.4292111;5.48576;150.813;75.72604359996;3.44774;394.05749869996
2021-07;155.40801;2.105943;6.9586799;5.26456;149.661;75.3487848208802;3.39442;398.14139772088
2021-08;163.36059;2.089287;10.3892478;5.29774;168.606;62.59847071536;2.07174000000001;414.41307551536
2021-09;164.122828;0.562139999999999;9.53979990000001;1.3825;151.128;54.67007340108;3.083956388;384.489297689081
2021-10;162.437266;0;10.5659913;0;142.488;116.27966223432;2.872403612;434.64332314632
2021-11;162.428515999999;0;10.5629175;0;161.424;69.38198146332;2.1414;405.93881496332
2021-12;150.109832;0;8.17500000000001;0;169.659;88.0808759460001;3.2637;419.288407946
;;;;;;;;
;;;;;;;;
