ligne ;horaires (du Lundi à samedi);Sens ;horaires (Dimanche);sens ;saison;;;;;;;;
17A;08:30;retour;;;hiver;;;;;;;;
17A;09:35;retour;;;hiver;;;;;;;;
17A;10:25;retour;;;hiver;;;;;;;;
17A;11:15;retour;;;hiver;;;;;;;;
17A;12:10;retour;;;hiver;;;;;;;;
17A;13:00;retour;;;hiver;;;;;;;;
17A;13:50;retour;;;hiver;;;;;;;;
17A;14:40;retour;;;hiver;;;;;;;;
17A;15:30;retour;;;hiver;;;;;;;;
17A;16:20;retour;;;hiver;;;;;;;;
17A;17:30;retour;;;hiver;;;;;;;;
17A;18:00;retour;;;hiver;;;;;;;;
17(Barcelone vers Terminus 17);05:00;aller;05:50;aller;hiver;;;;;;;;
17;05:30;aller;06:20;aller;hiver;;;;;;;;
17;06:00;aller;06:55;aller;hiver;;;;;;;;
17;06:30;aller;07:30;aller;hiver;;;;;;;;
17;07:00;aller;07:55;aller;hiver;;;;;;;;
17;07:30;aller;08:30;aller;hiver;;;;;;;;
17;08:00;aller;09:10;aller;hiver;;;;;;;;
17;08:30;aller;09:35;aller;hiver;;;;;;;;
17;09:00;aller;10:10;aller;hiver;;;;;;;;
17;09:30;aller;10:50;aller;hiver;;;;;;;;
17;10:00;aller;11:15;aller;hiver;;;;;;;;
17;10:30;aller;11:50;aller;hiver;;;;;;;;
17;11:00;aller;12:30;aller;hiver;;;;;;;;
17;11:30;aller;12:55;aller;hiver;;;;;;;;
17;12:00;aller;13:30;aller;hiver;;;;;;;;
17;12:30;aller;14:10;aller;hiver;;;;;;;;
17;13:00;aller;14:35;aller;hiver;;;;;;;;
17;13:30;aller;15:10;aller;hiver;;;;;;;;
17;14:00;aller;15:50;aller;hiver;;;;;;;;
17;14:30;aller;16:15;aller;hiver;;;;;;;;
17;15:00;aller;16:50;aller;hiver;;;;;;;;
17;15:30;aller;17:30;aller;hiver;;;;;;;;
17;16:00;aller;17:55;aller;hiver;;;;;;;;
17;16:30;aller;18:30;aller;hiver;;;;;;;;
17;17:00;aller;19:35;aller;hiver;;;;;;;;
17;17:30;aller;20:15;aller;hiver;;;;;;;;
17;18:00;aller;05:00;retour;hiver;;;;;;;;
17;18:30;aller;05:30;retour;hiver;;;;;;;;
17;19:00;aller;06:05;retour;hiver;;;;;;;;
17;19:30;aller;06:40;retour;hiver;;;;;;;;
17;20:00;aller;07:05;retour;hiver;;;;;;;;
17;20:30;aller;07:40;retour;hiver;;;;;;;;
17;05:00;retour;08:20;retour;hiver;;;;;;;;
17;05:30;retour;08:45;retour;hiver;;;;;;;;
17;06:00;retour;09:20;retour;hiver;;;;;;;;
17;06:30;retour;10:00;retour;hiver;;;;;;;;
17;07:00;retour;10:25;retour;hiver;;;;;;;;
17;07:30;retour;11:00;retour;hiver;;;;;;;;
17;08:00;retour;11:40;retour;hiver;;;;;;;;
17;08:30;retour;12:05;retour;hiver;;;;;;;;
17;09:00;retour;12:40;retour;hiver;;;;;;;;
17;09:30;retour;13:20;retour;hiver;;;;;;;;
17;10:00;retour;13:45;retour;hiver;;;;;;;;
17;10:30;retour;14:20;retour;hiver;;;;;;;;
17;11:00;retour;15:00;retour;hiver;;;;;;;;
17;11:30;retour;15:25;retour;hiver;;;;;;;;
17;12:00;retour;16:00;retour;hiver;;;;;;;;
17;12:30;retour;16:40;retour;hiver;;;;;;;;
17;13:00;retour;17:05;retour;hiver;;;;;;;;
17;13:30;retour;17:40;retour;hiver;;;;;;;;
17;14:00;retour;18:15;retour;hiver;;;;;;;;
17;14:30;retour;18:45;retour;hiver;;;;;;;;
17;15:00;retour;19:20;retour;hiver;;;;;;;;
17;15:30;retour;;;hiver;;;;;;;;
17;16:00;retour;;;hiver;;;;;;;;
17;16:30;retour;;;hiver;;;;;;;;
17;17:00;retour;;;hiver;;;;;;;;
17;17:30;retour;;;hiver;;;;;;;;
17;18:00;retour;;;hiver;;;;;;;;
17;18:30;retour;;;hiver;;;;;;;;
17;19:00;retour;;;hiver;;;;;;;;
17;19:30;retour;;;hiver;;;;;;;;
17;20:00;retour;;;hiver;;;;;;;;
17;20:30;retour;;;hiver;;;;;;;;
17B(Barcelone vers Port de Rades);05:00;aller;05:50;aller;hiver;;;;;;;;
17B;05:30;aller;06:20;aller;hiver;;;;;;;;
17B;06:00;aller;06:55;aller;hiver;;;;;;;;
17B;06:30;aller;07:30;aller;hiver;;;;;;;;
17B;07:00;aller;07:55;aller;hiver;;;;;;;;
17B;07:30;aller;08:30;aller;hiver;;;;;;;;
17B;08:00;aller;09:10;aller;hiver;;;;;;;;
17B;08:30;aller;09:35;aller;hiver;;;;;;;;
17B;09:00;aller;10:10;aller;hiver;;;;;;;;
17B;09:30;aller;10:50;aller;hiver;;;;;;;;
17B;10:00;aller;11:15;aller;hiver;;;;;;;;
17B;10:30;aller;11:50;aller;hiver;;;;;;;;
17B;11:00;aller;12:30;aller;hiver;;;;;;;;
17B;11:30;aller;12:55;aller;hiver;;;;;;;;
17B;12:00;aller;13:30;aller;hiver;;;;;;;;
17B;12:30;aller;14:10;aller;hiver;;;;;;;;
17B;13:00;aller;14:35;aller;hiver;;;;;;;;
17B;13:30;aller;15:10;aller;hiver;;;;;;;;
17B;14:00;aller;15:50;aller;hiver;;;;;;;;
17B;14:30;aller;16:15;aller;hiver;;;;;;;;
17B;15:00;aller;16:50;aller;hiver;;;;;;;;
17B;15:30;aller;17:30;aller;hiver;;;;;;;;
17B;16:00;aller;17:55;aller;hiver;;;;;;;;
17B;16:30;aller;18:30;aller;hiver;;;;;;;;
17B;17:00;aller;19:35;aller;hiver;;;;;;;;
17B;17:30;aller;20:15;aller;hiver;;;;;;;;
17B;18:00;aller;05:00;retour;hiver;;;;;;;;
17B;18:30;aller;05:30;retour;hiver;;;;;;;;
17B;19:00;aller;06:05;retour;hiver;;;;;;;;
17B;19:30;aller;06:40;retour;hiver;;;;;;;;
17B;20:00;aller;07:05;retour;hiver;;;;;;;;
17B;20:30;aller;07:40;retour;hiver;;;;;;;;
17B;05:00;retour;08:20;retour;hiver;;;;;;;;
17B;05:30;retour;08:45;retour;hiver;;;;;;;;
17B;06:00;retour;09:20;retour;hiver;;;;;;;;
17B;06:30;retour;10:00;retour;hiver;;;;;;;;
17B;07:00;retour;10:25;retour;hiver;;;;;;;;
17B;07:30;retour;11:00;retour;hiver;;;;;;;;
17B;08:00;retour;11:40;retour;hiver;;;;;;;;
17B;08:30;retour;12:05;retour;hiver;;;;;;;;
17B;09:00;retour;12:40;retour;hiver;;;;;;;;
17B;09:30;retour;13:20;retour;hiver;;;;;;;;
17B;10:00;retour;13:45;retour;hiver;;;;;;;;
17B;10:30;retour;14:20;retour;hiver;;;;;;;;
17B;11:00;retour;15:00;retour;hiver;;;;;;;;
17B;11:30;retour;15:25;retour;hiver;;;;;;;;
17B;12:00;retour;16:00;retour;hiver;;;;;;;;
17B;12:30;retour;16:40;retour;hiver;;;;;;;;
17B;13:00;retour;17:05;retour;hiver;;;;;;;;
17B;13:30;retour;17:40;retour;hiver;;;;;;;;
17B;14:00;retour;18:15;retour;hiver;;;;;;;;
17B;14:30;retour;18:45;retour;hiver;;;;;;;;
17B;15:00;retour;19:20;retour;hiver;;;;;;;;
17B;15:30;retour;;;hiver;;;;;;;;
17B;16:00;retour;;;hiver;;;;;;;;
17B;16:30;retour;;;hiver;;;;;;;;
17B;17:00;retour;;;hiver;;;;;;;;
17B;17:30;retour;;;hiver;;;;;;;;
17B;18:00;retour;;;hiver;;;;;;;;
17B;18:30;retour;;;hiver;;;;;;;;
17B;19:30;retour;;;hiver;;;;;;;;
17B;20:30;retour;;;hiver;;;;;;;;
19(Barcelone vers Mégrine Couteaux);04:40;aller;04:40;aller;hiver;;;;;;;;
19;05:35;aller;05:40;aller;hiver;;;;;;;;
19;06:45;aller;06:40;aller;hiver;;;;;;;;
19;07:45;aller;07:40;aller;hiver;;;;;;;;
19;08:45;aller;08:40;aller;hiver;;;;;;;;
19;09:45;aller;09:40;aller;hiver;;;;;;;;
19;10:45;aller;10:40;aller;hiver;;;;;;;;
19;11:45;aller;11:40;aller;hiver;;;;;;;;
19;12:45;aller;12:50;aller;hiver;;;;;;;;
19;13:50;aller;13:50;aller;hiver;;;;;;;;
19;14:50;aller;14:50;aller;hiver;;;;;;;;
19;15:50;aller;15:50;aller;hiver;;;;;;;;
19;17:00;aller;16:50;aller;hiver;;;;;;;;
19;18:00;aller;17:20;aller;hiver;;;;;;;;
19;19:00;aller;17:45;aller;hiver;;;;;;;;
19;19:50;aller;18:35;aller;hiver;;;;;;;;
19;20:50;aller;19:40;aller;hiver;;;;;;;;
19;21:50;aller;20:50;aller;hiver;;;;;;;;
19;04:15;retour;21:50;aller;hiver;;;;;;;;
19;05:10;retour;22:40;aller;hiver;;;;;;;;
19;06:00;retour;06:10;retour;hiver;;;;;;;;
19;07:20;retour;07:10;retour;hiver;;;;;;;;
19;08:15;retour;08:10;retour;hiver;;;;;;;;
19;09:15;retour;09:10;retour;hiver;;;;;;;;
19;10:15;retour;10:10;retour;hiver;;;;;;;;
19;11:15;retour;11:10;retour;hiver;;;;;;;;
19;12:15;retour;12:20;retour;hiver;;;;;;;;
19;13:20;retour;13:20;retour;hiver;;;;;;;;
19;14:20;retour;14:20;retour;hiver;;;;;;;;
19;15:20;retour;15:20;retour;hiver;;;;;;;;
19;16:25;retour;16:20;retour;hiver;;;;;;;;
19;17:30;retour;17:15;retour;hiver;;;;;;;;
19;18:30;retour;18:00;retour;hiver;;;;;;;;
19;19:30;retour;19:10;retour;hiver;;;;;;;;
19;20:20;retour;20:15;retour;hiver;;;;;;;;
19;21:20;retour;21:20;retour;hiver;;;;;;;;
19;22:20;retour;22:20;retour;hiver;;;;;;;;
19B(Barcelone vers Megrine Chaker);06:20;aller;06:40;aller;hiver;;;;;;;;
19B;06:20;aller;07:10;aller;hiver;;;;;;;;
19B;06:50;aller;07:40;aller;hiver;;;;;;;;
19B;07:20;aller;08:10;aller;hiver;;;;;;;;
19B;07:50;aller;08:40;aller;hiver;;;;;;;;
19B;08:20;aller;09:10;aller;hiver;;;;;;;;
19B;08:50;aller;09:40;aller;hiver;;;;;;;;
19B;09:20;aller;10:10;aller;hiver;;;;;;;;
19B;09:50;aller;10:40;aller;hiver;;;;;;;;
19B;10:20;aller;11:10;aller;hiver;;;;;;;;
19B;10:50;aller;11:40;aller;hiver;;;;;;;;
19B;11:20;aller;12:10;aller;hiver;;;;;;;;
19B;11:50;aller;12:40;aller;hiver;;;;;;;;
19B;12:20;aller;13:10;aller;hiver;;;;;;;;
19B;12:50;aller;13:40;aller;hiver;;;;;;;;
19B;13:20;aller;14:10;aller;hiver;;;;;;;;
19B;13:50;aller;14:40;aller;hiver;;;;;;;;
19B;14:20;aller;15:10;aller;hiver;;;;;;;;
19B;14:50;aller;15:40;aller;hiver;;;;;;;;
19B;15:20;aller;16:10;aller;hiver;;;;;;;;
19B;15:50;aller;16:40;aller;hiver;;;;;;;;
19B;16:20;aller;17:10;aller;hiver;;;;;;;;
19B;16:50;aller;17:40;aller;hiver;;;;;;;;
19B;17:20;aller;18:10;aller;hiver;;;;;;;;
19B;17:50;aller;18:40;aller;hiver;;;;;;;;
19B;18:20;aller;19:10;aller;hiver;;;;;;;;
19B;18:50;aller;19:40;aller;hiver;;;;;;;;
19B;19:20;aller;20:10;aller;hiver;;;;;;;;
19B;20:10;aller;20:35;aller;hiver;;;;;;;;
19B;05:50;retour;04:15;retour;hiver;;;;;;;;
19B;06:20;retour;05:15;retour;hiver;;;;;;;;
19B;06:50;retour;06:15;retour;hiver;;;;;;;;
19B;07:20;retour;06:45;retour;hiver;;;;;;;;
19B;07:50;retour;07:10;retour;hiver;;;;;;;;
19B;08:20;retour;07:40;retour;hiver;;;;;;;;
19B;08:50;retour;08:10;retour;hiver;;;;;;;;
19B;09:20;retour;08:40;retour;hiver;;;;;;;;
19B;09:50;retour;09:10;retour;hiver;;;;;;;;
19B;10:20;retour;09:40;retour;hiver;;;;;;;;
19B;10:50;retour;10:10;retour;hiver;;;;;;;;
19B;11:20;retour;10:40;retour;hiver;;;;;;;;
19B;11:50;retour;11:10;retour;hiver;;;;;;;;
19B;12:20;retour;11:40;retour;hiver;;;;;;;;
19B;12:50;retour;12:10;retour;hiver;;;;;;;;
19B;13:20;retour;12:40;retour;hiver;;;;;;;;
19B;13:50;retour;13:10;retour;hiver;;;;;;;;
19B;14:20;retour;13:40;retour;hiver;;;;;;;;
19B;14:50;retour;14:10;retour;hiver;;;;;;;;
19B;15:20;retour;14:40;retour;hiver;;;;;;;;
19B;15:50;retour;15:10;retour;hiver;;;;;;;;
19B;16:20;retour;15:40;retour;hiver;;;;;;;;
19B;16:50;retour;16:10;retour;hiver;;;;;;;;
19B;17:20;retour;16:40;retour;hiver;;;;;;;;
19B;17:50;retour;17:10;retour;hiver;;;;;;;;
19B;18:20;retour;17:40;retour;hiver;;;;;;;;
19B;18:50;retour;18:10;retour;hiver;;;;;;;;
19B;19:20;retour;18:40;retour;hiver;;;;;;;;
;;;19:10;retour;hiver;;;;;;;;
;;;19:40;retour;hiver;;;;;;;;
;;;20:05;retour;hiver;;;;;;;;
;;;20:35;retour;hiver;;;;;;;;
19C(Barcelone vers La Nouvelle Madina2);05:00;aller;06:05;aller;hiver;;;;;;;;
19C;05:30;aller;07:00;aller;hiver;;;;;;;;
19C;05:50;aller;07:25;aller;hiver;;;;;;;;
19C;06:25;aller;07:50;aller;hiver;;;;;;;;
19C;06:45;aller;08:20;aller;hiver;;;;;;;;
19C;07:00;aller;08:45;aller;hiver;;;;;;;;
19C;07:20;aller;09:10;aller;hiver;;;;;;;;
19C;07:35;aller;09:40;aller;hiver;;;;;;;;
19C;07:55;aller;10:05;aller;hiver;;;;;;;;
19C;08:15;aller;10:30;aller;hiver;;;;;;;;
19C;08:30;aller;11:00;aller;hiver;;;;;;;;
19C;08:50;aller;11:25;aller;hiver;;;;;;;;
19C;09:05;aller;11:50;aller;hiver;;;;;;;;
19C;09:25;aller;12:20;aller;hiver;;;;;;;;
19C;09:45;aller;12:45;aller;hiver;;;;;;;;
19C;10:00;aller;13:10;aller;hiver;;;;;;;;
19C;10:20;aller;13:40;aller;hiver;;;;;;;;
19C;10:35;aller;14:05;aller;hiver;;;;;;;;
19C;10:55;aller;14:30;aller;hiver;;;;;;;;
19C;11:15;aller;15:00;aller;hiver;;;;;;;;
19C;11:30;aller;15:25;aller;hiver;;;;;;;;
19C;11:50;aller;15:50;aller;hiver;;;;;;;;
19C;12:05;aller;16:20;aller;hiver;;;;;;;;
19C;12:25;aller;16:45;aller;hiver;;;;;;;;
19C;12:45;aller;17:10;aller;hiver;;;;;;;;
19C;13:00;aller;17:40;aller;hiver;;;;;;;;
19C;13:20;aller;18:05;aller;hiver;;;;;;;;
19C;13:35;aller;18:30;aller;hiver;;;;;;;;
19C;13:55;aller;19:00;aller;hiver;;;;;;;;
19C;14:15;aller;19:25;aller;hiver;;;;;;;;
19C;14:30;aller;19:50;aller;hiver;;;;;;;;
19C;14:50;aller;20:20;aller;hiver;;;;;;;;
19C;15:05;aller;21:00;aller;hiver;;;;;;;;
19C;15:25;aller;21:30;aller;hiver;;;;;;;;
19C;15:45;aller;05:30;retour;hiver;;;;;;;;
19C;16:00;aller;06:20;retour;hiver;;;;;;;;
19C;16:20;aller;06:45;retour;hiver;;;;;;;;
19C;16:35;aller;07:10;retour;hiver;;;;;;;;
19C;16:55;aller;07:40;retour;hiver;;;;;;;;
19C;17:15;aller;08:05;retour;hiver;;;;;;;;
19C;17:30;aller;08:30;retour;hiver;;;;;;;;
19C;17:55;aller;09:00;retour;hiver;;;;;;;;
19C;08:05;aller;09:25;retour;hiver;;;;;;;;
19C;18:30;aller;09:50;retour;hiver;;;;;;;;
19C;18:45;aller;10:20;retour;hiver;;;;;;;;
19C;19:00;aller;10:45;retour;hiver;;;;;;;;
19C;19:20;aller;11:10;retour;hiver;;;;;;;;
19C;19:35;aller;11:40;retour;hiver;;;;;;;;
19C;19:55;aller;12:05;retour;hiver;;;;;;;;
19C;20:15;aller;12:30;retour;hiver;;;;;;;;
19C;20:30;aller;13:00;retour;hiver;;;;;;;;
19C;20:45;aller;13:25;retour;hiver;;;;;;;;
19C;21:05;aller;13:50;retour;hiver;;;;;;;;
19C;21:30;aller;14:20;retour;hiver;;;;;;;;
19C;22:00;aller;14:45;retour;hiver;;;;;;;;
19C;22:20;aller;15:10;retour;hiver;;;;;;;;
19C;04:30;retour;15:40;retour;hiver;;;;;;;;
19C;05:00;retour;16:05;retour;hiver;;;;;;;;
19C;05:20;retour;16:30;retour;hiver;;;;;;;;
19C;05:40;retour;17:00;retour;hiver;;;;;;;;
19C;06:00;retour;17:25;retour;hiver;;;;;;;;
19C;06:15;retour;17:50;retour;hiver;;;;;;;;
19C;06:35;retour;18:20;retour;hiver;;;;;;;;
19C;06:50;retour;18:45;retour;hiver;;;;;;;;
19C;07:10;retour;19:10;retour;hiver;;;;;;;;
19C;07:30;retour;19:40;retour;hiver;;;;;;;;
19C;07:45;retour;20:35;retour;hiver;;;;;;;;
19C;08:05;retour;;;hiver;;;;;;;;
19C;08:20;retour;;;hiver;;;;;;;;
19C;08:40;retour;;;hiver;;;;;;;;
19C;09:00;retour;;;hiver;;;;;;;;
19C;09:15;retour;;;hiver;;;;;;;;
19C;09:35;retour;;;hiver;;;;;;;;
19C;09:50;retour;;;hiver;;;;;;;;
19C;10:10;retour;;;hiver;;;;;;;;
19C;10:30;retour;;;hiver;;;;;;;;
19C;10:45;retour;;;hiver;;;;;;;;
19C;11:15;retour;;;hiver;;;;;;;;
19C;11:20;retour;;;hiver;;;;;;;;
19C;11:40;retour;;;hiver;;;;;;;;
19C;12:00;retour;;;hiver;;;;;;;;
19C;12:15;retour;;;hiver;;;;;;;;
19C;12:35;retour;;;hiver;;;;;;;;
19C;12:50;retour;;;hiver;;;;;;;;
19C;13:10;retour;;;hiver;;;;;;;;
19C;13:30;retour;;;hiver;;;;;;;;
19C;13:45;retour;;;hiver;;;;;;;;
19C;14:05;retour;;;hiver;;;;;;;;
19C;14:20;retour;;;hiver;;;;;;;;
19C;14:40;retour;;;hiver;;;;;;;;
19C;15:00;retour;;;hiver;;;;;;;;
19C;15:15;retour;;;hiver;;;;;;;;
19C;15:35;retour;;;hiver;;;;;;;;
19C;15:50;retour;;;hiver;;;;;;;;
19C;16:10;retour;;;hiver;;;;;;;;
19C;16:30;retour;;;hiver;;;;;;;;
19C;16:45;retour;;;hiver;;;;;;;;
19C;17:05;retour;;;hiver;;;;;;;;
19C;17:20;retour;;;hiver;;;;;;;;
19C;17:40;retour;;;hiver;;;;;;;;
19C;18:00;retour;;;hiver;;;;;;;;
19C;18:15;retour;;;hiver;;;;;;;;
19C;18:35;retour;;;hiver;;;;;;;;
19C;18:50;retour;;;hiver;;;;;;;;
19C;19:10;retour;;;hiver;;;;;;;;
19C;19:30;retour;;;hiver;;;;;;;;
19C;19:45;retour;;;hiver;;;;;;;;
19C;20:00;retour;;;hiver;;;;;;;;
19C;20:20;retour;;;hiver;;;;;;;;
19C;20:40;retour;;;hiver;;;;;;;;
19C;21:15;retour;;;hiver;;;;;;;;
19C;21:30;retour;;;hiver;;;;;;;;
19C/ (Barcelone vers La Nouvelle Madina1);07:30;aller;;;hiver;;;;;;;;
19C/;08:30;aller;;;hiver;;;;;;;;
19C/;09:30;aller;;;hiver;;;;;;;;
19C/;10:30;aller;;;hiver;;;;;;;;
19C/;11:30;aller;;;hiver;;;;;;;;
19C/;12:30;aller;;;hiver;;;;;;;;
19C/;13:30;aller;;;hiver;;;;;;;;
19C/;14:30;aller;;;hiver;;;;;;;;
19C/;15:30;aller;;;hiver;;;;;;;;
19C/;16:30;aller;;;hiver;;;;;;;;
19C/;17:30;aller;;;hiver;;;;;;;;
19C/;18:30;aller;;;hiver;;;;;;;;
19C/;19:30;aller;;;hiver;;;;;;;;
19C/;07:00;retour;;;hiver;;;;;;;;
19C/;08:00;retour;;;hiver;;;;;;;;
19C/;09:00;retour;;;hiver;;;;;;;;
19C/;10:00;retour;;;hiver;;;;;;;;
19C/;11:00;retour;;;hiver;;;;;;;;
19C/;12:00;retour;;;hiver;;;;;;;;
19C/;13:00;retour;;;hiver;;;;;;;;
19C/;14:00;retour;;;hiver;;;;;;;;
19C/;15:00;retour;;;hiver;;;;;;;;
19C/;16:00;retour;;;hiver;;;;;;;;
19C/;17:00;retour;;;hiver;;;;;;;;
19C/;18:00;retour;;;hiver;;;;;;;;
19C/;19:00;retour;;;hiver;;;;;;;;
19D( Barcelone vers Rades Forêt);07:15;aller;09:30;aller;hiver;;;;;;;;
19D;08:25;aller;10:30;aller;hiver;;;;;;;;
19D;09:45;aller;11:30;aller;hiver;;;;;;;;
19D;11:00;aller;12:30;aller;hiver;;;;;;;;
19D;12:20;aller;13:30;aller;hiver;;;;;;;;
19D;13:40;aller;14:30;aller;hiver;;;;;;;;
19D;15:00;aller;15:30;aller;hiver;;;;;;;;
19D;16:00;aller;16:30;aller;hiver;;;;;;;;
19D;17:10;aller;17:30;aller;hiver;;;;;;;;
19D;18:25;aller;18:30;aller;hiver;;;;;;;;
19D;06:45;retour;19:30;aller;hiver;;;;;;;;
19D;07:55;retour;09:00;retour;hiver;;;;;;;;
19D;09:05;retour;10:00;retour;hiver;;;;;;;;
19D;10:25;retour;11:00;retour;hiver;;;;;;;;
19D;11:40;retour;12:00;retour;hiver;;;;;;;;
19D;13:00;retour;13:00;retour;hiver;;;;;;;;
19D;14:20;retour;14:00;retour;hiver;;;;;;;;
19D;15:30;retour;15:00;retour;hiver;;;;;;;;
19D;16:35;retour;16:00;retour;hiver;;;;;;;;
