gov_name_f,gov_name_a,gov_id,musee_name_a,musse_name_f,adresse_a,adresse_f,longitude,lattitude
Mahdia,المهدية,33,برج المهدية,Fort Mahdia,,,11.076287,35.505173
Mahdia,المهدية,33,متحف المهدية,Musse Mahdia,,,11.068836,35.503719
Sfax,صفاقس,34,القصبة,Kasbah de Sfax,نهج القصبة - صفاقس,,10.758836,34.733525
Sfax,صفاقس,34,متحف دار الجلولي,Musee Dar Jellouli (ATP),نهج سيدي علي النوري,,10.762288,34.736255
Sfax,صفاقس,34,المتحف الأثري,Musee archeologique,شارع الهادي شاكر,,10.764076,34.731947
Kairouan,القيروان,41,فسقية الأغالبة,Bassins Aghlabides,شارع الامام صحنون,,10.095583,35.686481
Kairouan,القيروان,41,الجامع الكبير,Grande Mosquee,شارع عقبة ابن نافع,,10.103880,35.681689
Kairouan,القيروان,41,سيدي الصحبي,Mausolee Sidi Sahbi,شارع الامام صحنون,,10.090327,35.682042
Kairouan,القيروان,41,سيدي عمر عبادة,Mausolee Sidi Amor Abada,المدينة  العتيقة,,10.094927,35.676925
Kairouan,القيروان,41,سيدي عبيد,Mausolee Sidi Abid,المدينة  العتيقة,,10.101611,35.675185
Kairouan,القيروان,41,متحف رقادة,Musйe Raqqada,رقادة,,10.053108,35.593139
Kassérine,القصرين,42,سبيطلة ( متحف ومعلم),Sbeitla  (site et  musee),سبيطلة,,9.119372,35.240552
Gabès,قابس,51,متحف قابس,Musse de Gabes (ATP),قابس,,10.090747,33.868482
Médenine,مدنين,52,جامع فضلون,Mosquee Fadhloun,ميدون - جربة,,10.959081,33.824657
Médenine,مدنين,52,متحف التراث التقليدي,Musse du Patrimoine Traditionnel ,حومة السوق ,,10.865633,33.732481
Médenine,مدنين,52,برج غازي مصطفى,Fort Ghazi Mustapha,نهج درغوث باشا,,10.860527,33.883978
Médenine,مدنين,52,متحف جرجيس,Musse de Zarzis,شارع الكنيسة,,11.115379,33.503603
Médenine,مدنين,52,معلم جكتيس,Site de Gightis,مدنين,,10.676938,33.532519
Gafsa,قفصة,61,متحف قفصة,Musee de Gafsa,قفصة,, 8.787074,34.415829
Gafsa,قفصة,61,الرمادية بقفصة,Escargotiere Gafsa,قفصة,,8.796926,34.429592
Kebili,قبلي,63,متحف العادات والتقاليد,Musse de Douz (ATP),شارع الشهداء - دوز,,9.024755,33.457418
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Gabès,قابس,51,,,,,,
Gabès,قابس,51,,,,,,
Gabès,قابس,51,,,,,,
Gabès,قابس,51,,,,,,
Gabès,قابس,51,,,,,,
Gabès,قابس,51,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Médenine,مدنين,52,,,,,,
Médenine,مدنين,52,,,,,,
,,,,,,,,
,,,,,,,,
Médenine,مدنين,52,,,,,,
Médenine,مدنين,52,,,,,,
Médenine,مدنين,52,,,,,,
Médenine,مدنين,52,,,,,,
Tataouine,تطاوين,53,,,,,,
Tataouine,تطاوين,54,,,,,,
Tataouine,تطاوين,54,,,,,,
Tataouine,تطاوين,54,,,,,,
Tataouine,تطاوين,54,,,,,,
Tataouine,تطاوين,54,,,,,,
Tataouine,تطاوين,54,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
,,,,,,,,
,,,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
Gafsa,قفصة,61,,,,,,
Tozeur,توزر,62,,,,,,
Tozeur,توزر,62,,,,,,
Tozeur,توزر,62,,,,,,
Tozeur,توزر,62,,,,,,
Tozeur,توزر,62,,,,,,
,,,,,,,,
Kebili,قبلي,63,,,,,,
Kebili,قبلي,63,,,,,,
Kebili,قبلي,63,,,,,,
Kebili,قبلي,63,,,,,,
Kebili,قبلي,63,,,,,,
