Nom_Association,gov_name_a,gov_id,Subvention,Subvention_spectacles_artistiques,Subvention_logistique
جمعية فرحة للفنون الركحيّة,بن عروس,13,4000,0,0
جمعية التظاهرات الثقافية بفوشانة,بن عروس,13,4000,0,0
جمعية العازفون,بن عروس,13,10000,0,0
الجمعية التونسية لحماية البيئة والاثار,بن عروس,13,1550,عرض فروسية وعرض فن شعبي يتم تحديدها بالتنسيق مع ادارة الموسيقى والرقص,0
جمعية فرحة للفنون الركحية,بن عروس,13,0,دعم الجمعية بعرض موسيقي للهادي دنيا أو أسماء بن أحمد مع مزيد التنسيق مع إدارة الموسيقى والرقص وتكفل الجمعية بالنقل الدولي,0
جمعية المسرح الوطني التجديدي,بن عروس,13,3000,0,0
جمعية بدر للموسيقى والفن ببن عروس,بن عروس,13,3000,0,0
مهرجان بوقرنين الدولي,بن عروس,13,100000,0,0
مهرجان الزهراء,بن عروس,13,40000,0,0
الجمعيّة التونسية لفنون الخط,بن عروس,13,6000,0,0
أحباء فضاء دار بوعصيدة,بن عروس,13,20000,0,0
جمعية المسائل والمفلهيم المستقبلية,منوبة,14,2000,0,0
جمعية الفنانات المغاربيات,منوبة,14,10000,0,0
جمعية محمد عبد العزيز العقربي للمسرح,منوبة,14,12000,عروض مسرحية ,0
جمعية مهرجان سيدي على الحطاب بالمرناقية,منوبة,14,8000,عرض موسيقي بقيمة 2000د ,0
جمعية الابداع المسرحي بمنوبة,منوبة,14,3000,0,0
جمعية نجوم الفن الرابع بنابل,نابل,15,3000,0,0
جمعية منتدى هرمايابالهوارية,نابل,15,4000,0,0
جمعية أحباء المكتبة والكتاب بنابل ,نابل,15,2500,0,0
جمعية قربة للمسرح والتنشيط الثقافي,نابل,15,5000,0,0
الجامعة التونسية للسينمائيين الهواة بقليبية,نابل,15,80000,0,0
جمعية تنشيط المهرجانات : مهرجان نابل الدولي,نابل,15,55000,0,دعوة الجمعية لموافاة اللجنة بتقرير دائرة المحاسبات
مهرجان الساف الهوارية,نابل,15,7000,0,0
مهرجان برج قليبية,نابل,15,65000,0,0
جمعية منارة الأدب بقليبية: المهرجان الوطني للأدباء الشبان,نابل,15,6000,0,0
مهرجان قربة لمسرح الهواة,نابل,15,40000,0,0
مهرجان العنب بقرمبالية,نابل,15,10000,0,0
جمعية مهرجان نيابوليس لمسرح الطفل,نابل,15,25000,15 عرض مسرحي,0
جمعية مهرجان نيابوليس لمسرح الطفل,نابل,15,20000,0,0
جمعيةأحباء المكتبة والكتاب بقربة,نابل,15,17000,0,0
جمعية فسيفساء للموسيقى والفنون,نابل,15,15000,0,0
جمعية احباء المكتبة والكتاب بزغوان,زغوان,16,3000,عرضين موسيقيين,0
مهرجان النسري بزغوان,زغوان,16,35000,0,0
مهرجان سيدي علي المكي,بنزرت,17,10000,0,0
المهرجان الثقافي منزل بورقيبة,بنزرت,17,10000,0,0
جمعية النهضة التمثيلية,بنزرت,17,14000,0,0
جمعية فرقة مدينة بنزرت للموسيقى  العربية,بنزرت,17,50000,تنظيم مهرجان خميس الترنان للموسيقى والمالوف بالإضافة إلى عرضين موسيقيين (عرض النوبة المعطرة لمحمد علي كمون وعرض عرس الطبوع) يتم تحديدهما بالتنسيق مع إدارة الموسيقى والرقص. 8/,0
جمعية النهوض بالإعلام منزل بورقيبة,بنزرت,17,4500,0,0
جمعية مهرجان المدينة بباجة,باجة,21,5000,0,0
مهرجان تستور للمالوف,باجة,21,60000,0,"دعوة الجمعية للإلتزام بخصوصيتها ""المالوف"""
مهرجان دقة الدولي,باجة,21,100000,0,دعوة الجمعية لتقديم وثائق تثبت أوجه صرف المنحة
مهرجان مجردة مجاز الباب,باجة,21,3000,0,0
مهرجان باجة لفنون الشعوب,باجة,21,100000,0,0
مهرجان الزوارع نفزة,باجة,21,5000,0,0
المهرجان المحلي بقبلاط,باجة,21,5000,0,0
الحصاد للثقافة والتنمية بعمدون,باجة,21,5000,0,0
جمعيّـة مكرمة التنموية الثقافية ,جندوبة,22,5000,0,0
جمعية حماية البيئة والتنمية المستديمة بغار الدماء,جندوبة,22,2000,0,0
جمعية شباب وآفاق,جندوبة,22,8000,0,0
جمعية أوتار الثقافية ,جندوبة,22,6000,عرض موسيقي في حدود 4000 د يتم تحديده بالتنسيق مع إدارة الموسيقى والرقص.,0
مهرجان شمتو بوادي مليز,جندوبة,22,5000,0,0
جمعية مشروع سياحة وثقافة ,الكاف,23,7000,0,0
جمعية مهرجان سيدي منصور القصور,الكاف,23,10000,0,0
الجمعية التونسية لألعاب الفروسية بسيدي بورويس,سليانة,24,5000,عروض موسيقية بقيمة 8.000د يتم تحديدها بالتنسيق مع ادارة الموسيقى والرقص,0
جمعية رقش للثقافة والفن والتصميم,سليانة,24,10000,0,0
الجمعية التونسية لألعاب الفروسية بسيدي بورويس ,سليانة,24,2000,0,0
جمعية مهرجان المدينة بسليانة ,سليانة,24,10000,0,0
الجمعية المحلية للفروسية و الرماية بمكثر,سليانة,24,7000,0,0
مهرحان سليانة الدولي,سليانة,24,100000,0,0
مهرجان سيدي حمادة للثقافة وإحياء التراث,سليانة,24,7000,0,دعوة الجمعية لتحيين المطلب وتحديد الطلبات.
المهرجان الوطني للسنابل الذهبية بالكريب,سليانة,24,10000,0,0
المهرجان الوطني للخيام بالروحية,سليانة,24,3000,0,0
مهرجان اليمامة الصيفي بسيدي بورويس,سليانة,24,20000,0,0
المهرجان الصيفي ببرقو,سليانة,24,7500,0,0
المهرجان الصيفي ببوعرادة,سليانة,24,5000,0,0
جمعية ببر سليانة للتراث,سليانة,24,7000,0,0
جمعيّة دروب للثقافة والتنمية بالقلعة الكبرى,سوسة,31,2500,عروض موسيقية بقيمة 8000د يتم تحديدها بالتنسيق مع ادارة الموسيقى والرقص.,0
جمعية التونسيون اصدقاء الفرنكفونية.,سوسة,31,40000,0,0
جمعية تنمية و تراث ببوفيشة,سوسة,31,2000,0,0
جمعية علوم و تراث,سوسة,31,3000,0,0
جمعية إشراق للفنون : مهرجان مرايا الفنون الصيفية,سوسة,31,10000,0,0
جمعية المهرجان الدولي للزيتونة بالقلعة الكبرى,سوسة,31,15000,0,0
جمعية المهرجان الدولي للزيتونة بالقلعة الكبرى,سوسة,31,25000,"عرض ""زياد غرسة""",0
جمعية منتدى المعرفة ,سوسة,31,7330,0,0
الغرفة الفنية العالمية سوسة,سوسة,31,6500,0,0
جمعية افريقيا المتوسط للثقافة,سوسة,31,12000,0,0
جمعية المهرجان ببنان,المنستير,32,4000,0,0
جمعية صيانة مدينة لمطة,المنستير,32,20000,عرض موسيقي بقيمة 5000,0
مهرجان ابن سعيد الحجري,المنستير,32,12000,0,0
مهرجان الموسيقى الأندلسية,المنستير,32,7000,0,0
المهرجان الدولي للفنون التشكيلية,المنستير,32,10000,0,دعوة الجمعية لتقديم تقرير أدبي ومالي لدورة 2018
مهرجان النسيج والتراث بقصر هلال,المنستير,32,8000,0,0
مهرجان أم الزين للتراث بجمال,المنستير,32,10000,0,0
جمعية صالون الربيع الثقافي قصيبة المديوني,المنستير,32,5000,0,0
جمعية زيت الزيتون بجمال,المنستير,32,15000,عرض موسيقي للفنان حسان الدوس يتم تحديده بالتنسيق مع إدارة الموسيقى والرقص,0
جمعية مهرجان عيد البحر بالمهدية,المهدية,33,10000,0,0
جمعية الطفل والابداع بالشابة,المهدية,33,20000,0,0
جمعية نحن نحب الجم,المهدية,33,10000,0,0
جمعية الجم للسياحة الثقافية,المهدية,33,5000,عرض موسيقي في حدود 10000 د يتم تحديده بالتنسيق مع إدارة الموسيقى والرقص وكذلك عرضين موسبقيين في إطار التبادل الثقافي,0
ماجورات قصر هلال,المهدية,33,10000,0,دعوة الجمعية لتقديم وثائق تثبت أوجه صرف المنحة
مهرجان الموسيقى السمفونية بالجم,المهدية,33,150000,0,0
مهرجان سلقطة ,المهدية,33,10000,0,0
مهرجان العسل وإحياء التراث,المهدية,33,3000,0,0
ج قبودية,المهدية,33,0,02 عروض موسيقية,0
جمعيّـة معرض صفاقس لكتاب الطفل,صفاقس,34,15000,0,0
جمعية احباء الفنون التشكيلية برج القلال,صفاقس,34,8000,0,0
جمعيّة احباء المكتبة والكتاب بصفاقس,صفاقس,34,18000,0,0
مهرجان تنيور,صفاقس,34,3000,0,0
مهرجان عقارب للفروسية,صفاقس,34,5000,0,دعوة الجمعية لتجديد المطلب
مهرجان ساقية الداير,صفاقس,34,3000,0,0
مهرجان سيدي خليفة الطياري,صفاقس,34,3000,0,0
مهرجان الفنون التشكيلية المحرس,صفاقس,34,50000,0,0
مهرجان المدينة,صفاقس,34,15000,0,0
جمعية فنون الفرجة ببوحجلة,القيروان,41,2000,0,0
جمعية القيروان للثقافة وحقوق الانسان,القيروان,41,0,الجمعية بأربعة (04) عروض مسرحية للهواة بقيمة 3.500د يتم تحديدها بالتنسيق مع ادارة الفنون الركحية,0
الجمعية العربية للإبداع والتجديد الثقافي,القيروان,41,3000,0,0
الجمعية الدولية للثقافة والفنون,القيروان,41,3000,0,04 تذاكر سفر بقيمة 4000 دينار بالتنسيق مع إدارة التعاون الدولي مع إمكانية توفير حافلة لمدة 3 أيام
المهرجان المغاربي للفروسية ببوحجلة,القيروان,41,20000,0,عوة الجمعية لموافاة اللجنة بالتقرير المالي
مهرجان الصوف بحاجب العيون,القيروان,41,4000,0,0
مهرجان ليالي الصيف الدولي,القيروان,41,30000,0,0
جمعية المولد النبوي الشريف و الحتفالات الدينية,القيروان,41,71000,0,27 تذكرة سفر
جمعية المسرح الحديث,القيروان,41,5000,6 عروض مسرحية,0
جمعية فرسان المسرح بوحجلة,القيروان,41,15000,0,0
جمعيّة سنا سفيطلة للتنمية الثقافية والاجتماعية,القصرين,42,6000,عرض موسيقي بقيمة 5000د   و عرض في اطار التبادل الثقافي,0
جمعية ربيع سبيطلة الدولي,القصرين,42,10000,دعم عروض موسيقية  بقيمة 10000د و عروض مسرحية بقيمة 7000 يتم تحديده بالتنسيق مع ادارة الموسيقى والرقص و ادارة الفنون الركحية,0
جمعية البعد السابع للثقافة والمواطنة,القصرين,42,15000,0,0
جمعية خيمة على بن غذاهم للشعر العربي بجدليان,القصرين,42,7000,0,بـثمانية (08) تذاكر سفر والتكفل بإقامة ضيوف المهرجان.
جمعية ربيع سبيطلة,القصرين,42,7000,عرض موسيقي في حدود 7000 د يتم تحديده بالتنسيق مع إدارة الموسيقى والرقص وكذلك عرض مسرحي في فن العرائس يتم تحديده بالتنسيق مع المركز الوطني لفن العرائس,تذاكر سفر مع التكفل بحافلة لمدة 05 أيام
مهرجان سيدي تليل فريانة,القصرين,42,10000,0,0
فنون بلا حدود,القصرين,42,10000,0,0
جمعية المهرجان الدولي للأغنية الريفية والشعر الشعبي بالمزونة,سيدي بوزيد,43,8000,0,0
جمعية مدارات للأدب والفكر والفنون,سيدي بوزيد,43,8000,0,0
جمعية فنون للثقافة واحياء التراث بسيدي بوزيد,سيدي بوزيد,43,5000,0,0
جمعيّة النهوض بمجلة مرآة الوسط ,سيدي بوزيد,43,7000,0,0
جمعية المهرجان الدولي للولي الصالح سيدي علي بن عون,سيدي بوزيد,43,30000,0,0
جمعية الطموح الثقافية,سيدي بوزيد,43,2500,0,تذاكر
جمعية جيران القمر للثقافة والإعلام,سيدي بوزيد,43,3000,0,0
جمعية الأمل للثقافة والترفيه بسيدي بوزيد ,سيدي بوزيد,43,0,عرض موسيقي تراثي من الجهة في حدود 3000 دينار يتم تحديده بالتنسيق مع إدارة الموسيقى والرقص,0
المهرجان الصيفي بسيدي بوزيد,سيدي بوزيد,43,45000,0,دعوة الجمعية لتقديم برنامج نشاط مفصل
المهرجان الدولي للجواد العربي بالمكناسي,سيدي بوزيد,43,8000,0,0
جمعية مهرجان المدينة بسيدي بوزيد,سيدي بوزيد,43,8000,عرض فرقة الوطن العربي بقيمة 10500د,0
جمعية مهرجان الحامة الدولي,قابس,51,40000,0,0
جمعية ابداع للمسرح والفنون بشنني,قابس,51,3000,0,0
جمعية العيون للتضامن والتنمية بعيون الزركين,قابس,51,5000,0,0
جمعية الراقصون المواطنون الجنوب,قابس,51,10000,0,0
جمعية الارادة بقابس,قابس,51,10000,0,0
جمعية المهرجان الوطني للمرقوم بوذرف,قابس,51,10000,0,0
جمعية جسور للفيلم العربي الدولي,قابس,51,100000,0,0
جمعية الواحــــة و التنمية بالعلايا ,قابس,51,1000,عرضين موسيقيين في حدود 8000 د يتم تحديدهما بالتنسيق مع إدارة الموسيقى والرقص,0
مهرجان المطوية,قابس,51,10000,0,0
مهرجان الحناء بشنني,قابس,51,10000,0,"دعوة الجمعية للإلتزام بخصوصيتها ""الحناء"" وتقديم برنامج نشاط مفصل"
المهرجان الوطني للمحار بالزارات,قابس,51,13800,0,0
مهرجان بوشمة الدولي,قابس,51,5000,0,0
مهرجان أوسو,قابس,51,8000,0,0
جمعية الثقافة البديلة مارث,قابس,51,10000,0,0
جمعية موسيقى للجميع بجربة,مدنين,52,3000,0,0
جمعية الرابطة القلمية بمدنين,مدنين,52,8000,0,0
جمعية مهرجان ورغمة للتراث الشعبي,مدنين,52,7000,0,0
جمعية الأمل للتوحد بمدنين,مدنين,52,10000,0,0
جمعية لوطوس للثقافة والفنون بجربة,مدنين,52,10000,0,0
جمعية اصدقاء المدينة بالرياض جربة,مدنين,52,10000,0,0
جمعية التنشيط الثقافي بجربة,مدنين,52,4000,0,0
جمعية الدراسات الأدبية والحضارية بمدنين,مدنين,52,5000,0,0
مهرجان جربة أوليس,مدنين,52,150000,0,0
مهرجان التين ببني خداش,مدنين,52,3000,0,0
جمعية المهرجان الثقافي سيدي مخلوف,مدنين,52,10000,0,0
جمعية نسائم بتطاوين,تطاوين,54,15000,0,0
جمعية المهرجان الدولي للقصور الصحراوية,تطاوين,54,80000,0,0
جمعية الكوكب الايجابي,تطاوين,54,4000,0,0
جمعية ملتقى الجنوب للثقافة والفنون,تطاوين,54,10000,0,0
جمعية مدى للمسرح بتطاوين,تطاوين,54,5300,0,0
جمعية مهرجان الجز بالصمار,تطاوين,54,8000,عرض موسيقي بقيمة 4000,0
جمعية الخوي للتراث و الفنون الأصيلة بتطاوين ,تطاوين,54,5000,,0
جمعية المهرجان الدولي عمر خلفت للمسرح,تطاوين,54,40000,,0
جمعية مسرح الصّمود ام العرائس,قفصة,61,6000,دعم  بأربعة (04) عروض موسيقية بقيمة 10.000,0
جمعيّة المهرجان الوطني للشعر بالمتلوي,قفصة,61,4000,,0
جمعية احباء المركب الثقافي ابن منظور بقفصة,قفصة,61,5000,,0
جمعية الامل المسرحي بالرديف,قفصة,61,4000,,0
جمعية مهرجان المغاور الجبلية بالسند,قفصة,61,3000,عرضين موسيقيين بقيمة 10000,0
جمعية مهرجان ربيع السياحة بالقطار,قفصة,61,10000,,0
جمعية مهرجان قفصة الدولي للمسرح,قفصة,61,15000,عروض مسرحية بقيمة 9000د يتمّ تحديدها بالتنسيق مع ادارة الفنون الركحية,التكفل بـ 5 تذاكر سفر 
جمعية بالخير للمحافظة على التراث,قفصة,61,3000,عرضيين موسيقيين بقيمة 10.000د يتم تحديدها بالتنسيق مع ادارة الموسيقى,0
جمعية بلخير للمحافظة على التراث(عرض ثاني),قفصة,61,12000,0,0
جمعية أحمد التليلي للثقافة الديمقراطية,قفصة,61,3000,0,0
جمعية مهرجان قفصة الدولي,قفصة,61,15000,0,0
جمعية الامل المسرحي بالرديف,قفصة,61,3750,0,0
مهرجان الفسفاط بالرديف,قفصة,61,20000,0,0
المهرجان الوطني للشعر بالمتلوي,قفصة,61,15000,0,0
جمعية ناس للمسرح ,قفصة,61,6000,0,0
جمعية مسرح الوفاء ,قفصة,61,4000,0,0
جمعية أحباء الثقافة أم العرايس,قفصة,61,30000,0,0
جمعية أحباء دار الثقافة بالقطار,قفصة,61,16000,0,0
جمعية مهرجان تقيوس الثقافي بدقاش,توزر,62,25000,0,0
الجمعية التونسية للتنشيط الثقافي والسياحي,توزر,62,10000,0,0
جمعية مهرجان الخيام بحزوة,توزر,62,25000,0,0
جمعية المهرجان الدولي للواحات بتمغزة,توزر,62,30000,0,0
المهرجان الدولي للشعر بتوزر,توزر,62,15000,0,0
أيام الجريد للفنون الركحية,توزر,62,5000,0,0
مهرجان توزر الدولي الصيفي,توزر,62,100000,0,0
المهرجان الصيفي بنفطة,توزر,62,10000,0,0
جمعية مهرجان روحانيات المهرجان الدولي للموسيقى الصوفية بنفطة,توزر,62,50000,0,0
جمعية اطلال دقاش,توزر,62,10000,0,0
جمعية مهرجان بوهلال للسياحة و التراث ,توزر,62,3000,2 عروض موسيقية,0
جمعية فنون الجريد,توزر,62,4000,0,0
جمعية المهرجان الدولي للموسيقى الصوقية نفطة,توزر,62,0,"عرض ""الأقطاب"" بقيمة 9000د",0
جمعية مهرجان بوهلال للسياحة والتراث ,توزر,62,3000,0,0
جمعية مهرجان سيدي حامد لاحياء التراث الصّوفي,قبلي,63,5000,0,0
جمعية دروما سيتي ,قبلي,63,0,اسناد عرضين موسيقيين لأحمد الماجري وشريف علوي,0
جمعيّة على الاسود المرزوقي للتنمية الثقافية,قبلي,63,50000,0,0
جمعية سيدي حامد لإحياء التراث الصوفي (عرض ثاني),قبلي,63,15000,0,0
جمعية المسرح النفزاوي,قبلي,63,5000,0,0
مهرجان الفروسية التقليدية بسوق الأحد,قبلي,63,5000,0,0
