Endroit,Nom_artiste,titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
,نزار الموخر,nyctalopes,جماعي,عمومي,5000,
,ناجي الثابوتي,selfi 2,جماعي,عمومي,8000,
,سارة بن عطية,"le sel de la terre,,, la lumiére de monde",جماعي,عمومي,5000,
,هالة بو زوية,دون عنوان,جماعي,عمومي,1200,
,على الحيساوي,illusions 2,جماعي,عمومي,1800,
,عبد السلام الشرفي,دون عنوان,جماعي,عمومي,3000,
,مهدي قريعة,emergences multiples,جماعي,عمومي,6000,
,سعاد المهبولي,nuit bleue,جماعي,عمومي,2600,
,نعيمة الزغلامي شحاتة,souvenance,جماعي,عمومي,2200,
,صابرة بن فرج ,طفولة 2,جماعي,عمومي,4000,
,محمد منصف مشيش,Couple ,جماعي,عمومي,2000,
,ألفة جمعة,Perdantes ,جماعي,عمومي,2800,
,سمير التريكي ,"إدراك ""ب""",جماعي,عمومي,12000,
,عبد اللطيف حشيشة,نظام صامت,جماعي,عمومي,4800,
,ألهام سبعي شعبان,أوزان و أنغام,جماعي,عمومي,3800,
,وصال بن سليمان,بالظهر ,جماعي,عمومي,4000,
,خالد عبيدة ,Position quadripolaire ,جماعي,عمومي,2600,
,سلوى فهمان,Qui suis–je ?,جماعي,عمومي,800,
,نصاف شكندالي,Entre temps ,جماعي,عمومي,5000,
,إيمان محفوظ,بكاء الجدران ,جماعي,عمومي,1800,
,ياسمين بن محفوظ,حواء,جماعي,عمومي,750,
,عبد المجيد البكري,Recueil d’images 2,جماعي,عمومي,7500,
,سماح الرحموني,الخنقة خنقة,جماعي,عمومي,1600,
,أمنة برشاني,L’œil de l’aiguille ,جماعي,عمومي,800,
,عماد جميل,Quatre direction 2,جماعي,عمومي,13000,
,شروق بلحاج صالح,Palette ,جماعي,عمومي,3500,
,شكري الفاسي,Virrage ,جماعي,عمومي,4800,
,لطيفة السمعي,Déchirure 2,جماعي,عمومي,2200,
دار الثقافة إبن رشيق,أمال حجار,cuison étouffée,فردي,عمومي,3000,11500
,محمد المالكي,فن و تراث,فردي,عمومي,8500,
المركب الثقافي سليانة ,إبراهيم صوة,uchropnie spatiale,جماعي,عمومي,500,13000
,حسام غربال,transe,جماعي,عمومي,2500,
,بسمة هلال,arabe est ce que? -caréé tournant ,جماعي,عمومي,3000,
,دلال الصماري,بلا عنوان 1,جماعي,عمومي,2500,
,فيروز بو جدي,poisson rouge,جماعي,عمومي,3500,
,محمد العربي العربي,تراث ,جماعي,عمومي,1000,
المركب الثقافي القيروان,سالم الماني ,fractale 1,جماعي,عمومي,4000,37700
,الصحبي عبان,regards ,جماعي,عمومي,5000,
,عبد اللطيف الرمضاني,chromos,جماعي,عمومي,6000,
,ناصر خراط,فينيق ,جماعي,عمومي,2200,
,نجيبة عبان,اللوح ,جماعي,عمومي,2500,
,مراد بن بريكة,خلوة,جماعي,عمومي,5500,
,عمر العيفة كريم,الحامل و المحمول,جماعي,عمومي,8000,
,محمد فارس,جدل,جماعي,عمومي,4500,
بيت الشعر القيروان,خالد ميلاد,سفر الأشواق,فردي,عمومي,4000,4000
المعهد الجهوي للموسيقى و الرقص المنستير,ليليا الشريف,الحرية ,جماعي,عمومي,1200,1200
المسرح البلدي سوسة,سمير البياتي ,وجه من بلادي,جماعي,عمومي,1000,3000
,عبد الكريم كريم,الخرجة,جماعي,عمومي,2000,
إسبيرسيون+,نجوى بالفقيه الغنوشي,saadia,جماعي,خاص,2200,4200
,أمال خماخم,cent dix,جماعي,خاص,2000,
دار الثقافة حمام سوسة,لطفي بن صالح,deux regards,جماعي,عمومي,5000,10000
,زين الحرباوي,joueurs de dominos,فردي,عمومي,5000,
متحف مدينة سوسة,نجيب بوقشة ,السوق ,فردي,عمومي,10000,10000
مدينة الثقافة,محمد الذهبي,Spirale 05,جماعي,عمومي,3500,103400
,شهلة سومة,على قيد الذاكرة,جماعي,عمومي,7000,
,سليم بن ابراهيم,dogme,جماعي,عمومي,3000,
,زهرة زروق,إلى ان ينام القمر,جماعي,عمومي,1200,
