date,num,endroit_a,nom_artiste_a,titre,type_d_exposition_a,type_de_galerie_a,prix
03/04/2018,189,دار الفنون بالبلفيدير,محمد حشيشة ,بدون عنوان ,جماعي,عمومي,3000
03/04/2018,190,دار الفنون بالبلفيدير,حمادي بن سعد,Composition ,جماعي,عمومي,7000
03/04/2018,191,دار الثقافة جبل الجلود,ليلى سماوي,espoir de femme,جماعي,عمومي,7000
03/04/2018,192,دار الثقافة جبل الجلود,حسين مصدق,ma palastine,جماعي,عمومي,5000
03/04/2018,193,دار الثقافة جبل الجلود,عمر الغدامسي,amour,جماعي,عمومي,7500
05/04/2018,194,المركب الثقافي القيروان,محمد الهادي بن عياد,فن و حياة,جماعي,عمومي,4000
05/04/2018,195,المركب الثقافي القيروان,وفاء القاضي,souvenir,جماعي,عمومي,3200
05/04/2018,196,المركب الثقافي القيروان,شكري الفاسي,tunis la nuit,جماعي,عمومي,4800
05/04/2018,197,المركب الثقافي القيروان,عبد الحميد الثابوتي,instant,جماعي,عمومي,5400
05/04/2018,198,المركب الثقافي القيروان,سالم ماني,خفايا 2,جماعي,عمومي,4500
05/04/2018,199,المركب الثقافي القيروان,خالد ميلاد ,nostalgie,جماعي,عمومي,2800
05/04/2018,200,المركب الثقافي القيروان,الناصر خراط ,صانع الدمى,جماعي,عمومي,3000
05/04/2018,201,المركب الثقافي القيروان,زياد العزعوزي,sans titre 1,جماعي,عمومي,4000
05/04/2018,202,المركب الثقافي القيروان ,عبد الستار الغجتي,baya,جماعي,عمومي,2000
05/04/2018,203,بيت الشعر القيروان,حسين عطي,أفراح,فردي,عمومي,4000
05/04/2018,204,متحف الفن المعاصر سوسة,الطيب بالحاج أحمد,l'attente,فردي,عمومي,12000
05/04/2018,205,المركب الثقافي سوسة,صفاء بن نجيمة,إعتدال,جماعي,عمومي,600
05/04/2018,206,المركب الثقافي سوسة,محمود الخليفي,plastine,فردي,عمومي,2000
05/04/2018,207,دار الثقافة حمام سوسة ,نجيب بو قشة ,médina arabe1,جماعي,عمومي,6000
05/04/2018,208,دار الثقافة حمام سوسة ,لطفي بن صالح,entre deux vases,جماعي,عمومي,4000
05/04/2018,209,دار الثقافة حمام سوسة ,توفيق الفرقاوي,profil d'un vqses,جماعي,عمومي,3500
05/04/2018,210,دار الثقافة حمام سوسة ,زين الحرباوي,souk hammam sousse,جماعي,عمومي,6000
05/04/2018,211,المركب الثقافي نيابوليس,مبروك الكامل ,بدون عنوان ,جماعي,عمومي,3800
05/04/2018,212,المركب الثقافي نيابوليس,هناء بن على,négociations,جماعي,عمومي,2200
05/04/2018,213,المركب الثقافي نيابوليس,عبد السلام الفالح,wented,جماعي,عمومي,3000
05/04/2018,214,المركب الثقافي نيابوليس,شكري عزيز,و بعد ,جماعي,عمومي,2300
05/04/2018,215,المركب الثقافي نيابوليس,مروان الماجد ,نهج سيدي قادوس,جماعي,عمومي,1500
05/04/2018,216,المركب الثقافي نيابوليس,رجاء زربوط كريد,ظهور ,جماعي,عمومي,400
05/04/2018,217,المركب الثقافي نيابوليس,رضوان العيادي,تراجيديا اللون,جماعي,عمومي,3500
05/04/2018,218,المركب الثقافي نيابوليس,محمد أمين حمودة,بدون عنوان ,جماعي,عمومي,1000
05/04/2018,219,المركز الثقافي نيابوليس,نور الدين بن عمر ,طفح,جماعي,عمومي,2000
05/04/2018,220,المركز الثقافي نيابوليس,إسلام الخياري ,وجه,جماعي,عمومي,2000
05/04/2018,221,المركز الثقافي نيابوليس,زايد الماجري ,impeévisible 2 ,جماعي,عمومي,2600
05/04/2018,222,المركز الثقافي نيابوليس,هدى خراط ,طاقة الخط ,جماعي,عمومي,2000
05/04/2018,223,المركز الثقافي نيابوليس, بلحسن كشو,إنعتاق ,جماعي,عمومي,3000
05/04/2018,224,المركز الثقافي نيابوليس,مراد شوية ,معالجة على صورة ,فردي,عمومي,2700
06/04/2018,225,قاعة المؤتمرات صفاقس,ألفة جمعة ,بدون عنوان ,جماعي,عمومي,1800
06/04/2018,226,قاعة المؤتمرات صفاقس,سماح ضيفاوي,ثنائية1 الإنزلاق,جماعي,عمومي,550
06/04/2018,227,قاعة المؤتمرات صفاقس,رندة بو جلبان,باب الأمل,جماعي,عمومي,1800
06/04/2018,228,قاعة المؤتمرات صفاقس,منى بو جلبان,كائنات مجهرية ,جماعي,عمومي,900
06/04/2018,229,قاعة المؤتمرات صفاقس,عبد اللطيف الحشيشة,1 تناغم,جماعي,عمومي,3600
06/04/2018,230,قاعة المؤتمرات صفاقس,نزار المؤخر ,De part et d'autre du bar selé,جماعي,عمومي,6000
06/04/2018,231,قاعة المؤتمرات صفاقس,حاتم الميلادي,اللاتوازن,جماعي,عمومي,2500
06/04/2018,232,قاعة المؤتمرات صفاقس,وسام الفقي,le minaret,جماعي,عمومي,2500
06/04/2018,233,قاعة المؤتمرات صفاقس,عايدة الكشو خروف,le bonheur,جماعي,عمومي,2000
06/04/2018,234,قاعة المؤتمرات صفاقس,غازي زليلة,les poisons se cachent pour vivre,جماعي,عمومي,1500
06/04/2018,235,قاعة المؤتمرات صفاقس,كمال الكشو,قبضة من طين,جماعي,عمومي,2900
06/04/2018,236,قاعة المؤتمرات صفاقس,منال علولو,métamorphose biomaplique,جماعي,عمومي,1500
06/04/2018,237,قاعة المؤتمرات صفاقس,رؤى الفقي,إستراق,جماعي,عمومي,500
06/04/2018,238,قاعة المؤتمرات صفاقس,جواهر بن ابراهيم ,le je et le moi,جماعي,عمومي,200
06/04/2018,239,قاعة المؤتمرات صفاقس,ضحى والي,عصفور و إمرأتان ,جماعي,عمومي,2000
06/04/2018,240,قاعة المؤتمرات صفاقس,محمد بن عياد,le mythe de la caverne,جماعي,عمومي,3000
06/04/2018,241,قاعة المؤتمرات صفاقس,نزار الطريشيلي,hymne- d'amour,جماعي,عمومي,2800
06/04/2018,242,المعهد العالي للفنون و الحرف بصفاقس,برهان بن عربية,تكوين 43 ,جماعي,عمومي,4500
06/04/2018,243,المعهد العالي للفنون و الحرف بصفاقس,خالد الفقي,تكوين1,جماعي,عمومي,4500
06/04/2018,244,رواق برج قلال,وئام بن معلم بو شعالة ,reflet,جماعي,خاص,1500
06/04/2018,245,رواق برج قلال,نجوى عبد المقصود ,fragilité,فردي,خاص,5000
