Endroit,Nom_artiste,Titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
,إيناس بن يوسف ,blare ,جماعي,خاص,500,
,أمال معلول ,contamination ,جماعي,خاص,900,
,الهاشمي مرزوق,خلاء ,جماعي,عمومي,4000,
,زهرة لرقش,عين دراهم,جماعي,عمومي,2000,
, مختارهنان,الكريطة ,جماعي,عمومي,3500,
دار الثقافة ابن رشيق ,عربية لوظيف,mouch si tu me touche ,فردي,عمومي,5000,15800
,بشير الزريبي ,l'enceinte ,فردي,عمومي,9000,
,أمال زكيكوت,4 Saveurs,جماعي,عمومي,1800,
رواق صلاح الدين ,طاهر عوادة ,protection,فردي,خاص,5000,16400
,إسلام بالحاج رحومة ,belle confinée ,جماعي,خاص,5000,
,فوزية مامي خراط ,détresse ,جماعي,خاص,3500,
,سوسن عويتي,Inner  Peace ,فردي,عمومي,2900,
دار الثقافة جبل الجلود ,هيفاء التاكوتي ,حوار ,فردي,عمومي,3500,36100
,على البطروني ,veso e fiori ,جماعي,عمومي,6000,
,زين الحرباوي ,exode syrien ,جماعي,عمومي,8000,
,الطيب بالحاج أحمد ,chat sur deux ,جماعي,عمومي,6000,
,مراد بريك ,bouffé d' oxygéne ,جماعي,عمومي,8700,
,وصال بن سليمان,Fleur essence,فردي,عمومي,3900,
دار الثقافة مرناق ,مسعود الفرتاني ,الزهو ,جماعي,عمومي,1000,27000
,عبد المجيد بن مسعود ,عمق ,فردي,عمومي,7000,
,عبد المجيد عياد ,اسف سيدتي ,جماعي,عمومي,7000,
,إبراهيم عزابي,Raouandoz,فردي,عمومي,12000,
رواق السعدي ,سماح بن جعفر ,amour maternel ,جماعي,خاص,2500,10900
,نيبل الدريدي ,le bon dos ,جماعي,خاص,3400,
,طارق فخفاخ,لسواق ,فردي,خاص,5000,
جمعية الشابة للفنون و المحيط,عبد الحفيظ التليلي,دون عنوان,جماعي,عمومي,800,7300
,المحسن خلف,ذاكرة 2,جماعي,عمومي,1500,
,خليفة البرادعي,طريق الأشوا ك (chemin des epines),جماعي,عمومي,4000,
,سناءعتيق,تشوهات 4 ,جماعي,عمومي,1000,
دار الثقافة حمام سوسة,كريمة بن سعد,Femme /Âme,جماعي,عمومي,1700,8400
,هادية زوكار,Nature morte  ,جماعي,عمومي,1200,
,نجاح المنصوري,تقاطع 1,جماعي,عمومي,5500,
روق علي خوجة بالمهدية,خالد عبيدة,سيلفي الشقراء المزيفة,فردي,خاص,2500,2500
جمعية رقش /رواق المعهد العالي للفنون و الحرف بالمهدية,أميرة مطيمط,محتمع افتراضي,جماعي,عمومي,1800,19300
,نور الدين بن عمر,صرخة,جماعي,عمومي,2500,
,مراد شوية,المتشائل,جماعي,عمومي,3000,
,سناء الجمالي لعماري,Convergence,جماعي,عمومي,6000,
,دلال الصماري,تجريد,جماعي,عمومي,3000,
,ألفة جمعة,رباعيات الخيام,جماعي,عمومي,3000,
متحف المهدية,محمد البعتي,حلم,فردي,عمومي,6000,6000
المركز الثقافي بسوسة,الهادي زاوية,Hammam Souse1,جماعي,عمومي,3500,29000
,إكرام الغربي,أصالة,جماعي,عمومي,1500,
,سمير بن علية, العاصفة,جماعي,عمومي,4000,
,لطفي بن صالح,Deux Regards,جماعي,عمومي,5000,
,وئام الطاهري,السوق,جماعي,عمومي,2000,
,محمود الخليفي,المفكر,جماعي,عمومي,3500,
,سارة بن علي,Cheval,جماعي,عمومي,2000,
,نزار الطريشيلي,Silhouette,جماعي,عمومي,4000,
,خالد عبد ربه,sans titre,جماعي,عمومي,3500,
 بيت الشعر القيروان,حسين عطي,فسيفساء,فردي,عمومي,4200,4200
الصالون السنوي للفنانين التشكيليين بالقيروان /  المركب الثقافي بالقيروان,سالم ماني,لمة,جماعي,عمومي,4000,55400
,شكري الفاسي,Ville en mouvement,جماعي,عمومي,4800,
,عبد اللطيف الرمضاني,(  الدورادو )       القيروان,جماعي,عمومي,6000,
,عبد الحميد الثابوتي,لامبالات,جماعي,عمومي,7500,
,نجيب عبان,إيحاء,جماعي,عمومي,4000,
,البشير قهواجي ,بوسة خال,جماعي,عمومي,4000,
,وليد الهلالي,سفر,جماعي,عمومي,5000,
,سمية المجبري,غربال,جماعي,عمومي,4800,
,ناصر الخراط,ملامح,جماعي,عمومي,2800,
,نجيبة عبان,نوافذ و حكايات,جماعي,عمومي,3000,
,خالد ميلاد,حنين,جماعي,عمومي,4000,
,هشام بالصغير,كوردة,جماعي,عمومي,5500,
مدينة الثقافة ,مالك سعد الله ,trans-louve,جماعي,عمومي,2500,56050
,فردوس برينسي ,بلا عنوان,جماعي,عمومي,4000,
,فتحي السلطاني ,évannescence ,جماعي,عمومي,4000,
,طارق السحباني ,enfer,جماعي,عمومي,3800,
,فتحي السعيداني ,laffranchi,جماعي,عمومي,12000,
,سمية بولاتي ,royaume de l ombre ,جماعي,عمومي,700,
