" خط-سوق الجملة-بئر القصعة-المكفوفين-حي الاسكان-بن عروس(شارع الحبيب بورقيبة)-عتح الله-جبل الجلود-ديبوزفيل-باب عليوة-منصف باي-شارع قرطاج....
2خط-بن عروس-الياسمينات-مستشفى الياسمينات-برج غربال-بوجردقة-بومهل........"
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة انزال-بيرين-عمر المختار-سيدي حسين(السيجومي)-الملاسين-شارع 9افريل-مستشفى شارل نيكول-باب سعدون***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-الطريق الحزامية-ميامي-المكفوفين-شارع البيئة(بن عروس)-شوشة رادس-منتزه فرحات حشاد-رادس الملاحة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-الطريق الحزامية-ميامي-المكفوفين-شوشة رادس-منتزه فرحات حشاد-رادس المدينة -رادس الملاحة-جسر حلق الوادي-حلق الوادي-الكرم-المرسى(عبر شارع الحبيب بورقيبة)***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-المروج(ميامي)-بن عروس(ش.فرنسا)-الحي الاداري(ط و1)-باب عليوة-شارع المحطة-ساحة المنتجي بالي-باب الجزيرة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-الطريق السيارة-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-لاكانيا(ش.15اكتوبر)-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
"الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة/
الخط2المحمدية (ط و3)-فوشانة (ط و3)-الطريق الحزامية-المروج(ميامي)-المكفوفين-شارع الجمهورية-(بن عروس)-شارع الحبيب بورقيبة(بن عروس)"
"الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-المروج2-ابن سيناء-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
خط2:المحمدية(طو3)-فوشانة(طو3)-المغيرة(طو3)-اليهودية(طو3)-ميامي(عبر الحزامية)-المكفوفين-شارع البيئة(بن عروس)-شوشة رادس-منتزه فرحات حشاد-رادس الملاحة-رادس الميناء***
"
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-سوق السيارات(ع.ط.زغوان)-المروج2-ابن سيناء-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-سوق السيارات(عبر طريق زغوان)-ابن سيناء-لاكانيا-الطريق السريعة(24)-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-سوق السيارات-ابن سيناء-لاكانيا-الطريق السريعة-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-سوق السيارات-ابن سيناء-لاكاني-الطريق السريعة-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
"الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-ميامي(عبر الحزامية)-المكفوفين-شارع البيئة(بن عروس)-شوشة رادس-منتزه فرحات حشاد-معهد فرحات حشاد برادس-رادس المدينة
الخط2/المحمدية(ط و3)-فوشانة(المغيرة(ط و3)-عمر المختار-بيرين-سيدي حسين-الملاسين-شارل نيكول-باب سعدون-الرابطة
الخط3/المحمدية-فوشانة-المغيرة(ط و3)-المروج1(ط و3)-لاكانيا-باب عليوة-ساحة المنجي بالي
"
الخط/المحمدية(ط و3)-فوشتانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-الطريق الحزامية ميامي-المكفوفين-حي الاسكان-شارع الجمهورية-بن عروس(شارع الحبيب بورقيبة***
الخط/المحمدية)ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية)ط و3)-الحزامية ميامي-المكفوفين-حي الاسكان-شارع الجمهورية(بن عروس)-شارع الحبيب بورقيبة(بن عروس)-نهج بنزرت***
الخط/المحمدية-فوشانة(ط و3)-المغيرة(ط و3)-المروج1(ط م3)-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية-فوشانة(ط و3)-المغيرة(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-لاكانيا-باب عليوةشارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المحمدية-فوشانة(ط و3)-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
"الخط/المحمدية-فوشانة-المغيرة انزال-عمر المختار-سيدي حسين-الملاسين
الخط2/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-ابن سيناء-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة/
الخط3/المروج(6.5.4.3.1)-مستشفى الحروق االبليغة-الطريق السريعة الجنوبية-شارع الجمهورية-نهج علي درغوث-شارع قرطاج***"
الخط/المروج(6.5.3.2)-الحزامية-سوق السيارات-ابن سيناء-لاكاني(الطريق السريعة)-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج(6.5.4.3)-الحزامية-سوق السيارات-المنتزه-حي ابن سيناء-الوردية2-لاكانيا-باب عليوة-شارع المنصف باي-شارع قرطاج***
"الخط/المروج(6.5.4.3.1)-مساشفى الحروق-لاكانيا-باب عليوة-منصف باي-نهج علي درغوث-شارع قرطاج.
خط2:المحمدية(طو3)-فوشانة(طو3)-المروج1-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة.
خط3:الخليدية-نعسان-المروج4-المكفوفين-الطريق السريعة-لاكانيا-باب عليوة -شارع المنصف الباي- شارع قرطاج***
"
الخط/المروج(6.5.4.3.1)-مستشفى الحروث البليغة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج(6.5.4.3.1)-مستشفى الحروق البليغة-الطريق السريعة-با عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج(6.5.4.3.1)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المروج(6.5.4.3.1.2)-ابن سيناء-لاكاني-الطريق السريعة الجنوبية-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج(6.5.4.3.2)-الحزامية-طريق زغوان-ابن سيناء-لاكانيا-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج**
الخط/المروج(6.5.4.3.2)-سوق السيارات(عبر طريق زغوان)-ابن سيناء-لاكانيا-الطريق السريعة(24)-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج(6-5-4-3-1)-مستشفى الحروق البليغة-الطريق السريعة الجنوبية-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج)6-5-4-3-1)-مستشفى الحروق البليغة-الطريق السريعة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج1.3.4.5.6/مستشفى الحروق/لاكانيا/باب عليوة/منصف باي/شارع قرطاج***
الخط/المروج6.5.4.3.1/مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج6.5.4.3.1-مستشفى الحروق البليغة-لاكانيا-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج6.5.4.3.1-مستشفى الحروق -الطريق السريعة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج6.5.4.3.1-مستشفى الحروق-لاكانيا-باب عليوة-منصف باي-علي درغوث-شارع قرطاج***
الخط/المروج6.54.3.1-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط/المروج6/5/4/3/1-مستشفى الحروق البليغة-لاكاني-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المروج6-5-4-3-1/مستشفى الحروق البليغة-لاكانيا-باب عليو-شارع المحطة تونس-ساحة المنجي بالي-باب الجزيرة***
الخط/المروج6-5-4-3-1/مستشفى الحروق(ط.سريعة)-باب عليوة-منصف باي-شارع قرطاج تونس***
الخط/المستشفى الجهوي بالياسمينات-الياسمينات-بن عروس(ط ج34)-فتح الله-جبل الجلود(ط و1)-ديبوزفيل(ط و1)-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/برج السدرية القرية-المنطقة الصناعية-بئر الباي-حمام الشط-طاهر صفر-محطة الملعب-حمام الانف-بوقرنين-الزهراء(ط و1)-شوشة رادس-بن عروس(ط و1)-جبل الجلود-شارع قرطاج تونس***
الخط/برج السدرية(ط و1)-بئر الباي(ط و1)-حمام الشط(ط و1)-الطاهر صفر(ط و1)-محطة الملعب(ط و1)-حمام الانف(ط و1)-بوقرنين(طريق رادس ج33)-برج الوزير(ط ج 33)-رادس(شارع الجمهورية)منتزه فرحات حشاد-شارع البيئة-المكفوفين-ميامي-المروج 3(امام المبيت الجامعي ****
"الخط/برج السدرية-بئر الباي(ط و1)-حمام الشط(ط و1)-الطاهر صفر(ط و1)-حمام الانف(ط و1)-بوقرنين(ط و1)-بومهل-الزاوية-مرناق****
خط:2 الزهراء(ط و1)-برج الوزير(طو1)-المدينة الجديدة(ط و1)- شوشة رادس(ط و 1)- مقرين(ط و1)-جبل الجلود(طو1)-ديبوزفيل(طو1)-المنصف باي-نهج علي درغوث-شارع قرطاج***
خط:3 مرناق-الزاوية-بوجردقة-المدينة الجديدة(شارع فيصل ابن عبد العزيز)-شوشة رادس(طو1)-الحي الاداري(طو1)-جبل الجلود(ط و1)-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج*****"
الخط/برج السدرية-بئر الباي(ط و1)-حمام الشط(ط و1)-الطاهر صفر(ط و1)-محطة الملعب(ط و1)-حمام الانف(ط و1)-بوقرنين(ط و1)-معهد الزهراء-الزهراء-برج الوزير-رادس مليان-رادس-شوشة رادس-المكفوفين-ميامي _المروج3--)امام المبيت الجامعي(.
الخط/برج السدرية-بئر الباي-حمام الشط(ط و1)-الطاهر صفر(ط و1)-محطة الملعب(ط و1)-حمام الانف(ط و1)-بوقرنين(ط و1)-معهد الزهراء-برج الوزير-رادس مليان-رادس المدينة***
الخط/برج السدرية-حمام الانف(ط و1)-بوقرنين(ط و1)-الزهراء(ط و1)-شوشة رادس(ط و1)-مقرين الرياض(ط و1)-جبل الجلود(ط و1)-ديبوزفيل(ط و1)-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
"الخط/برج السدرية-حمام الشط(ط و1)-حمام الانف(ط و1)-الزهراء(ط و1)-شوشة رادس-الحي الاداري بن عروس-جبل الجلود-باب عليوة-المنصف باي-شارع قرطاج تونس***
خط2:برج السدرية(القرية)-بئر الباي(طو1)-حمام الشط(طو1)-الطاهر صفر(طو1=-الشعبية(طو1)-حمام الانف(طو1)-بوقرنين(طو1)-الزهراء(معهد)-الزهراء-برج الوزير-القرية المتوسطية-بئر طراز-رادس-رادس الميناء***
"
