PKLigne;Pk1;LIGNE; TYPE ;Nbre de Voie;PN voisin gare (à indiquer);       TYPE ANI;DE ANP;CDV VPN;ASSAINISSEMENT ZONE ANI;ASSAINISSEMENT ZONE ANP;ASSAINISSEMENT ZONE VPN;CONTACT RAIL ANI;CONTACT RAIL ANP;CONTACT RAIL VPN;DUREE ANNONCE  PAIRE;DUREE ANNONCE IMPAIRE;terre;coupure bipolaire;PN avec clignoteur à mercure;PN dôté d'alim commune;Etat du câblage châssis;Etat de la guérite;PN dôté de minuterie;type Télécontrôle;"ETAT
 BATTERIE";OBSERVATIONS;Observations;Arrondissement;Zone;Latitude;Longitude;Pk Route;Urbain-Rural;Visibilité;Gouvernorat;Institution concernée;Présignalisation
325 , 838L5;325 , 838;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°30'33.84""N";" 10°16'9.06""E";;;;;;
327 , 471L5;327 , 471;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°30'23.62""N";" 10°15'2.55""E";;;;;;
332 , 050L5;332 , 050;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°29'50.77""N";" 10°12'11.64""E";;;;;;
333 , 700L5;333 , 700;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°29'1.98""N";" 10°11'41.03""E";;;;;;
339 , 495L5;339 , 495;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°26'9.60""N";" 10°10'11.94""E";;;;;;
341 , 050L5;341 , 050;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°25'23.72""N";" 10° 9'50.95""E";;;;;;
343,375L5;343,375;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°24'28.42""N";" 10° 8'46.24""E";;;;;;
345,150L5;345,15;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°23'49.34""N";" 10° 7'57.55""E";;;;;;
346 , 575L5;346 , 575;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°23'12.83""N";" 10° 7'20.67""E";;;;;;
350 , 708L5;350 , 708;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°21'14.49""N";" 10° 6'7.26""E";;;;;;
354,033L5;354,033;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°19'38.38""N";" 10° 5'7.77""E";;;;;;
355,811L5;355,811;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°18'46.96""N";" 10° 4'36.15""E";;;;;;
361 , 483L5;361 , 483;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°16'3.17""N";" 10° 2'55.22""E";;;;;;
365 , 202L5;365 , 202;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°14'29.07""N";" 10° 1'27.32""E";;;;;;
369 , 612L5;369 , 612;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°12'50.26""N";"  9°59'23.88""E";;;;;;
371 , 800L5;371 , 800;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°11'41.45""N";"  9°59'14.03""E";;;;;;
373 , 250L5;373 , 250;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°10'51.81""N";"  9°59'11.25""E";;;;;;
376 , 057L5;376 , 057;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 9'22.13""N";"  9°59'5.87""E";;;;;;
378 , 627L5;378 , 627;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 7'58.78""N";"  9°59'0.93""E";;;;;;
381,072L5;381,072;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 6'39.63""N";"  9°58'56.18""E";;;;;;
381 , 400L5;381 , 400;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 6'25.41""N";"  9°58'55.48""E";;;;;;
389 , 424L5;389 , 424;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 2'10.29""N";"  9°59'22.18""E";;;;;;
390 , 659L5;390 , 659;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 1'30.88""N";"  9°59'29.95""E";;;;;;
392 , 258L5;392 , 258;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34° 0'39.26""N";"  9°59'36.58""E";;;;;;
399 , 652L5;399 , 652;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 33°57'22.72""N";" 10° 2'2.95""E";;;;;;
401 , 358L5;401 , 358;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 33°56'47.82""N";" 10° 2'54.22""E";;;;;;
402 , 448L5;402 , 448;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 33°56'25.73""N";" 10° 3'27.86""E";;;;;;
411 , 026L5;411 , 026;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 33°53'41.85""N";" 10° 6'34.98""E";;;;;;
12 , 750L6;12 , 750;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°41'52.56""N";" 10°13'46.78""E";;;;;;
13 , 250L6;13 , 250;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°41'38.62""N";" 10°13'38.48""E";;;;;;
13 , 991L6;13 , 991;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°41'20.31""N";" 10°13'27.93""E";;;;;;
14 , 311L6;14 , 311;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°41'5.61""N";" 10°13'19.23""E";;;;;;
15 , 106L6;15 , 106;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°40'42.14""N";" 10°13'5.27""E";;;;;;
15 , 507L6;15 , 507;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°40'30.40""N";" 10°12'58.49""E";;;;;;
15 , 657L6;15 , 657;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°40'26.15""N";" 10°12'55.92""E";;;;;;
15 , 713L6;15 , 713;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°40'24.43""N";" 10°12'54.85""E";;;;;;
16 , 207L6;16 , 207;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°40'10.78""N";" 10°12'44.52""E";;;;;;
16 , 758L6;16 , 758;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°39'55.94""N";" 10°12'32.12""E";;;;;;
17 , 600L6;17 , 600;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°39'31.08""N";" 10°12'11.69""E";;;;;;
18,385L6;18,385;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°39'10.89""N";" 10°11'57.79""E";;;;;;
18,795L6;18,795;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°38'58.90""N";" 10°11'56.85""E";;;;;;
19,855L6;19,855;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°38'37.12""N";" 10°11'23.80""E";;;;;;
21 , 500L6;21 , 500;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°38'6.04""N";" 10°10'29.22""E";;;;;;
22 , 850L6;22 , 850;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°37'41.86""N";" 10° 9'42.41""E";;;;;;
24 , 103L6;24 , 103;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°37'28.52""N";" 10° 8'53.79""E";;;;;;
25 , 771L6;25 , 771;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°36'56.98""N";" 10° 8'4.27""E";;;;;;
28 , 126L6;28 , 126;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°36'3.10""N";" 10° 6'57.29""E";;;;;;
29 , 300L6;29 , 300;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°35'35.96""N";" 10° 6'23.66""E";;;;;;
30 , 390L6;30 , 390;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°35'11.17""N";" 10° 5'52.49""E";;;;;;
32 , 030L6;32 , 030;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°34'33.63""N";" 10° 5'5.85""E";;;;;;
45 , 762L6;45 , 762;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°28'53.44""N";" 10° 1'32.66""E";;;;;;
48 , 474L6;48 , 474;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°27'32.56""N";" 10° 1'24.90""E";;;;;;
49 , 570L6;49 , 570;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°27'2.28""N";" 10° 1'6.12""E";;;;;;
52 , 084L6;52 , 084;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°25'57.76""N";" 10° 0'3.31""E";;;;;;
54 , 160L6;54 , 160;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°25'10.18""N";"  9°59'4.34""E";;;;;;
57 , 330L6;57 , 330;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°24'11.47""N";"  9°57'21.58""E";;;;;;
58 , 570L6;58 , 570;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°23'39.35""N";"  9°56'52.24""E";;;;;;
59 , 830L6;59 , 830;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°23'29.85""N";"  9°56'4.28""E";;;;;;
60 , 320L6;60 , 320;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°23'28.38""N";"  9°55'46.96""E";;;;;;
60 , 380L6;60 , 380;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;n'existe pas;;;;;;;
61 , 125L6;61 , 125;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°23'15.74""N";"  9°55'15.81""E";;;;;;
63 , 565L6;63 , 565;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'28.15""N";"  9°53'59.06""E";;;;;;
64,623L6;64,623;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'18.13""N";"  9°53'19.50""E";;;;;;
67 , 570L6;67 , 570;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'39.42""N";"  9°51'31.30""E";;;;;;
68,020L6;68,02;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'32.74""N";"  9°51'15.03""E";;;;;;
70,010L6;70,01;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'25.80""N";"  9°49'55.45""E";;;;;;
72,300L6;72,3;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'21.72""N";"  9°48'22.99""E";;;;;;
74,560L6;74,56;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'20.98""N";"  9°46'51.78""E";;;;;;
76 , 945L6;76 , 945;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'20.33""N";"  9°45'15.64""E";;;;;;
78 , 960L6;78 , 960;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'19.63""N";"  9°43'54.58""E";;;;;;
79 , 830L6;79 , 830;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'19.24""N";"  9°43'19.23""E";;;;;;
81 , 060L6;81 , 060;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'20.15""N";"  9°42'30.31""E";;;;;;
82 , 970L6;82 , 970;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'23.30""N";"  9°41'13.12""E";;;;;;
83 , 480L6;83 , 480;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'23.93""N";"  9°40'52.58""E";;;;;;
86 , 050L6;86 , 050;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'18.35""N";"  9°39'9.99""E";;;;;;
86 , 850L6;86 , 850;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'17.27""N";"  9°38'38.35""E";;;;;;
87 , 590L6;87 , 590;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'16.88""N";"  9°38'9.15""E";;;;;;
89 , 360L6;89 , 360;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'40.12""N";"  9°37'5.22""E";;;;;;
90 , 880L6;90 , 880;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"36°21'55.85""N";"  9°36'7.40""E";;;;;;
91 , 760L6;91 , 760;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'1.38""N";"  9°35'32.01""E";;;;;;
94 , 790L6;94 , 790;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'16.55""N";"  9°33'32.46""E";;;;;;
95 , 790L6;95 , 790;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'21.52""N";"  9°32'52.11""E";;;;;;
99 , 400L6;99 , 400;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'33.72""N";"  9°30'27.87""E";;;;;;
100 , 600L6;100 , 600;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'36.67""N";"  9°29'40.61""E";;;;;;
102 , 050L6;102 , 050;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"36°22'40.66""N";"  9°28'42.05""E";;;;;;
102 , 690L6;102 , 690;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'42.93""N";"  9°28'16.58""E";;;;;;
106 , 820L6;106 , 820;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'44.48""N";"  9°25'38.71""E";;;;;;
107 , 520L6;107 , 520;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'31.93""N";"  9°25'15.18""E";;;;;;
108 , 700L6;108 , 700;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°22'2.41""N";"  9°24'47.30""E";;;;;;
110 , 080L6;110 , 080;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'31.52""N";"  9°24'8.10""E";;;;;;
111 , 230L6;111 , 230;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°21'4.99""N";"  9°23'37.01""E";;;;;;
113 , 700L6;113 , 700;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°20'26.31""N";"  9°22'13.68""E";;;;;;
116 , 710L6;116 , 710;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°20'15.82""N";"  9°20'22.59""E";;;;;;
118 , 080L6;118 , 080;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°19'42.26""N";"  9°19'49.15""E";;;;;;
119,620L6;119,62;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°18'54.36""N";"  9°19'24.83""E";;;;;;
120 , 310L6;120 , 310;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°18'34.43""N";"  9°19'12.66""E";;;;;;
121 , 750L6;121 , 750;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°17'52.81""N";"  9°18'50.08""E";;;;;;
122 , 470L6;122 , 470;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°17'32.26""N";"  9°18'36.35""E";;;;;;
123 , 950L6;123 , 950;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°16'53.05""N";"  9°18'6.90""E";;;;;;
125 , 300L6;125 , 300;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°16'26.27""N";"  9°17'26.05""E";;;;;;
130 , 250L6;130 , 250;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°15'9.26""N";"  9°14'53.31""E";;;;;;
132 , 300L6;132 , 300;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°15'7.14""N";"  9°13'36.25""E";;;;;;
134 , 750L6;134 , 750;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°15'2.18""N";"  9°12'5.26""E";;;;;;
135 , 550L6;135 , 550;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°15'12.38""N";"  9°11'35.41""E";;;;;;
137 , 000L6;137 , 000;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°15'6.61""N";"  9°10'50.42""E";;;;;;
137 , 980L6;137 , 980;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°14'49.00""N";"  9°10'48.51""E";;;;;;
138 , 650L6;138 , 650;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°14'30.44""N";"  9°10'35.74""E";;;;;;
139 , 580L6;139 , 580;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°14'7.63""N";"  9°10'12.48""E";;;;;;
141 , 560L6;141 , 560;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°13'16.72""N";"  9° 9'22.46""E";;;;;;
142 , 720L6;142 , 720;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°12'53.38""N";"  9° 8'46.57""E";;;;;;
143 , 700L6;143 , 700;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°12'26.27""N";"  9° 8'26.71""E";;;;;;
145 , 610L6;145 , 610;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°11'28.38""N";"  9° 7'58.21""E";;;;;;
145 , 950L6;145 , 950;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°11'18.26""N";"  9° 7'53.36""E";;;;;;
148 , 890L6;148 , 890;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 9'47.50""N";"  9° 7'19.48""E";;;;;;
152 , 600L6;152 , 600;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 7'49.02""N";"  9° 6'39.76""E";;;;;;
155 , 350L6;155 , 350;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 6'45.62""N";"  9° 5'37.91""E";;;;;;
162 , 420L6;162 , 420;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'40.67""N";"  9° 2'7.70""E";;;;;;
163 , 010L6;163 , 010;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'36.77""N";"  9° 1'44.16""E";;;;;;
165 , 100L6;165 , 100;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'34.52""N";"  9° 0'38.28""E";;;;;;
166,100L6;166,1;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'38.50""N";"  8°59'58.44""E";;;;;;
167,340L6;167,34;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'43.41""N";"  8°59'9.29""E";;;;;;
168 , 100L6;168 , 100;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'46.35""N";"  8°58'40.07""E";;;;;;
168,900L6;168,9;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'45.54""N";"  8°58'7.51""E";;;;;;
171,480L6;171,48;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 4'13.59""N";"  8°56'33.40""E";;;;;;
173,500L6;173,5;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 3'31.14""N";"  8°55'25.98""E";;;;;;
176 , 550L6;176 , 550;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 2'9.24""N";"  8°54'34.70""E";;;;;;
177 , 900L6;177 , 900;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 1'27.31""N";"  8°54'14.31""E";;;;;;
178 , 600L6;178 , 600;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 1'9.50""N";"  8°53'57.76""E";;;;;;
179 , 700L6;179 , 700;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 0'42.86""N";"  8°53'32.37""E";;;;;;
180 , 700L6;180 , 700;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 0'16.99""N";"  8°53'7.53""E";;;;;;
184 , 650L6;184 , 650;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°58'37.36""N";"  8°51'32.76""E";;;;;;
185 , 680L6;185 , 680;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°58'11.38""N";"  8°51'8.30""E";;;;;;
187 , 900L6;187 , 900;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°57'14.52""N";"  8°50'14.09""E";;;;;;
189 , 709L6;189 , 709;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°56'28.45""N";"  8°49'30.32""E";;;;;;
189 , 930L6;189 , 930;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°56'22.82""N";"  8°49'24.91""E";;;;;;
190 , 870L6;190 , 870;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"35°56'1.33""N";"  8°48'59.22""E";;;;;;
192 , 300L6;192 , 300;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°55'41.45""N";"  8°48'6.99""E";;;;;;
194 , 130L6;194 , 130;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°55'18.44""N";"  8°47'1.59""E";;;;;;
195 , 407L6;195 , 407;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°55'31.98""N";"  8°46'15.60""E";;;;;;
198 , 703L6;198 , 703;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°54'46.20""N";"  8°44'30.39""E";;;;;;
199 , 110L6;199 , 110;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°54'42.18""N";"  8°44'15.30""E";;;;;;
201 , 553L6;201 , 553;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°53'41.55""N";"  8°43'44.98""E";;;;;;
204 , 105L6;204 , 105;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"35°52'59.05""N";"  8°42'46.69""E";;;;;;
205 , 140L6/9;205 , 140;06-sept;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°52'34.08""N";"  8°42'15.92""E";;;;;;
206 , 669L6/9;206 , 669;06-sept;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°52'13.24""N";"  8°41'22.66""E";;;;;;
208 , 540L6/9;208 , 540;06-sept;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°51'27.27""N";"  8°40'58.08""E";;;;;;
213 , 350L6;213 , 350;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°49'7.66""N";"  8°39'51.93""E";;;;;;
215 , 850L6;215 , 850;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°48'0.54""N";"  8°39'23.92""E";;;;;;
216 , 660L6;216 , 660;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°47'47.76""N";"  8°38'55.84""E";;;;;;
217 , 880L6;217 , 880;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°47'26.73""N";"  8°38'14.68""E";;;;;;
220 , 775L6;220 , 775;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°46'7.98""N";"  8°37'15.00""E";;;;;;
221 , 390L6;221 , 390;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°45'51.81""N";"  8°37'0.50""E";;;;;;
222 , 586L6;222 , 586;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°45'14.07""N";"  8°37'5.36""E";;;;;;
225 , 966L6;225 , 966;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°43'27.62""N";"  8°37'7.45""E";;;;;;
227 , 055L6;227 , 055;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°42'54.22""N";"  8°36'53.11""E";;;;;;
227 , 956L6;227 , 956;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°42'26.74""N";"  8°36'41.08""E";;;;;;
228 , 674L6;228 , 674;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°42'4.72""N";"  8°36'31.63""E";;;;;;
230 , 716L6;230 , 716;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°41'2.39""N";"  8°36'4.66""E";;;;;;
231 , 776L6;231 , 776;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°40'30.06""N";"  8°35'50.58""E";;;;;;
234 , 550L6;234 , 550;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°39'6.70""N";"  8°35'13.36""E";;;;;;
235 , 392L6;235 , 392;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°38'51.59""N";"  8°34'52.56""E";;;;;;
236 , 870L6;236 , 870;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°38'31.08""N";"  8°33'54.64""E";;;;;;
237 , 760L6;237 , 760;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°38'11.69""N";"  8°33'28.59""E";;;;;;
240 , 250L6;240 , 250;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°37'9.21""N";"8°32'26.92""E";;;;;;
241,300L6;241,3;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°36'44.25""N";"  8°31'59.09""E";;;;;;
241 , 900L6;241 , 900;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°36'33.86""N";"  8°31'39.33""E";;;;;;
243 , 403L6;243 , 403;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°36'6.14""N";"  8°30'48.23""E";;;;;;
244 , 171L6;244 , 171;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°35'57.74""N";"  8°30'19.76""E";;;;;;
245,500L6;245,5;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°35'49.54""N";"  8°29'46.29""E";;;;;;
247 , 145L6;247 , 145;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°35'30.14""N";"  8°28'27.10""E";;;;;;
250 , 120L6;250 , 120;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°34'18.19""N";"  8°27'36.66""E";;;;;;
250 , 763L6;250 , 763;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°34'2.86""N";"  8°27'17.84""E";;;;;;
251 , 618L6;251 , 618;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°33'57.31""N";"  8°26'45.27""E";;;;;;
251 , 910L6;251 , 910;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°33'52.99""N";"  8°26'32.87""E";;;;;;
252 , 396L6;252 , 396;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°33'42.10""N";"  8°26'25.20""E";;;;;;
253 , 200L6;253 , 200;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°33'16.94""N";"  8°26'17.96""E";;;;;;
253,700L6;253,7;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°32'58.74""N";"  8°26'9.98""E";;;;;;
257 , 165L6;257 , 165;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°31'25.04""N";"  8°27'15.89""E";;;;;;
257 , 553L6;257 , 553;6;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°31'13.26""N";"  8°27'22.66""E";;;;;;
