   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
144;SUPER HUILE;IAA;BEN AROUS;Lot N° 24 ZI M'ghira Fouchena;79 408 319;79 408 391
145;TECHNOFOOD INDUSTRIE;IAA;BEN AROUS;Lot N°9 ZI Mghira 3 Fouchana;79 408 516;79 408 529
146;CENTRALE LAITIERE DE BIZERTE - CLB;IAA;BIZERTE;Route des runines Utique;70 026 200;70 026 210
147;CENTRE DE COLLECTE FATHI MEJRI;IAA;BIZERTE;Bech Hamba;98 440 348;71 906 146
148;COTUPRAL;IAA;BIZERTE;Rue Ali Balhouane El Alia;72 453 217;72 453 218
149;FROMAGERIE DE MATEUR - FROMAT;IAA;BIZERTE;Zone Industrielle Mateur  BP 23;72 468 084;72 468 104
150;GENERALE DES PRODUITS SNACKS - GEPROS;IAA;BIZERTE;Rue de Niger;71 795 990;71 796 007
151;HUILE DE BIZERTE;IAA;BIZERTE;1 RUE EL KRAM, Nouvelle Medina;72 492 377;72 492 377
152;HUILERIE HOSNI ZAIEM;IAA;BIZERTE;Avenue Habib Bourgatfa Ras Jebel Bizerte;72 447 953;
153;HUILERIE MODERNE DU NORD;IAA;BIZERTE;Av Habib Bourguiba Mateur;72 466 280;72 466 364
154;NATILAIT;IAA;BIZERTE;Route des ruines Utique;70  026 200;70 026 210
155;SOCIETE  SIPA;IAA;BIZERTE;3 Rue Erraoui Aïn Mériem;72 535 505;72 535 506
156;SOCIETE BEN AYED DISTRIBUTION DE PRODUITS DE MER - BDPM;IAA;BIZERTE;Port de pêche Zarzouna;72 593 275;72 593 075
157;SOCIETE DE SERVICES AGRICOLES TESKREYA;IAA;BIZERTE;TESKRAYA BIZERTE SUD;72 445 022;72 445 063
158;SOCIETE DES HUILES DU NORD- HUILNORD;IAA;BIZERTE;Route de Tunis KM 5 Menzel Bourguiba  Bizerte;72471212 -24909404;72471251
159;SOCIETE DES SERVICES AGRICOLES EL MREZIGUE;IAA;BIZERTE;EL MREZIGUE BIZERTE SUD BIZERTE;72 445 022;72 445 063
160;SOCIETE DES SERVICES AGRICOLES L'AVENIR;IAA;BIZERTE;EL GARIA ROUTE DE METLINE RAS JEBAL;72 445 022;72 445 063
161;SOCIETE DES SERVICES AGRICOLES NOUR;IAA;BIZERTE;DALI ROUTE DE BIZERTE UTIQUE;72 445 022;72 445 063
162;SOCIETE EL BADR;IAA;BIZERTE;Route de Bizerte Utique;72 445 022;72 445 063
163;SOCIETE ERROKAI;IAA;BIZERTE;7 Ouinet Mateur;98 440 848;71 906 149
164;SOCIETE FOOD DECORATION;IAA;BIZERTE;ZI Zarzouna;72 431 258;72 425 266
165;SOCIETE HUILE MATEUR;IAA;BIZERTE;Z.I 2 Mateur;72 475 114;72 475 710
166;SOCIETE MEDFOOD;IAA;BIZERTE;49 Avenue 7 Novembre Menzel Jemil;72 446 866;72 446 808
167;SOCIETE MODERNE D'ELEVAGE - SME;IAA;BIZERTE;Nouvelle Utique;72 402 600;72 402 899
168;SOCIETE MUTUELLE DE BASES DES SERVICES AGRICOLES RAS JEBEL - SMBSA;IAA;BIZERTE;Km 2 Route de Metline Ras Jebel;20 369 756;72 455 071
169;SOCIETE PORTO FARINA;IAA;BIZERTE;AV Kherieddine Pacha Imm Pacha Centre;71 950 902/25405362;71950814
170;SOCIETE SERVICE AGRICOLE LEZDINE;IAA;BIZERTE;Bach Hamba Utique;98 440 348;
171;SOCIETE SIPA INTERNATIONAL;IAA;BIZERTE;ZI EL ALIA;72 453 111;72 453 180
172;SOCIETE SMBSA ENNOUHOUDH MATEUR;IAA;BIZERTE;Rue Habib Bourguiba;72 467 966;72 466 155
173;SOCIETE TRAD DES PRODUITS DE LA MER - STPM;IAA;BIZERTE;Port de pêche La Goulette;71 736 258;71 736 178
174;SOCIETE TUNISIENNE LAITIERE ET FROMAGERE - SO.TU.LAI.FROM;IAA;BIZERTE;15, rue d'Allemagne;71 325 444;71 321 481
175;SOCIETE TUNISO ITALIENNE DE CONGELATION-STIC;IAA;BIZERTE;ZI Menzel Jemil;72 490 044;72 441 316
176;STE AZZA BIOLIVE & LEGUME SA;IAA;BIZERTE;ZI Ghezala BP 43;72 487 400;72 487 441
177;STE EL AMAL DE COND DES FRUITS ET LEGUME;IAA;BIZERTE;Route de la plage - RAS JEBEL;97 948 970;
178;TIPAGRO;IAA;BIZERTE;118 avenue hbib Bourguiba;23202205;
179;UTIQUE AGRICOLES SERVICES EL AZIB;IAA;BIZERTE;UTIQUE ROUTE DE BIZERTE UTIQUE;72 445 022;72 445 063
180;UTIQUE FRUIT;IAA;BIZERTE;Z I Utique BP N° 8;72 445 460/72494064;72 445 211/72494211
181;COMPTOIR DU GLACE CGA;IAA;GABES;Route de Mednine Shib Téboulbou;75 297 081;75 297 082
182;ENTREPOT GOUADRIA;IAA;GABES;Ghannouch;20 736 021;
183;HUILERIE IZDIHAR;IAA;GABES;Zerkinne N° 1, 6056 Gabés;05237137;
184;LES GRANDS MOULINS DE GABES;IAA;GABES;Immeuble Hertz N°20 Charguia 2;75 322 470;75 320 394
185;SOCIETE BISCUITERIE CHAABANE;IAA;GABES;Route de Mednine Teboulbou;75 294 214;75 294 522
186;SOCIETE DE CONDITIONNEMENT ALIMENTAIRE - SOCONAL;IAA;GABES;62 Rue d'Alger;75 278 310;75 278 310
187;SOCIETE DE DEVELOPPEMENTS DES EXPORTATIONS - SODEXPO;IAA;GABES;7 Rue 8002 B 5-4 Immeuble Safsaf;71 951 574;71 650 966
188;SOCIETE ELYSSA HUILES;IAA;GABES;Complexe Campus 2 Appartement A16 Manar 1;75 237 600;75 237 633
