Gouvernorats;NB;Localisation;Spécialité;"Date de Création"
Mannouba;76;"el mornegia cité el bassatine";"Sports défensifs";2016
Mannouba;77;"salle de sport individuelle à danden";"salle des jeux individuels";2017
Nabeul;80;"Biir chalouf nabeul";"Multi displine";1994
Nabeul;84;"manzel tmime";"Multi displine";1993
Nabeul;89;Tazarka;"Multi displine";2010
Nabeul;93;"hammem ghzez";"Salle de volleyball";2016
Zaghouan;96;Zaghouan;"Multi displine";1993
Zaghouan;100;"el fahs";"Multi displine";2017
Bizerte;103;"Ain mariem";"Salle d'entrainnement";2000
Bizerte;104;Zarzouna;"Salle d'entrainnement";1999
Bizerte;108;"Ras el djbal";"Multi displine";2010
Bizerte;112;"salle de tennis Rafraf";"Tennis de table";2015
Béja;116;"Mjez el beb";"Salle de Gymnase";1996
Béja;120;"salle de sport individuelle à tastour";"Jeux individuels";2017
Jandouba;124;"El chorfa";Gido;2009
"El Kéf";127;"El Kéf";"Multi displine";
"El Kéf";132;"El dahmeni";"Multi displine";
"El Kéf";136;"salle de sport individuelle à Jrissa";"sport individuelle";2017
Siliana;139;Siliana;"Salle des jeux individuels";2009
Siliana;140;"Makther el Skarnia";"Salle des sports défensifs";2009
Sousse;143;"Sousse el aouina";"Multi displine";1989
Sousse;147;"Hammem sousse";"Salle de boxe";2010
"Sous Total (Sousse)";;9;;
Monastir;155;"El wardenine";"Salle de boxe";1980
Monastir;160;Bouhjar;"Salle de wrestling";1988
"Sous Total (Monastir)";;12;;
Mahdia;168;Hiboun;"Jeux individuels";2004
"Sous Total (Mahdia)";;8;;
Sfax;175;"Sokra Sfax";"Salle de Gido et boxe et musculation";2002
Sfax;176;"Sakiet ezzit";"salle d'entrainnement de hand ball";2003
Sfax;180;"salle de club sfaxien";"Basket ball et volley ball";2006
Sfax;184;"El bahri 1, 2,3 Sfax";"Sports défensifs";2013
Sfax;186;"Salle des jeux individuels à biir ali ben Khlifa";"Sports individuels";2017
Kairouan;189;"salla Hamda el aouani";"Salle d'entrainement des sports individuels";2003
Kairouan;193;"kairaoun el ajenna";"Salle des sports défensifs";2009
Kasserine;197;Kasserine;"Multi displine";1995
Kasserine;201;"Cité el Karma à Kasserine";"sport individuel";2017
"Sidi Bouzid";205;"Salle des tigres à Sidi bouzid";"Jeux individuels";2017
Gabès;208;Gabès;"Multi displine";1992
Gabès;213;"Salle de sport individuelle";"jeux individuels";2016
Mednine;216;Mednine;"Multi displine";1991
Mednine;220;"Ben Guerdane";"Sports défensifs";2009
Mednine;221;"Sidi Makhlouf";"Sports défensifs";2012
Tataouine;224;"Cité el morjen Tataouine";"Multi displine";1992
"Sous Total (Tataouine)";;4;;
Tozeur;231;Tozeur;"salle des jeux individuels";2016
Kbèli;234;Kbéli;"Salle de boxe";1995
"Source: La direction de planification et d'évaluation (Janvier 2019)";;;;
Tunis;1;"Palais des sports à Manzah";"Multi displine";1968
