annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;14; Gafsa ;Sciences de la vie et de la Terre;
2021/2022;15; Tozeur ;Sciences de la vie et de la Terre;
2021/2022;16; Kébili ;Sciences de la vie et de la Terre;1
2021/2022;17; Tataouine ;Sciences de la vie et de la Terre;
2021/2022;18; Médenine ;Sciences de la vie et de la Terre;
2021/2022;19; Gabès ;Sciences de la vie et de la Terre;
2021/2022;20;Sfax 1;Sciences de la vie et de la Terre;1
2021/2022;21;Sfax 2;Sciences de la vie et de la Terre;
2021/2022;22; Mahdia ;Sciences de la vie et de la Terre;3
2021/2022;23; Kairouan ;Sciences de la vie et de la Terre;1
2021/2022;24; Monastir ;Sciences de la vie et de la Terre;
2021/2022;25; Sousse ;Sciences de la vie et de la Terre;
2021/2022;26; Nabeul ;Sciences de la vie et de la Terre;1
2021/2022;1;Tunis 1;Sciences physiques;4
2021/2022;2;Tunis 2;Sciences physiques;1
2021/2022;3; Ariana ;Sciences physiques;2
2021/2022;4; Mannouba ;Sciences physiques;
2021/2022;5; Ben Arous ;Sciences physiques;4
2021/2022;6; Zaghouan ;Sciences physiques;1
2021/2022;7; Bizerte ;Sciences physiques;4
2021/2022;8; Béja ;Sciences physiques;4
2021/2022;9; Jendouba ;Sciences physiques;2
2021/2022;10; Siliana ;Sciences physiques;
2021/2022;11; Le Kef ;Sciences physiques;1
2021/2022;12; Kasserine ;Sciences physiques;1
2021/2022;13; Sidi Bouzid ;Sciences physiques;2
2021/2022;14; Gafsa ;Sciences physiques;2
2021/2022;15; Tozeur ;Sciences physiques;
2021/2022;16; Kébili ;Sciences physiques;2
2021/2022;17; Tataouine ;Sciences physiques;1
2021/2022;18; Médenine ;Sciences physiques;2
2021/2022;19; Gabès ;Sciences physiques;5
2021/2022;20;Sfax 1;Sciences physiques;4
2021/2022;21;Sfax 2;Sciences physiques;1
2021/2022;22; Mahdia ;Sciences physiques;6
2021/2022;23; Kairouan ;Sciences physiques;4
2021/2022;24; Monastir ;Sciences physiques;5
2021/2022;25; Sousse ;Sciences physiques;7
2021/2022;26; Nabeul ;Sciences physiques;5
2021/2022;1;Tunis 1;Informatique;3
2021/2022;2;Tunis 2;Informatique;
2021/2022;3; Ariana ;Informatique;3
2021/2022;4; Mannouba ;Informatique;2
2021/2022;5; Ben Arous ;Informatique;4
2021/2022;6; Zaghouan ;Informatique;1
2021/2022;7; Bizerte ;Informatique;5
2021/2022;8; Béja ;Informatique;1
2021/2022;9; Jendouba ;Informatique;
2021/2022;10; Siliana ;Informatique;
2021/2022;11; Le Kef ;Informatique;1
2021/2022;12; Kasserine ;Informatique;1
2021/2022;13; Sidi Bouzid ;Informatique;4
2021/2022;14; Gafsa ;Informatique;2
2021/2022;15; Tozeur ;Informatique;
2021/2022;16; Kébili ;Informatique;4
2021/2022;17; Tataouine ;Informatique;2
2021/2022;18; Médenine ;Informatique;6
2021/2022;19; Gabès ;Informatique;6
2021/2022;20;Sfax 1;Informatique;8
2021/2022;21;Sfax 2;Informatique;1
2021/2022;22; Mahdia ;Informatique;8
2021/2022;23; Kairouan ;Informatique;6
2021/2022;24; Monastir ;Informatique;7
2021/2022;25; Sousse ;Informatique;7
2021/2022;26; Nabeul ;Informatique;7
2021/2022;1;Tunis 1;Initiation technique;2
2021/2022;2;Tunis 2;Initiation technique;1
2021/2022;3; Ariana ;Initiation technique;3
