stop-id;stop-name;stop-lat;stop-lon
281;Vieux Sers;36,02769852;9,078530312
282;Zaafrana;35,54050064;10,04780006
283;Siliana;36,08660126;9,370459557
284;BAB ALIOUA;36,78889847;10,18299961
285;BAB SAADOUN;36,80929947;10,16139984
286;EL MGHIRA;36,70600128;10,17459965
287;HOUMT SOUK;33,87200165;10,85900021
288;bourjine;35,66749954;10,58040047
289;barreket Sahel aut ;36,56949997;10,51309967
290;GRTS arrivée;36,78770065;10,17990017
291;GRTS départ;36,78779984;10,17959976
300;B. ELAMRI;36,711845;9,894623
301;E.S.MAKLOUF;33,501266;10,478654
302;EL MDOU;33,806515;10,067448
303;EMB.HAFFOUZ;35,6325151;9,757951
304;EMB.JELMA;35,269229;9,428721
305;EMB.SAKIET;36,222629;8,357109
306;EMB.SBEITLA;35,229869;9,126243
307;EMB.SEMENJA;36,452821;10,023308
308;FATNASSA;33,808881;8,734945
309;H.BOURGUIBA;36,767553;8,587102
310;M. MHIRI;35,42473;9,851457
311;M.BOURGUIBA;37,146901;9,77964
312;REG.MAATOUG;33,387787;8,032792
313;ROUHIA;35,704805;9,137535
314;THIBAR;36,546285;9,098411
