gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Tataouine,53,ورشة في الابداعات الحرفية (منتدى تاريخ ذهيبة ),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,بالشراكة مع مؤسسات عمومية غير تابعة للوزارة,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,ورشة في الرسم حول تنوع التراث دار الثقافة ذهيبة ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,ورشة في جماليات الخط العربي في الفضاء المفتوح دار الثقافة ذهيبة (منتدى تاريخ ذهيبة ),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,30000,0,0,0,0
Tataouine,53,معرض الصناعات التقليدية دار الثقافة ذهيبة (منتدى تاريخ ذهيبة ),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,600,0,0,0,0
Tataouine,53,معرض الاكلة الشعبية واختتام التظاهرة  دار الثقافة ذهيبة (منتدى تاريخ ذهيبة ),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,200,0,0,0,0
Tataouine,53,"تنشيط المدينة     22,30 سهرة فنية :""للقدود الحلبية"" مهرجان المدينة  المركب القافي تطاوين ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,2,6500,0,0,0,0,0,0,0,0,0,0
Tataouine,53,"     22,30: سهرة فنية :للفنانة ""حنان عبيده"" هرجان المدينة  المركب القافي تطاوين ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,"          22,30: مسرحية 'بين قوسين' ""لسفيان الداهش"" هرجان المدينة  المركب القافي تطاوين ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,3500,0,0,0,0,0,0,0,0,0,0
Tataouine,53,"    22,30: مجموعة سلامية ""لمعتصم الامير"" هرجان المدينة  المركب القافي تطاوين ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,2500,0,0,0,0,0,0,0,0,0,0
Tataouine,53,"      22,30: مجموعةالامل لفنان ""عمارةالعطوي هرجان المدينة  المركب القافي تطاوين """,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,2000,0,0,0,0,0,0,0,0,0,0
