Nom du groupe  artiste,Entrepreneur,Cout revise du spectacle,Subvention de transport,Cout de spectacle,Distribution
عبد المنعم عمار ,,3 500,400,3 900,Gafsa
إبراهيم بهلول (تونس النبض),,6 000,700,6 700,Gafsa
عبداللطيف العايدي,,3 500,300,3 800,Gafsa
منير المهدي وسمية الحثروبي,شركة نجوم بن عمار,5 500,700,6 200,Gafsa
زياد غرسة,نصر القرواشي,11 000,700,11 700,Gafsa
مجموعة الألفة النسائية,ألفة بواب,3 800,700,4 500,Gafsa
شيراز الجزيري,,3 500,250,3 750,Gafsa
"صبري عوني ""حجر الواد""",,6 000,1 200,7 200,Médenine
نافع العلاني,,7 000,500,7 500,Médenine
أشرف حمودة,,1 400,250,1 650,Médenine
الشاذلي الحاجي+ فائزة المحرصي,شركة نجوم بن عمار,5 500,500,6 000,Médenine
أنيس لطيف و أميرة عامر,ألفة بواب,5 500,800,6 300,Médenine
مجموعة أولاد الديوان فرحات بن حميدة,,3 500,160,3 660,Médenine
"صبري عوني ""حجر الواد""",,6 000,1 200,7 200,Médenine
نافع العلاني,,7 000,500,7 500,Médenine
أشرف حمودة,,1 400,250,1 650,Médenine
الشاذلي الحاجي+ فائزة المحرصي,شركة نجوم بن عمار,5 500,500,6 000,Médenine
أنيس لطيف و أميرة عامر,ألفة بواب,5 500,800,6 300,Médenine
مجموعة أولاد الديوان فرحات بن حميدة,,3 500,160,3 660,Médenine
عادل سلطان,,3 000,,3 000,Nabeul
"نوفل بن عيسى ""فوندو""",,4 300,120,4 420,Nabeul
"عرض ""روح"" اافنان رامي العرابي",,2 500,120,2 620,Nabeul
صابرين النفزي,,2 700,120,2 820,Nabeul
أميرة السميري,,5 000,400,5 400,Nabeul
زهرة لجنف,,4 500,300,4 800,Nabeul
"مروان الشابي ""  LARTISTO""",,3 000,300,3 300,Manubah
صفوة,,6 000,250,6 250,Manubah
محمد وسيم سليم,,2 500,,2 500,Manubah
"مجموعة فرجة للتراث الموسيقي ""جو المحفل""",,3 500,550,4 050,Manubah
فرقة ليالي الأنس إيمان البوراوي,,2 800,,2 800,Manubah
نورالدين بن عائشة,,3 500,,3 500,Manubah
