Nom_Agence,Gouvernorat,Adresse,Code_Postal,Fax,Tel,latitude,longitude
Agence Menzel Jemil,Bizerte,93 rdc immeuble el Hana avenue 14 janvier 7080,7080,72 49 18 48,31 37 22 04 - 70 24 22 04,37.239430555556,9.9131194444444
Agence Menzel Bouzelfa,Nabeul,"2,4,6 rue Taieb Mhiri . 8010",8010,72 29 29 38,31 37 20 04 - 70 24 20 04,36.681625,10.585047222222
Agence Menzel Bourguiba,Bizerte,"Rdc immeuble n9, av de l'independance. 7050",7050,72 47 07 04,31 37 22 08 - 70 24 22 08,37.154,9.797075
Agence Megrine,Ben Arous,51 Avenue Habib Bourguiba . 2033,2033,71 29 64 13,31 37 20 52 - 70 24 20 52,36.770136111111,10.232583333333
Agence Medjez El Bab,Béja,"Avenue Habib Bourguiba, Medjez el bab 9070",9070,78 56 10 11,31 37 22 98 - 70 24 22 98,36.649833055556,9.6100458333333
Agence Medenine,Médenine,"Avenue 2 mai 1966, Medenine 4100",1966,75 64 87 61,31 37 22 78 - 70 24 22 78,33.332780555556,10.512783333333
Agence Mateur,Bizerte,Avenue Habib Bourguiba . 7030,7030,72 48 52 22,31 37 20 55 - 70 24 20 55,37.039022222222,9.6664416666667
Agence Marsa Saf Saf,Tunis,1 Rue Abdelhafidh El Makki -la Marsa,,71 77 67 57,31 37 22 09 - 70 24 22 09,36.884402777778,10.32855
Agence La Marsa,Tunis,16 avenue Moncef Bey . 2078,2078,71 77 40 84,31 37 21 16 - 70 24 21 16,36.879638888889,10.327161111111
Agence Marina Hammamet,Nabeul,"Marina Hammamet sud, Yasmine Hammamet 8050",8050,72 24 18 77,31 37 21 19 - 70 24 21 19,36.373511111111,10.542527777778
Agence Manouba,La Manouba,"53 avenue Habib Bourguiba, Kobbet Ennahas. 2010",2010,70 61 50 10,31 37 20 72 - 70 24 20 72,36.8095,10.093277777778
Agence Manaret el Hammamet,Nabeul,Av Mohamed V centre Eden Manaret Essahel. 8056,8056,72 24 93 44,31 37 21 09 - 70 24 21 09,36.405847222222,10.566305555556
Agence Mahres,Sfax,7 avenue Habib Bourguiba . 3060,3060,74 29 09 59 - 70 24 20 47,31 37 20 47,34.521330555556,10.495936111111
