NameAr,Delegations.Name,Delegations.NameAr,Delegations.Value,Delegations.PostalCode,Delegations.Latitude,Delegations.Longitude,DelegationID
باجة,MEJEZ EL BAB (Chaouech),مجاز الباب (شواش),MEJEZ EL BAB,9072,36.7167,9.6333,MEJEZ EL BAB (Chaouech)_9072
باجة,BEJA SUD (Sidi Frej),باجة الجنوبية (سيدي فرج),BEJA SUD,9029,36.7256,9.1817,BEJA SUD (Sidi Frej)_9029
باجة,MEJEZ EL BAB (El Herri),مجاز الباب (الهري),MEJEZ EL BAB,9075,36.6492,9.6108,MEJEZ EL BAB (El Herri)_9075
باجة,AMDOUN (Adailia),عمدون (العدايه),AMDOUN,9030,36.813,9.082,AMDOUN (Adailia)_9030
باجة,GOUBELLAT (Bir El Euch),قبلاط (بئر العش),GOUBELLAT,9080,36.5786,9.5161,GOUBELLAT (Bir El Euch)_9080
باجة,THIBAR (Ain Eddefali),تيبار (عين الدفالي),THIBAR,9042,36.636,9.034,THIBAR (Ain Eddefali)_9042
باجة,MEJEZ EL BAB (Sidi Nasser),مجاز الباب (سيدي نصر),MEJEZ EL BAB,9044,36.6492,9.6108,MEJEZ EL BAB (Sidi Nasser)_9044
باجة,TEBOURSOUK (Fadden Essouk),طبرسق (فدان السوق),TEBOURSOUK,9046,36.4575,9.2478,TEBOURSOUK (Fadden Essouk)_9046
باجة,NEFZA (Tababa),نفزة (طبابة),NEFZA,9011,37.0658,8.9883,NEFZA (Tababa)_9011
باجة,BEJA SUD (Hammam Sayala),باجة الجنوبية (حمام سيالة),BEJA SUD,9052,36.6333,9.3333,BEJA SUD (Hammam Sayala)_9052
باجة,NEFZA (Ain Zakkar),نفزة (عين زكار),NEFZA,9012,37.0658,8.9883,NEFZA (Ain Zakkar)_9012
باجة,MEJEZ EL BAB (Cite De La Poste),مجاز الباب (حي البريد),MEJEZ EL BAB,9013,36.6492,9.6108,MEJEZ EL BAB (Cite De La Poste)_9013
باجة,GOUBELLAT (Grame),قبلاط (قرام),GOUBELLAT,9083,36.5786,9.5161,GOUBELLAT (Grame)_9083
باجة,AMDOUN (El Ayayda),عمدون (العيايدة),AMDOUN,9084,36.813,9.082,AMDOUN (El Ayayda)_9084
باجة,BEJA NORD (El Mzara),باجة الشمالية (المزارة),BEJA NORD,9031,36.7256,9.1817,BEJA NORD (El Mzara)_9031
بن عروس,FOUCHANA (Chebedda),فوشانة (شبادة),FOUCHANA,1135,36.7098,10.1693,FOUCHANA (Chebedda)_1135
بن عروس,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,2050,36.728,10.336,HAMMAM LIF (Cite Des Ouvriers)_2050
بن عروس,FOUCHANA (Cite Ennasr),فوشانة (حي النصر),FOUCHANA,2082,36.7215,10.165,FOUCHANA (Cite Ennasr)_2082
بن عروس,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,2074,36.7405,10.2042,EL MOUROUJ (Cite El Bochra)_2074
بن عروس,BOU MHEL EL BASSATINE (Residence Sarra),بومهل البساتين (إقامة سارة),BOU MHEL EL BASSATINE,2097,36.7463,10.2741,BOU MHEL EL BASSATINE (Residence Sarra)_2097
بن عروس,EL MOUROUJ (Bir El Kassaa),المروج (بئر القصعة),EL MOUROUJ,2059,36.7589,10.2106,EL MOUROUJ (Bir El Kassaa)_2059
بن عروس,RADES (Cite El Ezz),رادس (حي العز),RADES,2098,36.7782,10.2815,RADES (Cite El Ezz)_2098
بن عروس,MOHAMADIA (Cite Bou Akroucha),المحمدية (حي بوعكروشة),MOHAMADIA,1145,36.6883,10.1345,MOHAMADIA (Cite Bou Akroucha)_1145
بن عروس,RADES (Cite Snit),رادس (حي السنيت),RADES,2018,36.7995,10.2875,RADES (Cite Snit)_2018
بن عروس,HAMMAM LIF (Cite Boussouffara),حمام الأنف (حي بوصفارة),HAMMAM LIF,2099,36.735,10.345,HAMMAM LIF (Cite Boussouffara)_2099
بن عروس,HAMMAM LIF (Bou Kornine),حمام الأنف (بوقرنين),HAMMAM LIF,2093,36.7417,10.3469,HAMMAM LIF (Bou Kornine)_2093
بن عروس,MEGRINE (Megrine),مقرين (مقرين),MEGRINE,2033,36.7836,10.232,MEGRINE (Megrine)_2033
بن عروس,NOUVELLE MEDINA (Nouvelle Medina),المدينة الجديدة (المدينة الجديدة),NOUVELLE MEDINA,2063,36.75,10.23,NOUVELLE MEDINA (Nouvelle Medina)_2063
بن عروس,HAMMAM CHATT (Hammam Chatt),حمام الشط (حمام الشط),HAMMAM CHATT,1164,36.7036,10.3625,HAMMAM CHATT (Hammam Chatt)_1164
بن عروس,MORNAG (Cite Air Nouvelle),مرناق (حي الهواء الجديد),MORNAG,2064,36.6715,10.258,MORNAG (Cite Air Nouvelle)_2064
بن عروس,EZZAHRA (Cite 18 Janvier),الزهراء (حي 18 جانفي),EZZAHRA,2034,36.743,10.308,EZZAHRA (Cite 18 Janvier)_2034
بن عروس,RADES (Cite 20 Mars),رادس (حي 20 مارس),RADES,1125,36.7963,10.2975,RADES (Cite 20 Mars)_1125
بن عروس,HAMMAM CHATT (Borj Cedria),حمام الشط (برج السدرية),HAMMAM CHATT,2084,36.7167,10.4167,HAMMAM CHATT (Borj Cedria)_2084
بن عروس,RADES (Chouchet Rades),رادس (شوشة رادس),RADES,2040,36.805,10.295,RADES (Chouchet Rades)_2040
بن عروس,NOUVELLE MEDINA (El Yasminette),المدينة الجديدة (الياسمينات),NOUVELLE MEDINA,2096,36.7512,10.2355,NOUVELLE MEDINA (El Yasminette)_2096
بن عروس,EZZAHRA (Cite Ben Miled),الزهراء (حي بن ميلاد),EZZAHRA,2065,36.74,10.305,EZZAHRA (Cite Ben Miled)_2065
بن عروس,MORNAG (Ain Regad),مرناق (عين رقاد),MORNAG,2054,36.615,10.2,MORNAG (Ain Regad)_2054
بن عروس,MORNAG (Ahmed Zaied),مرناق (أحمد زايد),MORNAG,2090,36.6783,10.275,MORNAG (Ahmed Zaied)_2090
بن عروس,HAMMAM CHATT (Bir El Bey),حمام الشط (بئر الباي),HAMMAM CHATT,2055,36.7083,10.375,HAMMAM CHATT (Bir El Bey)_2055
بن عروس,BEN AROUS (Ben Arous Sud),بن عروس (بن عروس الجنوبية),BEN AROUS,2043,36.745,10.225,BEN AROUS (Ben Arous Sud)_2043
بن عروس,MORNAG (Errissala),مرناق (الرسالة),MORNAG,2044,36.6458,10.235,MORNAG (Errissala)_2044
بن عروس,MEGRINE (Megrine Chaker),مقرين (مقرين شاكر),MEGRINE,2024,36.7853,10.2444,MEGRINE (Megrine Chaker)_2024
بن عروس,MEGRINE (Cite Founiz),مقرين (حي فونيز),MEGRINE,2014,36.789,10.252,MEGRINE (Cite Founiz)_2014
بن عروس,BEN AROUS (Ben Arous),بن عروس (بن عروس),BEN AROUS,2013,36.7539,10.2276,BEN AROUS (Ben Arous)_2013
بنزرت,MENZEL JEMIL (Cite El Makarem),منزل جميل (حي المكارم),MENZEL JEMIL,7035,37.237,9.91,MENZEL JEMIL (Cite El Makarem)_7035
بنزرت,BIZERTE SUD (Bizerte Hached),بنزرت الجنوبية (بنزرت حشاد),BIZERTE SUD,7071,37.2652,9.8681,BIZERTE SUD (Bizerte Hached)_7071
بنزرت,SEJNANE (Essmayria),سجنان (السمايرية),SEJNANE,7010,37.0803,9.2015,SEJNANE (Essmayria)_7010
بنزرت,GHAR EL MELH (Zouaouine),غار الملح (الزواوين),GHAR EL MELH,7024,37.1458,10.1752,GHAR EL MELH (Zouaouine)_7024
بنزرت,MENZEL BOURGUIBA (Menzel Bourguiba Ennajah),منزل بورقيبة (منزل بورقيبة النجاح),MENZEL BOURGUIBA,7072,37.1533,9.7811,MENZEL BOURGUIBA (Menzel Bourguiba Ennajah)_7072
بنزرت,RAS JEBEL (Sounine),رأس الجبل (صونين),RAS JEBEL,7025,37.2411,10.164,RAS JEBEL (Sounine)_7025
بنزرت,RAS JEBEL (Beni Atta),رأس الجبل (بني عطا),RAS JEBEL,7075,37.1925,10.0978,RAS JEBEL (Beni Atta)_7075
بنزرت,MENZEL JEMIL (Cite 7 Novembre),منزل جميل (حي 7 نوفمبر),MENZEL JEMIL,7026,37.261,9.9085,MENZEL JEMIL (Cite 7 Novembre)_7026
بنزرت,MENZEL JEMIL (Cite Bir Remel),منزل جميل (حي بئر الرمل),MENZEL JEMIL,7080,37.2305,9.9108,MENZEL JEMIL (Cite Bir Remel)_7080
بنزرت,BIZERTE SUD (Cite El Mourouj),بنزرت الجنوبية (حي المروج),BIZERTE SUD,7011,37.2553,9.8602,BIZERTE SUD (Cite El Mourouj)_7011
بنزرت,BIZERTE SUD (Teskraya),بنزرت الجنوبية (تسكراية),BIZERTE SUD,7036,37.2019,9.8265,BIZERTE SUD (Teskraya)_7036
بنزرت,GHEZALA (Ain Rekoub),غزالة (عين ركوب),GHEZALA,7040,37.0152,9.4203,GHEZALA (Ain Rekoub)_7040
بنزرت,JOUMINE (Bazina),جومين (بازينة),JOUMINE,7012,36.9088,9.3831,JOUMINE (Bazina)_7012
بنزرت,UTIQUE (Ain Ghelal),أوتيك (عين غلال),UTIQUE,7013,37.0857,10.0259,UTIQUE (Ain Ghelal)_7013
بنزرت,BIZERTE SUD (Methline),بنزرت الجنوبية (الماتلين),BIZERTE SUD,7027,37.2551,10.0522,BIZERTE SUD (Methline)_7027
بنزرت,BIZERTE NORD (Ennadhour),بنزرت الشمالية (الناظور),BIZERTE NORD,7029,37.2803,9.8205,BIZERTE NORD (Ennadhour)_7029
بنزرت,EL ALIA (Ezzitoune),العالية (الزيتون),EL ALIA,7081,37.165,10.03,EL ALIA (Ezzitoune)_7081
بنزرت,GHAR EL MELH (Cite 7 Novembre),غار الملح (حي 7 نوفمبر),GHAR EL MELH,7014,37.1489,10.1552,GHAR EL MELH (Cite 7 Novembre)_7014
بنزرت,EL ALIA (Sidi Ali Chebab),العالية (سيدي علي الشباب),EL ALIA,7093,37.1802,10.0451,EL ALIA (Sidi Ali Chebab)_7093
بنزرت,BIZERTE SUD (Borj Challouf),بنزرت الجنوبية (برج شلوف),BIZERTE SUD,7094,37.2798,9.8765,BIZERTE SUD (Borj Challouf)_7094
بنزرت,MATEUR (Cite De La Fraternite),ماطر (حي الإخاء),MATEUR,7030,37.038,9.665,MATEUR (Cite De La Fraternite)_7030
بنزرت,SEJNANE (El Guetma),سجنان (القطمة),SEJNANE,7097,37.1023,9.1588,SEJNANE (El Guetma)_7097
بنزرت,RAS JEBEL (El Garia Ras Jebal),رأس الجبل (القرية رأس الجبل),RAS JEBEL,7098,37.2083,10.1194,RAS JEBEL (El Garia Ras Jebal)_7098
بنزرت,BIZERTE SUD (Louata),بنزرت الجنوبية (اللواتة),BIZERTE SUD,7041,37.2588,9.8153,BIZERTE SUD (Louata)_7041
بنزرت,RAS JEBEL (Cite El Amel),رأس الجبل (حي الأمل),RAS JEBEL,7015,37.2201,10.1358,RAS JEBEL (Cite El Amel)_7015
بنزرت,MENZEL BOURGUIBA (Jouaouda),منزل بورقيبة (جواودة),MENZEL BOURGUIBA,7042,37.1357,9.7754,MENZEL BOURGUIBA (Jouaouda)_7042
بنزرت,UTIQUE (Bach Hamba),أوتيك (باش حامبة),UTIQUE,7043,37.0653,10.0012,UTIQUE (Bach Hamba)_7043
بنزرت,RAS JEBEL (Rafraf Plage),رأس الجبل (رفراف الشاطئ),RAS JEBEL,7045,37.2333,10.15,RAS JEBEL (Rafraf Plage)_7045
بنزرت,EL ALIA (Cite Independance),العالية (حي الاستقلال),EL ALIA,7016,37.1715,10.0382,EL ALIA (Cite Independance)_7016
بنزرت,MATEUR (Henchir El Berna),ماطر (هنشير البرنة),MATEUR,7050,37.0255,9.6503,MATEUR (Henchir El Berna)_7050
بنزرت,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,7000,37.2744,9.8739,BIZERTE NORD (Bizerte)_7000
بنزرت,BIZERTE NORD (Cite Bougatfa),بنزرت الشمالية (حي بوقطفة),BIZERTE NORD,7001,37.2705,9.8653,BIZERTE NORD (Cite Bougatfa)_7001
بنزرت,JOUMINE (Joumine),جومين (جومين),JOUMINE,7020,36.9167,9.4,JOUMINE (Joumine)_7020
بنزرت,JARZOUNA (Cite Ben Arous),جرزونة (حي بن عروس),JARZOUNA,7021,37.26,9.861,JARZOUNA (Cite Ben Arous)_7021
بنزرت,BIZERTE NORD (Bizerte Bougatfa),بنزرت الشمالية (بنزرت بوقطفة),BIZERTE NORD,7053,37.27,9.865,BIZERTE NORD (Bizerte Bougatfa)_7053
بنزرت,BIZERTE NORD (Cite Militaire),بنزرت الشمالية (الحي العسكري),BIZERTE NORD,7002,37.281,9.8732,BIZERTE NORD (Cite Militaire)_7002
بنزرت,BIZERTE NORD (Cite Chourouk Sidi Salem),بنزرت الشمالية (حي شروق سيدي سالم),BIZERTE NORD,7003,37.2658,9.8795,BIZERTE NORD (Cite Chourouk Sidi Salem)_7003
بنزرت,SEJNANE (Tamra),سجنان (تمرة),SEJNANE,7031,37.125,9.0333,SEJNANE (Tamra)_7031
بنزرت,TINJA (Ain Faroua),تينجة (عين فروة),TINJA,7032,37.1589,9.7532,TINJA (Ain Faroua)_7032
بنزرت,UTIQUE (Cite Bourguiba),أوتيك (حي بورقيبة),UTIQUE,7060,37.0537,10.0589,UTIQUE (Cite Bourguiba)_7060
بنزرت,MATEUR (Borj El Adouani),ماطر (برج العدواني),MATEUR,7022,37.0453,9.6701,MATEUR (Borj El Adouani)_7022
بنزرت,BIZERTE NORD (Bizerte Bab Mateur),بنزرت الشمالية (بنزرت باب ماطر),BIZERTE NORD,7061,37.2708,9.8697,BIZERTE NORD (Bizerte Bab Mateur)_7061
بنزرت,UTIQUE (Utique Nouvelle),أوتيك (أوتيك الجديدة),UTIQUE,7063,37.0552,10.0571,UTIQUE (Utique Nouvelle)_7063
بنزرت,GHAR EL MELH (Bajou),غار الملح (باجو),GHAR EL MELH,7033,37.1633,10.1901,GHAR EL MELH (Bajou)_7033
بنزرت,BIZERTE SUD (Bou Zaria),بنزرت الجنوبية (بو زارية),BIZERTE SUD,7064,37.2501,9.8453,BIZERTE SUD (Bou Zaria)_7064
بنزرت,RAS JEBEL (Cite Ain Charchara),رأس الجبل (حي عين شرشارة),RAS JEBEL,7070,37.213,10.124,RAS JEBEL (Cite Ain Charchara)_7070
بنزرت,UTIQUE (Degma),أوتيك (الدكمة),UTIQUE,7023,37.0425,10.0188,UTIQUE (Degma)_7023
بنزرت,RAS JEBEL (Cap Zbib),رأس الجبل (رأس زبيب),RAS JEBEL,7034,37.276,10.043,RAS JEBEL (Cap Zbib)_7034
قابس,GABES SUD (Cite El Misk),قابس الجنوبية (حي المسك),GABES SUD,6012,33.865,10.095,GABES SUD (Cite El Misk)_6012
قابس,MATMATA (Techine),مطماطة (تشان),MATMATA,6034,33.611,9.893,MATMATA (Techine)_6034
قابس,MARETH (Cite Garde Nationale),مارث (حي الحرس الوطني),MARETH,6080,33.6331,10.2972,MARETH (Cite Garde Nationale)_6080
قابس,MARETH (Ain Tounine),مارث (عين تونين),MARETH,6035,33.5,10.212,MARETH (Ain Tounine)_6035
قابس,MARETH (Cite Populaire),مارث (الحي الشعبي),MARETH,6036,33.733,10.183,MARETH (Cite Populaire)_6036
قابس,EL HAMMA (Sombat),الحامة (الصمباط),EL HAMMA,6013,33.89,9.76,EL HAMMA (Sombat)_6013
قابس,NOUVELLE MATMATA (Cite Ouled Slama),مطماطة الجديدة (حي أولاد سلامة),NOUVELLE MATMATA,6044,33.542,10,NOUVELLE MATMATA (Cite Ouled Slama)_6044
قابس,GABES SUD (Cite Azaiez),قابس الجنوبية (حي العزايز),GABES SUD,6014,33.8305,10.0702,GABES SUD (Cite Azaiez)_6014
قابس,MARETH (Toujane),مارث (توجان),MARETH,6045,33.478,10.033,MARETH (Toujane)_6045
قابس,GABES MEDINA (Gabes Republique),قابس المدينة (قابس الجمهورية),GABES MEDINA,6040,33.881,10.099,GABES MEDINA (Gabes Republique)_6040
قابس,MARETH (Sidi Touati),مارث (سيدي التواتي),MARETH,6046,33.58,10.15,MARETH (Sidi Touati)_6046
قابس,GABES OUEST (Barguia),قابس الغربية (برقية),GABES OUEST,6041,33.895,10.02,GABES OUEST (Barguia)_6041
قابس,GABES OUEST (Nahal),قابس الغربية (النحال),GABES OUEST,6051,33.89,10.04,GABES OUEST (Nahal)_6051
قابس,EL METOUIA (Cite Ennacim),المطوية (حي النسيم),EL METOUIA,6052,33.965,10,EL METOUIA (Cite Ennacim)_6052
قابس,EL METOUIA (El Akarit),المطوية (العكاريت),EL METOUIA,6042,33.95,10.03,EL METOUIA (El Akarit)_6042
قابس,MARETH (Betahra),مارث (بالطاهرة),MARETH,6081,33.645,10.33,MARETH (Betahra)_6081
قابس,EL METOUIA (Metouia El Maya),المطوية (المطوية الماية),EL METOUIA,6089,33.965,10,EL METOUIA (Metouia El Maya)_6089
قابس,NOUVELLE MATMATA (Laffam),مطماطة الجديدة (لفام),NOUVELLE MATMATA,6043,33.5,9.93,NOUVELLE MATMATA (Laffam)_6043
قابس,EL HAMMA (Bechima),الحامة (بشيمة),EL HAMMA,6092,33.855,9.82,EL HAMMA (Bechima)_6092
قابس,EL HAMMA (Chenchou),الحامة (شنشو),EL HAMMA,6095,33.79,9.69,EL HAMMA (Chenchou)_6095
قابس,GABES MEDINA (Gabes El Hidaya),قابس المدينة (قابس الهداية),GABES MEDINA,6099,33.88,10.1,GABES MEDINA (Gabes El Hidaya)_6099
قابس,MATMATA (Tamezrat),مطماطة (تامزرط),MATMATA,6054,33.545,9.87,MATMATA (Tamezrat)_6054
قابس,MARETH (Dekhilet Toujane),مارث (دخيلة توجان),MARETH,6055,33.45,10.065,MARETH (Dekhilet Toujane)_6055
قابس,MARETH (Ayoune Ezzerkine),مارث (عيون الزركين),MARETH,6015,33.56,10.24,MARETH (Ayoune Ezzerkine)_6015
قابس,MARETH (Ezzerkine),مارث (الزركين),MARETH,6056,33.56,10.24,MARETH (Ezzerkine)_6056
قابس,MARETH (Arram),مارث (عرّام),MARETH,6016,33.595,10.28,MARETH (Arram)_6016
قابس,EL HAMMA (El Hamma Sud),الحامة (الحامة الجنوبية),EL HAMMA,6060,33.885,9.79,EL HAMMA (El Hamma Sud)_6060
قابس,EL HAMMA (El Hamma),الحامة (الحامة),EL HAMMA,6020,33.888,9.795,EL HAMMA (El Hamma)_6020
قابس,GABES MEDINA (Chatt Essalem),قابس المدينة (شط السلام),GABES MEDINA,6061,33.91,10.115,GABES MEDINA (Chatt Essalem)_6061
قابس,GHANNOUCHE (Cite El Izdihar),غنوش (حي الازدهار),GHANNOUCHE,6021,33.935,10.07,GHANNOUCHE (Cite El Izdihar)_6021
قابس,EL HAMMA (Beni Ghilouf),الحامة (بني غيلوف),EL HAMMA,6062,33.82,9.83,EL HAMMA (Beni Ghilouf)_6062
قابس,GABES SUD (El Mdou),قابس الجنوبية (المدو),GABES SUD,6022,33.845,10.08,GABES SUD (El Mdou)_6022
قابس,MATMATA (Bou Dhafer),مطماطة (بو ظافر),MATMATA,6070,33.543,9.975,MATMATA (Bou Dhafer)_6070
قابس,MARETH (El Alaya),مارث (العلاية),MARETH,6023,33.63,10.22,MARETH (El Alaya)_6023
قابس,NOUVELLE MATMATA (Ancienne Zraoua),مطماطة الجديدة (زراوة القديمة),NOUVELLE MATMATA,6024,33.51,9.97,NOUVELLE MATMATA (Ancienne Zraoua)_6024
قابس,GABES MEDINA (Cite Ben Kilani),قابس المدينة (حي بن كيلاني),GABES MEDINA,6000,33.8815,10.0982,GABES MEDINA (Cite Ben Kilani)_6000
قابس,NOUVELLE MATMATA (Beni Zelten),مطماطة الجديدة (بني زلطن),NOUVELLE MATMATA,6025,33.485,9.925,NOUVELLE MATMATA (Beni Zelten)_6025
قابس,MARETH (Zarat),مارث (زاراط),MARETH,6026,33.605,10.36,MARETH (Zarat)_6026
قابس,EL HAMMA (Bou Attouche),الحامة (بو عطوش),EL HAMMA,6027,33.805,9.745,EL HAMMA (Bou Attouche)_6027
قابس,MENZEL HABIB (El Fejij),منزل الحبيب (الفجيج),MENZEL HABIB,6030,34.02,9.63,MENZEL HABIB (El Fejij)_6030
قابس,GABES MEDINA (Gabes Port),قابس المدينة (قابس الميناء),GABES MEDINA,6071,33.89,10.12,GABES MEDINA (Gabes Port)_6071
قابس,GABES SUD (Cite Afh),قابس الجنوبية (حي الوكالة العقارية للسكنى),GABES SUD,6072,33.8,10.05,GABES SUD (Cite Afh)_6072
قابس,GABES MEDINA (Gabes Hached),قابس المدينة (قابس حشاد),GABES MEDINA,6001,33.883,10.1,GABES MEDINA (Gabes Hached)_6001
قابس,EL METOUIA (Cite El Fankar),المطوية (حي الفنكار),EL METOUIA,6010,33.965,10,EL METOUIA (Cite El Fankar)_6010
قابس,GABES OUEST (Bou Chemma),قابس الغربية (بوشمة),GABES OUEST,6031,33.87,9.98,GABES OUEST (Bou Chemma)_6031
قابس,GABES SUD (Cite 7 Novembre),قابس الجنوبية (حي 7 نوفمبر),GABES SUD,6032,33.815,10.06,GABES SUD (Cite 7 Novembre)_6032
قابس,GABES SUD (Cite El Amel),قابس الجنوبية (حي الأمل),GABES SUD,6033,33.855,10.085,GABES SUD (Cite El Amel)_6033
قابس,GABES SUD (Cite El Izdihar),قابس الجنوبية (حي الازدهار),GABES SUD,6011,33.855,10.085,GABES SUD (Cite El Izdihar)_6011
قفصة,BELKHIR (Bou Blel),بالخير (بو بلال),BELKHIR,2135,34.38,8.95,BELKHIR (Bou Blel)_2135
قفصة,GAFSA NORD (Ouled Zid),قفصة الشمالية (أولاد زيد),GAFSA NORD,2196,34.43,8.79,GAFSA NORD (Ouled Zid)_2196
قفصة,BELKHIR (Cite Ouled Bel Hassen),بالخير (حي أولاد بلحسن),BELKHIR,2115,34.38,8.95,BELKHIR (Cite Ouled Bel Hassen)_2115
